code1,Country,InterdependentSubsistenceStyleComposite1990,InterdependentSubsistenceStyleComposite2000,HistoricalDiseasePrevalence7Items,ZIndividualismHofstede,Continent,Continent7,Continent8,Continent9,Continent10,LanguageFamilies,TightnessGelfand2021,TightnessGelfand2021ControllingPercentMuslim,TightnessControllingPercentMuslim,TightnessImputed,RelationalMobility,RelationalMobilityImputed,PercentMuslim,PercentMuslimSquared,RiceHarvestedAreaPerCerealProduc,RiceHarvestedAreaPerCerealProducSquared,RiceHarvestedAreaPerCerealProducBins,TotalPopulation,PopulationDensity,PopulationDensityLog,InternationalTrade,PopulationOver65,FreedomIndex,GiniInequality,GDPPerCapita2011PPP,GDPPerCapita2011PPP10k,LogGDPPerCapita2011PPP,GDP_2018,PercentPastureLand1961,ProportionPastureLand1990,MedianAge_2020_UN,Pop_Density2020_UN,Population_2020_UN,Region,PercentUrban,GlobalCollectivismIndex,filter_$
22,Bhutan,0.178,0.141,0.27, ,2,2,8,8,8,9, , , , , , ,0.2,0.04,0.18,0.0324,2, , , , , , , , , , , ,5.31, , , , , , ,0.26,1
23,Bolivia,-0.127,-0.133,0.3, ,4,4,4,4,4,3, , , ,-0.337518933, ,0.109,0.1,0.01,0.02,0.0004,0,10622.04,9.805264747,2.28291946,71.62117302,6.574587345,66.9,0.457446992, , , , ,26.4, , , , , , ,0.52,1
24,Bosnia, , ,0.03, ,3,3,3,3,3,3,-0.431134579,-0.69681709,-0.69681709,-0.431134579, , ,50.7,2570.49,0,0,0,3522.336,68.79560547,4.231139869,88.24843976,14.62923622,57.6,0.393168211,14973,1.4973,9.614003858, ,23.44,0.25, , , , , ,-0.59, 
25,Botswana, , ,0.39, ,1,1,1,1,1,1,0.86045016,0.933304036,0.933304036,0.86045016, , ,0.4,0.16,0,0,0,2088.651,3.685462213,1.304395949,99.00321624,3.699803352,73.2,0.576319039, , , , ,45.17, , , , , , ,-0.54, 
26,Brazil,-0.09,-0.104,1.06,-0.25,4,4,4,4,4,3,-0.376231695,-0.302973998,-0.302973998,-0.376231695,0.203,0.203,0.34,0.1156,0.07127251,0.005079771,0,201814,24.14579801,3.18411037,24.96110776,7.681462765,78.9,0.464094043, , , ,16096.40096,14.61, ,33.481,25.43142481,213863,Latin America & Caribbean,86.569,-0.06,1
27,British Virgin Islands, , , , ,6,6,6,6,6,3, , , , , , ,1.2,1.44, , , , , , , , , , , , , , , , , , , , , , , 
28,Brunei, , ,0, ,2,2,8,8,10,8, , , , , , ,78.8,6209.44,0.59,0.3481,6, , , , , , , , , , , ,1.14, , , , , , ,-0.34, 
29,Bulgaria,0.369,0.387,-0.1,-0.57,3,3,3,3,3,3, , , , , , ,13.4,179.56,0,0,0,7265.267,66.68211864,4.199936831,120.9228404,19.43013191,80.1,0.345049232, , , ,21960.36994,9.53,0.05,44.596,64.00557296,6941,Europe & Central Asia,75.008,-0.6,1
30,Burkina Faso, , ,1.19, ,1,1,1,1,1,1, , , , , , ,61.5,3782.25,0.01,0.0001,0,17376,63.508803,4.151178526,56.67305109,2.436890841,55.3,0.430103004, , , ,1984.884306,21.93, ,17.551,76.40086988,20903,Sub-Saharan Africa,29.358,1.08, 
31,Burundi,-0.188,-0.081,1.07, ,1,1,1,1,1,1, , , , , , ,10,100,0.09,0.0081,0,9731.27,378.9434579,5.937387006,38.82501643,2.143693686,25.3,0.38698104, , , , ,26.09,0.05, , , , , ,1.06,1
