"","FA1","FA2","FA3","FA4","FA5"
"Parent and Child",1.69492762881046,1.54483911109684,-0.393952906208743,-0.592883626297963,-0.663712803740613
"Parent and Teenager",1.33625152726646,1.50753053225508,-0.34535408775909,-0.960038746987412,0.15703415356117
"Wife and Husband",1.65420126753809,1.6384989942299,0.495907254554711,0.0643216807614285,1.01661792994287
"Fiance and Fiancee",1.67586754327556,1.18076254398907,0.16072597429268,0.28375760846834,0.694074409265465
"Between Siblings",1.09650236376511,1.17109664957884,-0.76832069334904,-0.45413600933921,0.966399441508835
"Between divorced spouses",1.30306326581039,-0.921628838503786,0.819431463229214,-1.90982115092797,0.824561996817426
"Between a person and their in-laws",0.772644093386909,0.00733286006779005,-0.531616486717528,0.0275718584133017,0.464281351628507
"Between cousins",0.525392382692813,-0.48353291359732,-1.43185587766116,0.709942964500648,0.428495293664437
"Employer and Employee",-0.654850779028501,1.18492933693779,1.25579018144963,-0.113991649971942,-0.442424857950503
"Interviewer and Job applicant",-1.64631479731954,-0.197584569720708,-0.010660693237592,0.468855213652416,0.408678963251147
"Guard and Prisoner",-0.398603586073055,0.341693889905341,-0.609601979312804,-2.13095337330861,-2.24133692410313
"Nurse and Patient",-0.488330523364167,0.293534797640958,0.4115436406115,0.778311685978215,-2.00120147628381
"Therapist and Patient",-0.240399350169636,0.878851399678706,1.10465003742824,0.579013981283275,-0.846618394510376
"Salesperson and Customer",-0.402806128227593,-0.891339357520759,2.33370217969828,0.221984385927614,0.525467332153409
"Between Business Partners",-1.15751978714007,1.61431963515284,0.965768856714143,0.167928848797521,1.70784040514531
"Between opposing negotiators",-0.802283171363943,0.0438905995206869,0.575988960031268,-1.86186955258555,1.52095083181463
"Between political opponents",-0.928619215258819,0.380029005564158,-0.572669530314555,-2.43507600389329,0.824840716435618
"Between business rivals",-0.782933985954853,-0.453274621656688,0.00479020591884537,-2.00155096684415,0.961357233662508
"Between enemies",0.454620723553669,-0.901454238282514,-0.708741274557332,-2.63020587922103,0.364253704770637
"Teacher and Student",-1.10072346457992,1.22721883971696,-0.653542443664924,0.317639898357538,-1.11363753215723
"Professor and Graduate student",-0.796138553642532,0.380481285106578,0.255967780542287,0.507350432683046,-1.09171094101043
"Master and Servant",0.437139765038594,0.517537360648224,0.660532715310358,-1.70915272428776,-2.10407665426874
"Between Close Friends",0.968601114475807,0.817037855623647,-0.490200011170167,0.764937222749287,0.822881249344271
"Between casual acquaintances",-0.126577916949916,-2.53513747591595,-0.772780022114477,0.956073979192503,0.542450846646609
"Between teammates in sports",-0.691650924178277,1.24111533456622,-0.765858739191623,0.417906120713199,1.1383161813471
"Between second cousins",0.626322245942018,-1.14782517970373,-0.95406519135849,0.953796774779531,0.070985170457426
"Parent and Infant",1.74743349801021,0.952249205511033,-0.248603241491743,0.45985311894031,-1.29860693348651
"Grandparent and Grandchild",1.50216722676332,0.580195372062899,-0.670026276173199,0.641712785986222,-1.08741057327083
"Step-parent and Step-child",1.29520435389999,1.09857087042654,-0.471139994038517,-0.307501675024497,-0.0659803079782945
"Foster-parent and Foster-child",1.42471356750945,0.995520652828963,-0.201709668910786,0.0578697497279224,-1.14578968316076
"Godparent and Godchild",0.930838067632212,-0.236063516981566,-0.728935324302857,1.01969908050318,-0.50101523929507
