,HPP
USA,0.7832149336598729
UK,0.6365783626032762
Australia,0.7166309676231645
South Africa,0.6901193832586893
Germany,0.7112532551145724
Japan,0.7633732366285454
Israel,0.7882573468565244
CHN,0.7268053572898378
HK(region),0.607440547103605
France,0.6965906460674176
Spain,0.6308857189015622
Mexico,0.7030868421057758
Chile,0.763160426387262
Portugal,0.7332998032997662
Brazil,0.7084737160528823
Russia,0.6142451861645217
Egypt,0.6201145906072957
Qatar,0.7047276211171967
India,0.45474274495367517
