,activeness
USA,0.6386094521631438
UK,0.6667359534214311
Australia,0.5404899212846223
South Africa,0.5177024991128334
Germany,0.6598564246887836
Japan,0.5554772803474535
Israel,0.48691606201205645
CHN,0.44950181377982157
HK(region),0.5056492536904897
France,0.3871942693126613
Spain,0.5834763510955627
Mexico,0.602685122498324
Chile,0.4153001338443808
Portugal,0.47796396242936073
Brazil,0.343291224162008
Russia,0.2837204614917042
Egypt,0.22558136946249382
Qatar,0.2867554018561011
India,0.27605372147707663
