,Raw data
USA,0.8620497304489017
UK,0.8234566933446374
Australia,0.8939200209074833
South Africa,0.8607299485242759
Germany,0.861408988400582
Japan,0.8692764476732265
Israel,0.8740481730445576
CHN,0.8423696611875421
HK(region),0.8266330786223459
France,0.8009482527224722
Spain,0.863798557413411
Mexico,0.8842855612800671
Chile,0.8976960473577823
Portugal,0.8801435875276284
Brazil,0.79965573281476
Russia,0.6441991508753716
Egypt,0.6370699531277464
Qatar,0.6978922777746479
India,0.535192438639
