"","query","layer","position","r_value"
"1","q3.3_bert_embedding_data","hidden","CLS",0.390191780688684
"2","q3.3_bert_embedding_data","layer0","CLS",0.330166833332419
"3","q3.3_bert_embedding_data","layer1","CLS",0.314013986475735
"4","q3.3_bert_embedding_data","layer10","CLS",0.0598742231980999
"5","q3.3_bert_embedding_data","layer11","CLS",0.390191780688684
"6","q3.3_bert_embedding_data","layer2","CLS",0.16098609388678
"7","q3.3_bert_embedding_data","layer3","CLS",0.147711278444092
"8","q3.3_bert_embedding_data","layer4","CLS",0.286139778213252
"9","q3.3_bert_embedding_data","layer5","CLS",0.140120964595163
"10","q3.3_bert_embedding_data","layer6","CLS",0.119361640257361
"11","q3.3_bert_embedding_data","layer7","CLS",0.141191811343391
"12","q3.3_bert_embedding_data","layer8","CLS",0.203405595292206
"13","q3.3_bert_embedding_data","layer9","CLS",0.147742268167991
"14","q3.3_bert_embedding_data","hidden","MASK",0.47666355758368
"15","q3.3_bert_embedding_data","layer0","MASK",0.0272423379702578
"16","q3.3_bert_embedding_data","layer1","MASK",0.0319927179979149
"17","q3.3_bert_embedding_data","layer10","MASK",0.439235315623861
"18","q3.3_bert_embedding_data","layer11","MASK",0.47666355758368
"19","q3.3_bert_embedding_data","layer2","MASK",0.0202842614742102
"20","q3.3_bert_embedding_data","layer3","MASK",0.0298294623747845
"21","q3.3_bert_embedding_data","layer4","MASK",0.0455551411899513
"22","q3.3_bert_embedding_data","layer5","MASK",0.0551240751960308
"23","q3.3_bert_embedding_data","layer6","MASK",0.0424968660486319
"24","q3.3_bert_embedding_data","layer7","MASK",0.074559915426482
"25","q3.3_bert_embedding_data","layer8","MASK",0.155590677845581
"26","q3.3_bert_embedding_data","layer9","MASK",0.255956309869277
