"","query","layer","position","r_value"
"1","q4.2_bert_embedding_data","hidden","CLS",0.351563855470694
"2","q4.2_bert_embedding_data","layer0","CLS",0.321934091499536
"3","q4.2_bert_embedding_data","layer1","CLS",0.310149413811954
"4","q4.2_bert_embedding_data","layer10","CLS",0.0592464870031605
"5","q4.2_bert_embedding_data","layer11","CLS",0.351563855470694
"6","q4.2_bert_embedding_data","layer2","CLS",0.159867327458947
"7","q4.2_bert_embedding_data","layer3","CLS",0.141036102920868
"8","q4.2_bert_embedding_data","layer4","CLS",0.29505020128186
"9","q4.2_bert_embedding_data","layer5","CLS",0.138067133267871
"10","q4.2_bert_embedding_data","layer6","CLS",0.120543703087546
"11","q4.2_bert_embedding_data","layer7","CLS",0.145198275269672
"12","q4.2_bert_embedding_data","layer8","CLS",0.203609965361921
"13","q4.2_bert_embedding_data","layer9","CLS",0.148190708584421
"14","q4.2_bert_embedding_data","hidden","MASK",0.263843949047312
"15","q4.2_bert_embedding_data","layer0","MASK",0.0236886269121171
"16","q4.2_bert_embedding_data","layer1","MASK",0.0296563139556533
"17","q4.2_bert_embedding_data","layer10","MASK",0.201708840663198
"18","q4.2_bert_embedding_data","layer11","MASK",0.263843949047312
"19","q4.2_bert_embedding_data","layer2","MASK",0.0193002774839929
"20","q4.2_bert_embedding_data","layer3","MASK",0.0234717813955607
"21","q4.2_bert_embedding_data","layer4","MASK",0.0260705416294701
"22","q4.2_bert_embedding_data","layer5","MASK",0.0332157556963591
"23","q4.2_bert_embedding_data","layer6","MASK",0.0310004101309413
"24","q4.2_bert_embedding_data","layer7","MASK",0.0463602452213163
"25","q4.2_bert_embedding_data","layer8","MASK",0.0797877491571257
"26","q4.2_bert_embedding_data","layer9","MASK",0.131848339746172
