"","query","layer","position","r_value"
"1","q1.1_bert_embedding_data","hidden","CLS",0.352292782481726
"2","q1.1_bert_embedding_data","layer0","CLS",0.321211979045074
"3","q1.1_bert_embedding_data","layer1","CLS",0.311648281208372
"4","q1.1_bert_embedding_data","layer10","CLS",0.0648050097468212
"5","q1.1_bert_embedding_data","layer11","CLS",0.352292782481726
"6","q1.1_bert_embedding_data","layer2","CLS",0.169696042166056
"7","q1.1_bert_embedding_data","layer3","CLS",0.146089218449716
"8","q1.1_bert_embedding_data","layer4","CLS",0.283992678434882
"9","q1.1_bert_embedding_data","layer5","CLS",0.141877864028041
"10","q1.1_bert_embedding_data","layer6","CLS",0.124094195952761
"11","q1.1_bert_embedding_data","layer7","CLS",0.140347946774921
"12","q1.1_bert_embedding_data","layer8","CLS",0.204944733765713
"13","q1.1_bert_embedding_data","layer9","CLS",0.149101920969925
"14","q1.1_bert_embedding_data","hidden","MASK",0.37247778358746
"15","q1.1_bert_embedding_data","layer0","MASK",0.0307906485817407
"16","q1.1_bert_embedding_data","layer1","MASK",0.035801879997414
"17","q1.1_bert_embedding_data","layer10","MASK",0.21565703659338
"18","q1.1_bert_embedding_data","layer11","MASK",0.37247778358746
"19","q1.1_bert_embedding_data","layer2","MASK",0.0241156316983475
"20","q1.1_bert_embedding_data","layer3","MASK",0.0218591560534643
"21","q1.1_bert_embedding_data","layer4","MASK",0.0223652954445034
"22","q1.1_bert_embedding_data","layer5","MASK",0.0221794461464523
"23","q1.1_bert_embedding_data","layer6","MASK",0.0199305986312372
"24","q1.1_bert_embedding_data","layer7","MASK",0.0264544097006202
"25","q1.1_bert_embedding_data","layer8","MASK",0.053614653635411
"26","q1.1_bert_embedding_data","layer9","MASK",0.087049276253402
"27","q1.1_bert_embedding_data","hidden","關",0.15221158015244
"28","q1.1_bert_embedding_data","layer0","關",0.126401604906552
"29","q1.1_bert_embedding_data","layer1","關",0.114307671132815
"30","q1.1_bert_embedding_data","layer10","關",0.146041105844033
"31","q1.1_bert_embedding_data","layer11","關",0.15221158015244
"32","q1.1_bert_embedding_data","layer2","關",0.123853377854446
"33","q1.1_bert_embedding_data","layer3","關",0.111567391081745
"34","q1.1_bert_embedding_data","layer4","關",0.0950171471302379
"35","q1.1_bert_embedding_data","layer5","關",0.0955484999025597
"36","q1.1_bert_embedding_data","layer6","關",0.0941731338122006
"37","q1.1_bert_embedding_data","layer7","關",0.119407994967562
"38","q1.1_bert_embedding_data","layer8","關",0.125292652554485
"39","q1.1_bert_embedding_data","layer9","關",0.134226695287272
"40","q1.1_bert_embedding_data","hidden","關系",0.158672646168707
"41","q1.1_bert_embedding_data","layer0","關系",0.128290249213302
"42","q1.1_bert_embedding_data","layer1","關系",0.119866999537362
"43","q1.1_bert_embedding_data","layer10","關系",0.146693470806764
"44","q1.1_bert_embedding_data","layer11","關系",0.158672646168707
"45","q1.1_bert_embedding_data","layer2","關系",0.126531562016346
"46","q1.1_bert_embedding_data","layer3","關系",0.118351722017503
"47","q1.1_bert_embedding_data","layer4","關系",0.11202409267066
"48","q1.1_bert_embedding_data","layer5","關系",0.0959758256608169
"49","q1.1_bert_embedding_data","layer6","關系",0.0911363907970884
"50","q1.1_bert_embedding_data","layer7","關系",0.108636075937657
"51","q1.1_bert_embedding_data","layer8","關系",0.122724613128202
"52","q1.1_bert_embedding_data","layer9","關系",0.135848877822016
"53","q1.1_bert_embedding_data","hidden","系",0.16411920809355
"54","q1.1_bert_embedding_data","layer0","系",0.145533921810368
"55","q1.1_bert_embedding_data","layer1","系",0.145764482848004
"56","q1.1_bert_embedding_data","layer10","系",0.14900011412227
"57","q1.1_bert_embedding_data","layer11","系",0.16411920809355
"58","q1.1_bert_embedding_data","layer2","系",0.15725781713471
"59","q1.1_bert_embedding_data","layer3","系",0.158588744819408
"60","q1.1_bert_embedding_data","layer4","系",0.14793411139446
"61","q1.1_bert_embedding_data","layer5","系",0.120855417266889
"62","q1.1_bert_embedding_data","layer6","系",0.111296622132837
"63","q1.1_bert_embedding_data","layer7","系",0.113402006328127
"64","q1.1_bert_embedding_data","layer8","系",0.132323148891531
"65","q1.1_bert_embedding_data","layer9","系",0.144047807513463
