"","query","layer","position","r_value"
"1","q2.2_bert_embedding_data","hidden","CLS",0.345334017326612
"2","q2.2_bert_embedding_data","layer0","CLS",0.319638485784325
"3","q2.2_bert_embedding_data","layer1","CLS",0.303679339842353
"4","q2.2_bert_embedding_data","layer10","CLS",0.0642700798309338
"5","q2.2_bert_embedding_data","layer11","CLS",0.345334017326612
"6","q2.2_bert_embedding_data","layer2","CLS",0.15621364983453
"7","q2.2_bert_embedding_data","layer3","CLS",0.143319977596423
"8","q2.2_bert_embedding_data","layer4","CLS",0.279133811114976
"9","q2.2_bert_embedding_data","layer5","CLS",0.137292094748224
"10","q2.2_bert_embedding_data","layer6","CLS",0.121482003883504
"11","q2.2_bert_embedding_data","layer7","CLS",0.146386281521995
"12","q2.2_bert_embedding_data","layer8","CLS",0.21169133110342
"13","q2.2_bert_embedding_data","layer9","CLS",0.150505094921492
"14","q2.2_bert_embedding_data","hidden","MASK",0.308700521226016
"15","q2.2_bert_embedding_data","layer0","MASK",0.0292106343733845
"16","q2.2_bert_embedding_data","layer1","MASK",0.029501353764551
"17","q2.2_bert_embedding_data","layer10","MASK",0.167577144639645
"18","q2.2_bert_embedding_data","layer11","MASK",0.308700521226016
"19","q2.2_bert_embedding_data","layer2","MASK",0.0184014681156323
"20","q2.2_bert_embedding_data","layer3","MASK",0.0161614287044872
"21","q2.2_bert_embedding_data","layer4","MASK",0.016065712775771
"22","q2.2_bert_embedding_data","layer5","MASK",0.0164216664346045
"23","q2.2_bert_embedding_data","layer6","MASK",0.01560830802207
"24","q2.2_bert_embedding_data","layer7","MASK",0.0187866885155143
"25","q2.2_bert_embedding_data","layer8","MASK",0.023968847755331
"26","q2.2_bert_embedding_data","layer9","MASK",0.0455976438072543
