,Afghanistan,Albania,Argentina,Armenia,Australia,Austria,Benin,Bolivia,Bosnia and Herzegovina,Brazil,Bulgaria,Burkina Faso,Cameroon,Canada,Chile,Colombia,Congo (Brazzaville),Costa Rica,Croatia,Cyprus,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Finland,France,Gabon,Georgia,Germany,Ghana,Greece,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kosovo,Kyrgyzstan,Latvia,Lebanon,Lithuania,Malawi,Mali,Malta,Mauritius,Mexico,Moldova,Mongolia,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Nigeria,North Macedonia,Norway,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russia,Senegal,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan Province of China,Tanzania,Thailand,Togo,Tunisia,Turkey,Uganda,Ukraine,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Zambia,Zimbabwe
Afghanistan,0.0,0.2173040211200714,0.07095411419868469,0.041525840759277344,0.26360636949539185,0.3548389673233032,0.5067958831787109,0.1302555799484253,0.029767170548439026,0.07147929072380066,0.03109380602836609,0.36523157358169556,0.30758845806121826,0.35479116439819336,0.023475199937820435,0.0335288941860199,0.26650214195251465,0.05968832969665527,0.004332065582275391,0.06632000207901001,0.02885541319847107,0.39608973264694214,0.31933802366256714,0.15687325596809387,0.5084245204925537,0.4467611312866211,0.2636439800262451,0.4581112265586853,0.177900493144989,0.19271111488342285,0.18740051984786987,0.349139928817749,0.26545339822769165,0.14611640572547913,0.029123455286026,0.23965373635292053,0.16094613075256348,0.37826675176620483,0.5298553705215454,0.5847191214561462,0.36202943325042725,0.16817426681518555,0.36776942014694214,0.18397468328475952,0.09867390990257263,0.41266846656799316,0.07018041610717773,0.03516566753387451,0.5355584025382996,0.2795497179031372,0.25913816690444946,0.3215787410736084,0.32649528980255127,0.038982391357421875,0.14892563968896866,0.04821044206619263,0.25838327407836914,0.2433982789516449,0.4064045548439026,0.27152562141418457,0.22770610451698303,0.1081676185131073,0.0013819634914398193,0.47635167837142944,0.050092875957489014,0.27379947900772095,0.36192166805267334,0.3291187882423401,0.3792778253555298,0.3338814377784729,0.0032854676246643066,0.1035015881061554,0.517903208732605,0.07918795943260193,0.03454640507698059,0.044702887535095215,0.5075886845588684,0.0036316514015197754,0.32056641578674316,0.0633263885974884,0.20137208700180054,0.19860175251960754,0.3498347997665405,0.49741220474243164,0.6420018076896667,0.03981241583824158,0.08361580967903137,0.2533414959907532,0.17820918560028076,0.11608380079269409,0.24930334091186523,0.3779160976409912,0.5822280645370483,0.18152785301208496,0.6357709169387817,0.016186833381652832,0.2921857237815857,0.06156989932060242,0.17039436101913452,0.30313992500305176,0.041854485869407654,0.1391339898109436,0.1490052044391632,0.23021087050437927,0.6570533514022827,0.07970790565013885,0.4420577883720398,0.41008317470550537
Albania,0.2173040211200714,0.0,0.14634990692138672,0.17577818036079407,0.046302348375320435,0.1375349462032318,0.2894918620586395,0.08704844117164612,0.24707119166851044,0.14582473039627075,0.2483978271484375,0.14792755246162415,0.09028443694114685,0.13748714327812195,0.24077922105789185,0.1837751269340515,0.04919812083244324,0.15761569142341614,0.2216360867023468,0.1509840190410614,0.18844860792160034,0.17878571152687073,0.10203400254249573,0.06043076515197754,0.2911204993724823,0.22945711016654968,0.046339958906173706,0.2408072054386139,0.0394035279750824,0.02459290623664856,0.029903501272201538,0.1318359076976776,0.04814937710762024,0.07118761539459229,0.2464274764060974,0.02234971523284912,0.056357890367507935,0.16096273064613342,0.312551349401474,0.36741510033607483,0.14472541213035583,0.049129754304885864,0.15046539902687073,0.03332933783531189,0.11863011121749878,0.19536444544792175,0.14712360501289368,0.1821383535861969,0.31825438141822815,0.062245696783065796,0.04183414578437805,0.10427471995353699,0.10919126868247986,0.17832162976264954,0.36622966080904007,0.16909357905387878,0.04107925295829773,0.026094257831573486,0.18910053372383118,0.05422160029411316,0.010402083396911621,0.10913640260696411,0.2159220576286316,0.25904765725135803,0.1672111451625824,0.056495457887649536,0.14461764693260193,0.11181476712226868,0.16197380423545837,0.11657741665840149,0.22058948874473572,0.11380243301391602,0.30059918761253357,0.13811606168746948,0.18275761604309082,0.1726011335849762,0.290284663438797,0.21367236971855164,0.10326239466667175,0.2806304097175598,0.015931934118270874,0.018702268600463867,0.13253077864646912,0.28010818362236023,0.42469778656959534,0.257116436958313,0.13368821144104004,0.03603747487068176,0.03909483551979065,0.10122022032737732,0.03199931979179382,0.1606120765209198,0.36492404341697693,0.03577616810798645,0.4184668958187103,0.23349085450172424,0.07488170266151428,0.155734121799469,0.04690966010093689,0.08583590388298035,0.25915850698947906,0.07817003130912781,0.0682988166809082,0.012906849384307861,0.4397493302822113,0.29701192677021027,0.22475376725196838,0.19277915358543396
Argentina,0.07095411419868469,0.14634990692138672,0.0,0.02942827343940735,0.19265225529670715,0.28388485312461853,0.43584176898002625,0.0593014657497406,0.10072128474712372,0.0005251765251159668,0.10204792022705078,0.29427745938301086,0.23663434386253357,0.28383705019950867,0.09442931413650513,0.037425220012664795,0.19554802775382996,0.011265784502029419,0.07528617978096008,0.004634112119674683,0.04209870100021362,0.32513561844825745,0.24838390946388245,0.08591914176940918,0.437470406293869,0.3758070170879364,0.19268986582756042,0.3871571123600006,0.10694637894630432,0.12175700068473816,0.11644640564918518,0.27818581461906433,0.19449928402900696,0.07516229152679443,0.1000775694847107,0.16869962215423584,0.08999201655387878,0.30731263756752014,0.4589012563228607,0.5137650072574615,0.29107531905174255,0.09722015261650085,0.29681530594825745,0.11302056908607483,0.02771979570388794,0.34171435236930847,0.000773698091506958,0.03578844666481018,0.46460428833961487,0.20859560370445251,0.18818405270576477,0.2506246268749237,0.2555411756038666,0.03197172284126282,0.21987975388765335,0.022743672132492065,0.18742915987968445,0.1724441647529602,0.3354504406452179,0.20057150721549988,0.15675199031829834,0.03721350431442261,0.06957215070724487,0.40539756417274475,0.02086123824119568,0.20284536480903625,0.29096755385398865,0.2581646740436554,0.3083237111568451,0.2629273235797882,0.074239581823349,0.0325474739074707,0.4469490945339203,0.008233845233917236,0.0364077091217041,0.026251226663589478,0.4366345703601837,0.06732246279716492,0.24961230158805847,0.1342805027961731,0.13041797280311584,0.12764763832092285,0.27888068556785583,0.42645809054374695,0.5710476934909821,0.11076653003692627,0.01266169548034668,0.18238738179206848,0.10725507140159607,0.0451296865940094,0.17834922671318054,0.3069619834423065,0.5112739503383636,0.11057373881340027,0.564816802740097,0.08714094758033752,0.221231609582901,0.009384214878082275,0.09944024682044983,0.23218581080436707,0.11280860006809235,0.06817987561225891,0.07805109024047852,0.15925675630569458,0.586099237203598,0.15066201984882355,0.3711036741733551,0.3391290605068207
Armenia,0.041525840759277344,0.17577818036079407,0.02942827343940735,0.0,0.2220805287361145,0.3133131265640259,0.4652700424194336,0.08872973918914795,0.07129301130771637,0.029953449964523315,0.07261964678764343,0.3237057328224182,0.2660626173019409,0.313265323638916,0.06500104069709778,0.007996946573257446,0.2249763011932373,0.01816248893737793,0.045857906341552734,0.024794161319732666,0.012670427560806274,0.3545638918876648,0.2778121829032898,0.11534741520881653,0.46689867973327637,0.40523529052734375,0.22211813926696777,0.41658538579940796,0.13637465238571167,0.1511852741241455,0.14587467908859253,0.3076140880584717,0.2239275574684143,0.10459056496620178,0.07064929604530334,0.1981278955936432,0.11942028999328613,0.3367409110069275,0.48832952976226807,0.5431932806968689,0.3205035924911499,0.1266484260559082,0.3262435793876648,0.14244884252548218,0.05714806914329529,0.3711426258087158,0.02865457534790039,0.006360173225402832,0.4940325617790222,0.23802387714385986,0.21761232614517212,0.28005290031433105,0.2849694490432739,0.0025434494018554688,0.190451480448246,0.006684601306915283,0.2168574333190918,0.20187243819236755,0.36487871408462524,0.22999978065490723,0.1861802637577057,0.06664177775382996,0.040143877267837524,0.4348258376121521,0.00856703519821167,0.2322736382484436,0.320395827293396,0.28759294748306274,0.33775198459625244,0.29235559701919556,0.04481130838394165,0.06197574734687805,0.47637736797332764,0.037662118673324585,0.006979435682296753,0.003177046775817871,0.46606284379959106,0.03789418935775757,0.2790405750274658,0.10485222935676575,0.1598462462425232,0.1570759117603302,0.3083089590072632,0.4558863639831543,0.6004759669303894,0.08133825659751892,0.04208996891975403,0.21181565523147583,0.13668334484100342,0.07455796003341675,0.2077775001525879,0.33639025688171387,0.540702223777771,0.14000201225280762,0.5942450761795044,0.057712674140930176,0.25065988302230835,0.020044058561325073,0.12886852025985718,0.2616140842437744,0.083380326628685,0.09760814905166626,0.10747936367988586,0.18868502974510193,0.6155275106430054,0.1212337464094162,0.40053194761276245,0.368557333946228
Australia,0.26360636949539185,0.046302348375320435,0.19265225529670715,0.2220805287361145,0.0,0.09123259782791138,0.2431895136833191,0.13335078954696655,0.29337354004383087,0.1921270787715912,0.29470017552375793,0.10162520408630371,0.043982088565826416,0.09118479490280151,0.2870815694332123,0.23007747530937195,0.0028957724571228027,0.20391803979873657,0.26793843507766724,0.19728636741638184,0.23475095629692078,0.1324833631515503,0.05573165416717529,0.10673311352729797,0.24481815099716187,0.18315476179122925,3.7610530853271484e-05,0.19450485706329346,0.08570587635040283,0.070895254611969,0.07620584964752197,0.08553355932235718,0.0018470287322998047,0.11748996376991272,0.29272982478141785,0.023952633142471313,0.10266023874282837,0.11466038227081299,0.26624900102615356,0.3211127519607544,0.0984230637550354,0.0954321026802063,0.10416305065155029,0.07963168621063232,0.1649324595928192,0.14906209707260132,0.1934259533882141,0.22844070196151733,0.2719520330429077,0.01594334840774536,0.004468202590942383,0.05797237157821655,0.06288892030715942,0.22462397813796997,0.4125320091843605,0.21539592742919922,0.005223095417022705,0.020208090543746948,0.14279818534851074,0.007919251918792725,0.035900264978408813,0.15543875098228455,0.262224406003952,0.2127453088760376,0.21351349353790283,0.010193109512329102,0.0983152985572815,0.06551241874694824,0.11567145586013794,0.07027506828308105,0.26689183712005615,0.16010478138923645,0.25429683923721313,0.18441841006278992,0.22905996441841125,0.21890348196029663,0.24398231506347656,0.25997471809387207,0.05696004629135132,0.32693275809288025,0.06223428249359131,0.0650046169757843,0.08622843027114868,0.2338058352470398,0.3783954381942749,0.3034187853336334,0.17999055981636047,0.010264873504638672,0.08539718389511108,0.14752256870269775,0.014303028583526611,0.11430972814559937,0.3186216950416565,0.08207851648330688,0.3721645474433899,0.2797932028770447,0.028579354286193848,0.20203647017478943,0.09321200847625732,0.03953355550765991,0.3054608553647995,0.12447237968444824,0.11460116505622864,0.03339549899101257,0.39344698190689087,0.3433142751455307,0.17845141887664795,0.14647680521011353
Austria,0.3548389673233032,0.1375349462032318,0.28388485312461853,0.3133131265640259,0.09123259782791138,0.0,0.15195691585540771,0.22458338737487793,0.38460613787174225,0.28335967659950256,0.3859327733516693,0.010392606258392334,0.04725050926208496,4.780292510986328e-05,0.37831416726112366,0.3213100731372833,0.08833682537078857,0.29515063762664795,0.3591710329055786,0.2885189652442932,0.32598355412483215,0.041250765323638916,0.035500943660736084,0.19796571135520935,0.1535855531692505,0.09192216396331787,0.0911949872970581,0.10327225923538208,0.1769384741783142,0.16212785243988037,0.16743844747543335,0.005699038505554199,0.08938556909561157,0.2087225615978241,0.3839624226093292,0.11518523097038269,0.19389283657073975,0.02342778444290161,0.1750164031982422,0.22988015413284302,0.0071904659271240234,0.18666470050811768,0.012930452823638916,0.1708642840385437,0.2561650574207306,0.05782949924468994,0.2846585512161255,0.3196732997894287,0.18071943521499634,0.07528924942016602,0.09570080041885376,0.033260226249694824,0.028343677520751953,0.31585657596588135,0.5037646070122719,0.3066285252571106,0.09645569324493408,0.11144068837165833,0.051565587520599365,0.08331334590911865,0.1271328628063202,0.24667134881019592,0.3534570038318634,0.12151271104812622,0.3047460913658142,0.08103948831558228,0.007082700729370117,0.025720179080963135,0.024438858032226562,0.020957529544830322,0.35812443494796753,0.2513373792171478,0.16306424140930176,0.2756510078907013,0.32029256224632263,0.310136079788208,0.15274971723556519,0.35120731592178345,0.03427255153656006,0.4181653559207916,0.15346688032150269,0.15623721480369568,0.005004167556762695,0.14257323741912842,0.2871628403663635,0.3946513831615448,0.27122315764427185,0.10149747133255005,0.17662978172302246,0.23875516653060913,0.10553562641143799,0.02307713031768799,0.22738909721374512,0.17331111431121826,0.2809319496154785,0.37102580070495605,0.06265324354171753,0.2932690680027008,0.1844446063041687,0.051699042320251465,0.3966934531927109,0.21570497751235962,0.20583376288414001,0.12462809681892395,0.3022143840789795,0.4345468729734421,0.08721882104873657,0.05524420738220215
Benin,0.5067958831787109,0.2894918620586395,0.43584176898002625,0.4652700424194336,0.2431895136833191,0.15195691585540771,0.0,0.37654030323028564,0.53656305372715,0.4353165924549103,0.537889689207077,0.14156430959701538,0.19920742511749268,0.15200471878051758,0.5302710831165314,0.47326698899269104,0.2402937412261963,0.44710755348205566,0.5111279487609863,0.4404758810997009,0.47794046998023987,0.1107061505317688,0.1874578595161438,0.34992262721061707,0.0016286373138427734,0.060034751892089844,0.24315190315246582,0.048684656620025635,0.3288953900337219,0.3140847682952881,0.31939536333084106,0.15765595436096191,0.2413424849510193,0.3606794774532318,0.5359193384647369,0.2671421468257904,0.34584975242614746,0.1285291314125061,0.023059487342834473,0.0779232382774353,0.1447664499282837,0.3386216163635254,0.1390264630317688,0.3228211998939514,0.4081219732761383,0.09412741661071777,0.4366154670715332,0.4716302156448364,0.028762519359588623,0.22724616527557373,0.24765771627426147,0.18521714210510254,0.18030059337615967,0.46781349182128906,0.6557215228676796,0.4585854411125183,0.2484126091003418,0.26339760422706604,0.10039132833480835,0.23527026176452637,0.2790897786617279,0.39862826466560364,0.5054139196872711,0.030444204807281494,0.4567030072212219,0.23299640417099,0.1448742151260376,0.17767709493637085,0.12751805782318115,0.17291444540023804,0.5100813508033752,0.40329429507255554,0.011107325553894043,0.427607923746109,0.47224947810173035,0.4620929956436157,0.0007928013801574707,0.5031642317771912,0.18622946739196777,0.5701222717761993,0.3054237961769104,0.3081941306591034,0.1569610834121704,0.009383678436279297,0.1352059245109558,0.5466082990169525,0.42318007349967957,0.25345438718795776,0.3285866975784302,0.39071208238601685,0.2574925422668457,0.12887978553771973,0.0754321813583374,0.325268030166626,0.1289750337600708,0.5229827165603638,0.21461015939712524,0.4452259838581085,0.3364015221595764,0.20365595817565918,0.5486503690481186,0.36766189336776733,0.35779067873954773,0.27658501267433167,0.15025746822357178,0.5865037888288498,0.06473809480667114,0.09671270847320557
Bolivia,0.1302555799484253,0.08704844117164612,0.0593014657497406,0.08872973918914795,0.13335078954696655,0.22458338737487793,0.37654030323028564,0.0,0.16002275049686432,0.058776289224624634,0.16134938597679138,0.23497599363327026,0.17733287811279297,0.22453558444976807,0.15373077988624573,0.0967266857624054,0.13624656200408936,0.07056725025177002,0.13458764553070068,0.06393557786941528,0.10140016674995422,0.26583415269851685,0.18908244371414185,0.02661767601966858,0.3781689405441284,0.3165055513381958,0.13338840007781982,0.32785564661026,0.04764491319656372,0.06245553493499756,0.05714493989944458,0.21888434886932373,0.13519781827926636,0.015860825777053833,0.1593790352344513,0.10939815640449524,0.030690550804138184,0.24801117181777954,0.3995997905731201,0.45446354150772095,0.23177385330200195,0.037918686866760254,0.23751384019851685,0.05371910333633423,0.03158167004585266,0.28241288661956787,0.06007516384124756,0.09508991241455078,0.40530282258987427,0.14929413795471191,0.12888258695602417,0.1913231611251831,0.19623970985412598,0.09127318859100342,0.27918121963739395,0.08204513788223267,0.12812769412994385,0.1131426990032196,0.2761489748954773,0.14127004146575928,0.09745052456855774,0.022087961435317993,0.12887361645698547,0.34609609842300415,0.08016270399093628,0.14354389905929565,0.23166608810424805,0.1988632082939148,0.2490222454071045,0.2036258578300476,0.1335410475730896,0.026753991842269897,0.3876476287841797,0.051067620515823364,0.0957091748714447,0.08555269241333008,0.3773331046104431,0.12662392854690552,0.19031083583831787,0.1935819685459137,0.07111650705337524,0.06834617257118225,0.21957921981811523,0.36715662479400635,0.5117462277412415,0.17006799578666687,0.04663977026939392,0.12308591604232788,0.04795360565185547,0.014171779155731201,0.11904776096343994,0.24766051769256592,0.45197248458862305,0.05127227306365967,0.5055153369903564,0.14644241333007812,0.1619301438331604,0.06868568062782288,0.04013878107070923,0.17288434505462646,0.17211006581783295,0.00887840986251831,0.018749624490737915,0.09995529055595398,0.5267977714538574,0.20996348559856415,0.3118022084236145,0.2798275947570801
Bosnia and Herzegovina,0.029767170548439026,0.24707119166851044,0.10072128474712372,0.07129301130771637,0.29337354004383087,0.38460613787174225,0.53656305372715,0.16002275049686432,0.0,0.10124646127223969,0.001326635479927063,0.3949987441301346,0.3373556286096573,0.3845583349466324,0.006291970610618591,0.06329606473445892,0.2962693125009537,0.0894555002450943,0.025435104966163635,0.09608717262744904,0.058622583746910095,0.42585690319538116,0.34910519421100616,0.1866404265165329,0.5381916910409927,0.4765283018350601,0.29341115057468414,0.48787839710712433,0.20766766369342804,0.22247828543186188,0.2171676903963089,0.37890709936618805,0.2952205687761307,0.17588357627391815,0.0006437152624130249,0.26942090690135956,0.1907133013010025,0.40803392231464386,0.5596225410699844,0.6144862920045853,0.39179660379886627,0.19794143736362457,0.39753659069538116,0.21374185383319855,0.12844108045101166,0.4424356371164322,0.09994758665561676,0.06493283808231354,0.5653255730867386,0.30931688845157623,0.2889053374528885,0.3513459116220474,0.3562624603509903,0.0687495619058609,0.11915846914052963,0.07797761261463165,0.28815044462680817,0.2731654495000839,0.4361717253923416,0.3012927919626236,0.25747327506542206,0.13793478906154633,0.031149134039878845,0.5061188489198685,0.07986004650592804,0.30356664955616,0.39168883860111237,0.3588859587907791,0.4090449959039688,0.3636486083269119,0.02648170292377472,0.13326875865459442,0.547670379281044,0.10895512998104095,0.06431357562541962,0.07447005808353424,0.5373558551073074,0.0333988219499588,0.3503335863351822,0.03355921804904938,0.23113925755023956,0.22836892306804657,0.37960197031497955,0.5271793752908707,0.6717689782381058,0.010045245289802551,0.1133829802274704,0.2831086665391922,0.2079763561487198,0.14585097134113312,0.27907051146030426,0.40768326818943024,0.6119952350854874,0.211295023560524,0.6655380874872208,0.013580337166786194,0.3219528943300247,0.09133706986904144,0.20016153156757355,0.3329070955514908,0.012087315320968628,0.16890116035938263,0.17877237498760223,0.2599780410528183,0.6868205219507217,0.04994073510169983,0.4718249589204788,0.4398503452539444
Brazil,0.07147929072380066,0.14582473039627075,0.0005251765251159668,0.029953449964523315,0.1921270787715912,0.28335967659950256,0.4353165924549103,0.058776289224624634,0.10124646127223969,0.0,0.10257309675216675,0.2937522828578949,0.2361091673374176,0.2833118736743927,0.0949544906616211,0.03795039653778076,0.195022851228714,0.011790961027145386,0.07581135630607605,0.005159288644790649,0.04262387752532959,0.3246104419231415,0.24785873293876648,0.08539396524429321,0.43694522976875305,0.37528184056282043,0.19216468930244446,0.38663193583488464,0.10642120242118835,0.12123182415962219,0.11592122912406921,0.27766063809394836,0.193974107503891,0.07463711500167847,0.10060274600982666,0.16817444562911987,0.08946684002876282,0.3067874610424042,0.45837607979774475,0.5132398307323456,0.2905501425266266,0.09669497609138489,0.2962901294231415,0.11249539256095886,0.027194619178771973,0.3411891758441925,0.0012988746166229248,0.03631362318992615,0.4640791118144989,0.20807042717933655,0.1876588761806488,0.25009945034980774,0.2550159990787506,0.032496899366378784,0.22040493041276932,0.023268848657608032,0.18690398335456848,0.17191898822784424,0.33492526412010193,0.2000463306903839,0.15622681379318237,0.03668832778930664,0.07009732723236084,0.4048723876476288,0.021386414766311646,0.2023201882839203,0.2904423773288727,0.25763949751853943,0.3077985346317291,0.26240214705467224,0.07476475834846497,0.032022297382354736,0.4464239180088043,0.0077086687088012695,0.03693288564682007,0.026776403188705444,0.43610939383506775,0.06784763932228088,0.2490871250629425,0.13480567932128906,0.12989279627799988,0.12712246179580688,0.27835550904273987,0.425932914018631,0.5705225169658661,0.11129170656204224,0.012136518955230713,0.18186220526695251,0.1067298948764801,0.04460451006889343,0.17782405018806458,0.30643680691719055,0.5107487738132477,0.1100485622882843,0.5642916262149811,0.08766612410545349,0.22070643305778503,0.009909391403198242,0.09891507029533386,0.2316606342792511,0.11333377659320831,0.06765469908714294,0.07752591371536255,0.1587315797805786,0.5855740606784821,0.15118719637393951,0.37057849764823914,0.3386038839817047
