Country,Australia,Brazil,Chile,China,Egypt,Germany,Hong Kong,India,Japan,Mexico,Qatar,Russia,South Africa,Spain,United Kingdom,United States,Portugal
Australia,0.0,0.2546275157967544,0.04338065249509573,0.08502460381391522,0.1716449509152745,0.0016234353575458006,0.03300861068517866,0.118500972783131,0.07134425824217937,0.09395932275279613,0.10618195358925002,0.05457436995069642,0.08318837830964992,0.13717490306045985,0.017340771783944126,0.17928542897669492,0.12835671766918053
Brazil,0.2546275157967544,0.0,0.21124686330165934,0.3396521196106698,0.42627246671202995,0.2562509511542347,0.22161890511157467,0.37312848857988473,0.1832832575545752,0.16066819304395927,0.36080946938600494,0.30920188574745033,0.171439137487105,0.391802418857215,0.23728674401281422,0.07534208682005956,0.1262707981275743
Chile,0.04338065249509573,0.21124686330165934,0.0,0.12840525630901015,0.21502560341036928,0.045004087852575377,0.01037204180990095,0.16188162527822436,0.02796360574708814,0.05057867025769826,0.14956260608434396,0.09795502244579066,0.03980772581455325,0.18055555555555483,0.02603988071115394,0.1359047764816,0.08497606517408467
China,0.08502460381391522,0.3396521196106698,0.12840525630901015,0.0,0.086620347101359,0.08340116845643626,0.11803321449909537,0.03347636896921298,0.15636886205609535,0.17898392656671067,0.021157349775339025,0.030450233863221425,0.16821298212356559,0.05215029924654699,0.10236537559785536,0.26431003279061027,0.21338132148309505
Egypt,0.1716449509152745,0.42627246671202995,0.21502560341036928,0.086620347101359,0.0,0.17002151555779474,0.20465356160045511,0.053143978132143374,0.242989209157455,0.26560427366807,0.0654629973260228,0.11707058096457963,0.25483332922492463,0.03447004785481538,0.18898572269921501,0.3509303798919697,0.3000016685844549
Germany,0.0016234353575458006,0.25625095115423513,0.045004087852575377,0.08340116845643626,0.17002151555779474,0.0,0.03463204604265854,0.11687753742565082,0.0729676935996611,0.09558275811027633,0.10455851823176938,0.05295093459321813,0.0848118136671292,0.13555146770298074,0.018964207141424747,0.18090886433417547,0.1299801530266601
Hong Kong,0.03300861068517866,0.22161890511157467,0.01037204180990095,0.11803321449909537,0.20465356160045511,0.03463204604265854,0.0,0.1515095834683094,0.03833564755700034,0.06095071206761528,0.1391905642744292,0.0875829806358759,0.05017976762446888,0.17018351374564028,0.015667838901240565,0.14627681829151565,0.09534810698400037
India,0.118500972783131,0.3731284885798844,0.16188162527822436,0.03347636896921298,0.053143978132143374,0.11687753742565082,0.1515095834683094,0.0,0.18984523102531053,0.21246029553592494,0.012319019193873071,0.06392660283243547,0.20168935109277955,0.01867393027732952,0.13584174456706952,0.2977864017598252,0.2468576904523104
Japan,0.07134425824217937,0.1832832575545752,0.02796360574708814,0.15636886205609535,0.242989209157455,0.0729676935996611,0.03833564755700034,0.18984523102531053,0.0,0.02261506451061578,0.17752621183143066,0.1259186281928752,0.011844120067480549,0.2085191613026397,0.05400348645823861,0.10794117073451573,0.05701245942700185
Mexico,0.09395932275279613,0.16066819304395857,0.05057867025769826,0.17898392656671067,0.26560427366807,0.09558275811027633,0.06095071206761528,0.21246029553592494,0.02261506451061578,0.0,0.20014127634204468,0.14853369270349098,0.010770944443133916,0.23113422581325532,0.0766185509688539,0.08532610622389929,0.034397394916387825
Qatar,0.10618195358925002,0.3608094693860053,0.14956260608434396,0.021157349775339025,0.0654629973260228,0.10455851823176938,0.1391905642744292,0.012319019193873071,0.17752621183143066,0.20014127634204468,0.0,0.051607583638554146,0.18937033189889987,0.030992949471209143,0.12352272537318984,0.2854673825659452,0.23453867125842975
Russia,0.05457436995069642,0.30920188574745033,0.09795502244579066,0.030450233863221425,0.11707058096457963,0.05295093459321813,0.0875829806358759,0.06392660283243547,0.1259186281928752,0.14853369270349098,0.051607583638554146,0.0,0.1377627482603449,0.08260053310976527,0.07191514173463685,0.23385979892739012,0.18293108761987562
South Africa,0.08318837830964992,0.17143913748710435,0.03980772581455325,0.16821298212356559,0.25483332922492463,0.0848118136671292,0.05017976762446888,0.20168935109277955,0.011844120067480549,0.010770944443133916,0.18937033189889987,0.1377627482603449,0.0,0.22036328137011008,0.0658476065257102,0.09609705066704485,0.045168339359528895
Spain,0.13717490306045985,0.391802418857215,0.18055555555555483,0.05215029924654699,0.03447004785481538,0.13555146770298074,0.17018351374564028,0.01867393027732952,0.2085191613026397,0.23113422581325532,0.030992949471209143,0.08260053310976527,0.22036328137011008,0.0,0.15451567484439954,0.316460332037155,0.26553162072964015
United Kingdom,0.017340771783944126,0.23728674401281422,0.02603988071115394,0.10236537559785536,0.18898572269921501,0.018964207141424747,0.015667838901240565,0.13584174456706952,0.05400348645823861,0.0766185509688539,0.12352272537318984,0.07191514173463685,0.0658476065257102,0.15451567484439954,0.0,0.16194465719275444,0.11101594588524004
United States,0.17928542897669492,0.07534208682005956,0.1359047764816,0.26431003279061027,0.3509303798919697,0.18090886433417547,0.14627681829151565,0.2977864017598252,0.10794117073451573,0.08532610622389929,0.2854673825659452,0.23385979892739012,0.09609705066704485,0.316460332037155,0.16194465719275444,0.0,0.05092871130751533
Portugal,0.12835671766918053,0.1262707981275752,0.08497606517408467,0.21338132148309505,0.3000016685844549,0.1299801530266601,0.09534810698400037,0.2468576904523104,0.05701245942700185,0.034397394916387825,0.23453867125842975,0.18293108761987562,0.045168339359528895,0.26553162072964015,0.11101594588524004,0.05092871130751533,0.0
