,age,count
0,1,0
1,2,0
2,3,0
3,4,0
4,5,0
5,6,0
6,7,0
7,8,0
8,9,0
9,10,0
10,11,0
11,12,0
12,13,0
13,14,0
14,15,0
15,16,0
16,17,0
17,18,6
18,19,20
19,20,21
20,21,25
21,22,33
22,23,21
23,24,29
24,25,36
25,26,25
26,27,32
27,28,40
28,29,27
29,30,20
30,31,17
31,32,22
32,33,9
33,34,13
34,35,17
35,36,10
36,37,14
37,38,18
38,39,9
39,40,8
40,41,7
41,42,8
42,43,9
43,44,8
44,45,10
45,46,3
46,47,7
47,48,2
48,49,3
49,50,2
50,51,2
51,52,4
52,53,0
53,54,0
54,55,1
55,56,1
56,57,5
57,58,0
58,59,5
59,60,0
60,61,0
61,62,2
62,63,0
63,64,1
64,65,2
65,66,2
66,67,0
67,68,0
68,69,1
69,70,1
70,71,2
71,72,0
72,73,0
73,74,0
74,75,0
75,76,0
76,77,0
77,78,0
78,79,0
79,80,0
80,81,0
81,82,0
82,83,0
83,84,0
84,85,0
85,86,0
86,87,0
87,88,0
88,89,0
89,90,0
90,91,0
91,92,0
92,93,0
93,94,0
94,95,0
95,96,0
96,97,0
97,98,0
98,99,0
99,100,0
100,101,0
101,102,0
102,103,0
103,104,0
104,105,0
105,106,0
106,107,0
107,108,0
108,109,0
109,110,0
110,111,0
111,112,0
112,113,0
113,114,0
114,115,0
115,116,0
116,117,0
117,118,0
118,119,0
119,120,0
