,familiar
Parent and Child,90.45956639813129
Parent and Teenager,83.00322923337635
Wife and Husband,77.94888374937989
Fiance and Fiancee,67.50406472202431
Between Siblings,84.16493580329875
Between divorced spouses,43.0956447351121
Between a person and their in-laws,63.425989427397305
Between cousins,73.9945907120755
Employer and Employee,80.64770870117422
Interviewer and Job applicant,67.60469967933692
Guard and Prisoner,37.0184741055861
Nurse and Patient,66.12524074316877
Therapist and Patient,63.266179311091776
Salesperson and Customer,73.1024002381815
Between Business Partners,51.71514896945266
Between opposing negotiators,45.32731194027784
Between political opponents,51.877519135797925
Between business rivals,51.66560834686034
Between enemies,54.21631394399957
Teacher and Student,80.39235891074058
Professor and Graduate student,59.81587396016581
Master and Servant,44.44555328194634
Between Close Friends,86.47007500010767
Between casual acquaintances,70.5778999843535
Between teammates in sports,64.18653554212078
Between second cousins,58.93572772133542
Parent and Infant,77.55208590740402
Grandparent and Grandchild,80.37898880808234
Step-parent and Step-child,43.86895103900596
Foster-parent and Foster-child,35.55312773681012
Godparent and Godchild,47.9173148702105
Step-grandparent and Step-grandchild,37.329205734617204
Ancestor and Descendant,71.13341147064583
Bride and Groom,81.0111256722253
Man and His Mistress,60.51746999666151
Man Wife and Man Mistress,55.7031629276971
Brother and Sister,85.43684930778461
Between step-siblings,55.822932160425715
Between distant relatives,62.36010879805676
Between close relatives,81.95919880236265
Between twins,55.10718251632298
Between a person and their family friends,76.19129017329773
Between a person and their deceased spouse,47.541902878209065
Manager and Staff,64.58439640730074
Foreman and Laborer,47.76314605396797
Owner and Manager,53.56387825263239
Union leader and union member,39.07384613508865
Manager and Assistant,53.13400648110425
Chief and Deputy,64.46855188472234
Supervisor and Subordinate,73.61362316100558
Boss and Secretary,68.79733935623528
Entrepreneur and Investor,56.19215777055437
Intern and Employee,70.91906286195545
Lawyer and Client,59.226344949718865
Judge and Lawyer,50.658763079457245
Victim and Criminal,49.72251267083825
Drug dealer and Addict,44.665451251476384
Victim and Witness,49.07503629037847
Criminal and Police officer,51.04360814846584
Criminal and Prosecutor,42.91795201149381
Criminal and Hostage,40.67655002326639
Defendant and Plaintiff,49.63857816580427
Police officer and Offender,54.62093965174404
Police officer and Civilian,63.52264054018752
Parole officer and Parolee,36.06850861884908
Consultant and Client,63.30467890003919
Chef and Customer,61.915609526684
Customer and Server,73.04608443086428
Customer and Businessman,64.64327461780866
Doctor and Patient,76.06199561364286
Doctor and Nurse,63.007489103605415
Patient and Caretaker,63.680749203054766
Driver and Passenger,77.25580642130484
Coach and athlete,63.846490315697686
Team Captain and Team Members,65.70609115777168
Club Member and Club President,49.697865537300856
Politician and Supporter,50.112268163224904
Leader and Follower,59.904897575287734
Representative and Citizen,58.62796574320966
Officer and Soldier,52.35743579138104
Babysitter and Infant,68.91141222416486
Religious leader and Congregant,48.70392444782636
Between religious followers,47.499225788326854
Prostitute and Customer,39.40838026063862
Guide and Tourist,63.373193678464425
Athlete and Referee,56.99961630078343
Slave and Master,39.03993036082471
Reader and Writer,66.87210322577953
Reviewer and Writer,55.94329630359108
Performer and Audience,67.01713066083765
Dealer and Buyer,75.29262413133954
Sugar-daddy and Sugar-baby,45.229599822441344
Director and Performer,56.975386130135384
Psychologist and Client,61.70065216870134
Judge and Contestant,57.66279110045501
Man and God,55.58468886931809
Between Co-workers,76.1866236823331
Between sports rivals,52.384703734236034
Between romantic rivals,49.05220470789003
Between criminal and their accomplice,34.756338813248554
Between diplomats,34.17385525907192
Principal and Teacher,53.273752539642345
Professor and Teaching Assistant,53.52131797697031
University student and Administrator,61.12534470197761
Student and Dorm Resident assistant,56.75889782460184
Mentor and Mentee,70.73960599285431
Athletic trainer and Trainee,60.1466659072808
Researcher and Research Subject,59.00611375740291
Between peers,78.11043310820473
Between classmates,84.40381250998259
Between roommates,71.05049879335968
Between sorority sisters,47.087351263586996
Between fraternity brothers,55.36915717204203
Bride and Bridesmaid,58.92132269260998
Groom and Groomsman,58.84298702123679
Predecessor and Successor,47.78716016434302
Landlord and Tenant,68.70380501149066
Landlord and Housekeeper,46.11345100695489
Guest and Host,74.05642670553863
Television host and Guest,51.781734095844875
Volunteer and Organizer,63.76718541782799
Celebrity and Fans,63.986506933830185
Celebrity and Haters,50.495665262690366
Native and Tourist,66.17570019664144
Bully and Victim,56.20455676656326
Between friends,84.70401814706003
Between Facebook Friends,62.955678664111645
Between a person and their social media follower,54.09106233623161
Between childhood friends,81.54927511866697
Between pen-friends,49.385836658121136
Between friends with benefits,50.42330413147922
Between political allies,41.94222078790375
Between romantic lovers,78.6471778489823
Between ex-lovers,57.13228315320897
Between life-partners,73.83320121363984
Between soul-mates,71.35453704066116
Between strangers,54.48343022357268
Between neighbors,67.23390884938833
Between church members,45.574100705217354
Between fans of the same sports team,53.662489702333794
Between fans of opposing sports teams,43.19706569896263
Superior and Subordinate,64.95316016401686
Aunt and Niece/Nephew,76.98816568260925
Uncle and Niece/Nephew,75.64627660364451
Between frenemies,57.114191197528775
Between half-siblings,55.13197901988574
Between adoptive parents and adopted kids,46.097085007435645
Mother and Infant,74.4724647225675
Between alumni,66.05135877802108
Between a monarch and their minister,34.5410752577525
Between confidants,69.04494735797297
Between a person and their significant other,79.50658056006127
Between companions,72.96833464252558
Between playmates,73.91223029827952
Between competitors in sports,57.1845847761403
Between a person and their crush,69.0726030506004
Between cohabitants,74.81222165658299
Between long-distance lovers,65.59768480084671
Between brothers-in-arms,48.08971987374461
