,Dim1,Dim2,cl_k3,cl_h3,cl_k4,cl_h4,cl_k5,cl_h5,cl_k6,cl_h6,cl_k7,cl_h7
wife and husband,5.0550356,1.3262694,0,0,2,3,4,3,4,3,4,3
nurse and patient,-1.9563994,10.015434,1,2,1,2,1,2,1,0,5,0
officer and soldier,0.3971245,10.902743,1,2,1,2,1,2,5,0,0,2
neighbors,3.5670235,5.664731,0,0,2,0,2,1,2,1,1,1
athletic trainer and trainee,-1.4020603,10.431174,1,2,1,2,1,2,1,0,5,0
police officer and offender,-1.444066,6.472711,2,1,3,1,3,0,3,2,2,6
principal and teacher,-0.2702178,10.871334,1,2,1,2,1,2,5,0,0,2
doctor and nurse,-1.506467,10.075246,1,2,1,2,1,2,1,0,5,0
victim and criminal,-1.3256611,6.281917,2,1,3,1,3,0,3,2,2,6
coach and athlete,-0.9224917,10.488797,1,2,1,2,1,2,5,0,0,2
man and god,0.2684731,9.731665,1,2,1,2,1,2,5,0,0,2
half siblings,7.339821,5.9457498,0,0,0,0,0,4,0,4,3,4
parent and teenager,7.812916,6.5914564,0,0,0,0,0,4,0,4,3,4
prostitute and customer,-2.2942085,9.282739,1,2,1,2,1,2,1,0,5,0
church members,3.3992293,5.8567643,0,0,2,0,2,1,2,1,1,1
foreman and laborer,0.3725596,11.086793,1,2,1,2,1,2,5,0,0,2
a person and their family friends,7.0313463,5.727726,0,0,0,0,0,4,0,4,3,4
a person and their social media follower,-0.25150034,8.72522,1,2,1,2,1,2,1,0,5,0
guide and tourist,-1.8616271,9.179707,1,2,1,2,1,2,1,0,5,0
bride and bridesmaid,4.3079123,4.747699,0,0,2,0,2,1,2,1,1,1
teammates in sports,3.5255322,4.902372,0,0,2,0,2,1,2,1,1,1
twins,7.12441,6.3548703,0,0,0,0,0,4,0,4,3,4
celebrity and haters,-1.5142097,4.1889935,2,1,3,1,3,0,3,5,6,5
employer and employee,0.095646,10.777667,1,2,1,2,1,2,5,0,0,2
teacher and student,-0.8377001,10.874414,1,2,1,2,1,2,5,0,0,2
guest and host,-0.8164818,9.069305,1,2,1,2,1,2,1,0,5,0
man wife and man mistress,-1.382188,4.4059806,2,1,3,1,3,0,3,5,6,5
religious followers,3.2513804,6.0584493,0,0,2,0,2,1,2,1,1,1
intern and employee,0.061210983,10.826146,1,2,1,2,1,2,5,0,0,2
criminal and police officer,-1.4971023,6.506778,2,1,3,1,3,0,3,2,2,6
step grandparent and step grandchild,7.853833,6.0219145,0,0,0,0,0,4,0,4,3,4
chef and customer,-2.0923629,9.423932,1,2,1,2,1,2,1,0,5,0
union leader and union member,-0.0026045283,10.10612,1,2,1,2,1,2,5,0,0,2
professor and graduate student,-0.66063213,10.957935,1,2,1,2,1,2,5,0,0,2
second cousins,7.7110205,5.6618457,0,0,0,0,0,4,0,4,3,4
fans of the same sports team,3.2842693,5.237118,0,0,2,0,2,1,2,1,1,1
master and servant,-1.3043627,6.7925577,2,1,3,1,3,0,3,2,2,6
siblings,7.2197433,6.2429447,0,0,0,0,0,4,0,4,3,4
landlord and housekeeper,0.22188242,11.27058,1,2,1,2,1,2,5,0,0,2
close friends,4.287807,4.934611,0,0,2,0,2,1,2,1,1,1
entrepreneur and investor,-1.879845,9.645361,1,2,1,2,1,2,1,0,5,0
fraternity brothers,4.133056,4.531753,0,0,2,0,2,1,2,1,1,1
psychologist and client,-1.9375483,10.127358,1,2,1,2,1,2,1,0,5,0
chief and deputy,-0.009696231,10.819907,1,2,1,2,1,2,5,0,0,2
sugar daddy and sugar baby,4.711028,1.7801663,0,0,2,3,4,3,4,3,4,3
uncle and niece/nephew,7.672461,6.1629333,0,0,0,0,0,4,0,4,3,4
childhood friends,4.1234303,5.0703163,0,0,2,0,2,1,2,1,1,1
ex lovers,-1.4385877,4.454887,2,1,3,1,3,0,3,5,6,5
man and his mistress,4.7805634,1.6223377,0,0,2,3,4,3,4,3,4,3
step siblings,7.3866963,5.9834495,0,0,0,0,0,4,0,4,3,4
confidants,4.1146965,4.9722214,0,0,2,0,2,1,2,1,1,1
parole officer and parolee,-1.5770117,6.5673585,2,1,3,1,3,0,3,2,2,6
grandparent and grandchild,7.8039026,6.3166747,0,0,0,0,0,4,0,4,3,4
judge and contestant,-0.63011414,8.607647,1,2,1,2,1,2,1,0,5,0
romantic lovers,5.042834,1.3677596,0,0,2,3,4,3,4,3,4,3
researcher and research subject,-0.36527488,10.392548,1,2,1,2,1,2,5,0,0,2
brother and sister,7.228271,6.263546,0,0,0,0,0,4,0,4,3,4
therapist and patient,-1.9144588,10.061865,1,2,1,2,1,2,1,0,5,0
parent and infant,7.759481,6.664396,0,0,0,0,0,4,0,4,3,4
slave and master,-1.3237585,6.6949143,2,1,3,1,3,0,3,2,2,6
reader and writer,-0.4085083,8.902328,1,2,1,2,1,2,1,0,5,0
representative and citizen,-0.8729452,9.263723,1,2,1,2,1,2,1,0,5,0
criminal and hostage,-1.286459,6.3432674,2,1,3,1,3,0,3,2,2,6
ancestor and descendant,7.9049606,5.799355,0,0,0,0,0,4,0,4,3,4
peers,3.562451,5.6713285,0,0,2,0,2,1,2,1,1,1
groom and groomsman,4.3281317,4.82555,0,0,2,0,2,1,2,1,1,1
opposing negotiators,-1.7211468,4.6604257,2,1,3,1,3,0,3,5,6,5
adoptive parents and adopted kids,7.8990645,6.432421,0,0,0,0,0,4,0,4,3,4
driver and passenger,-1.8151346,9.298025,1,2,1,2,1,2,1,0,5,0
a person and their significant other,5.147063,1.257926,0,0,2,3,4,3,4,3,4,3
romantic rivals,-1.6005284,4.508433,2,1,3,1,3,0,3,5,6,5
strangers,2.7793229,6.128597,0,0,2,0,2,1,2,1,1,1
predecessor and successor,-0.5871569,10.746514,1,2,1,2,1,2,5,0,0,2
a person and their crush,4.818499,1.5718069,0,0,2,3,4,3,4,3,4,3
brothers in arms,4.0481825,4.610661,0,0,2,0,2,1,2,1,1,1
playmates,3.940729,4.9716682,0,0,2,0,2,1,2,1,1,1
volunteer and organizer,-0.02333638,10.172157,1,2,1,2,1,2,5,0,0,2
a monarch and their minister,0.34021103,9.820833,1,2,1,2,1,2,5,0,0,2
roommates,3.7225344,5.1862555,0,0,2,0,2,1,2,1,1,1
criminal and prosecutor,-1.5071898,6.3075476,2,1,3,1,3,0,3,2,2,6
friends,3.8989677,5.028058,0,0,2,0,2,1,2,1,1,1
television host and guest,-0.6338252,8.769241,1,2,1,2,1,2,1,0,5,0
university student and administrator,-0.6213996,10.89731,1,2,1,2,1,2,5,0,0,2
life partners,5.0866246,1.3179718,0,0,2,3,4,3,4,3,4,3
political allies,2.9879215,5.603242,0,0,2,0,2,1,2,1,1,1
criminal and their accomplice,3.3525698,5.184407,0,0,2,0,2,1,2,1,1,1
consultant and client,-1.8306565,9.723969,1,2,1,2,1,2,1,0,5,0
diplomats,3.0335338,5.5780735,0,0,2,0,2,1,2,1,1,1
bully and victim,-1.3196625,6.484491,2,1,3,1,3,0,3,2,2,6
close relatives,7.1388025,6.2126913,0,0,0,0,0,4,0,4,3,4
godparent and godchild,8.008647,6.1215963,0,0,0,0,0,4,0,4,3,4
guard and prisoner,-1.4291737,6.421111,2,1,3,1,3,0,3,2,2,6
fans of opposing sports teams,-1.4917487,4.138794,2,1,3,1,3,0,3,5,6,5
pen friends,4.05767,5.1972637,0,0,2,0,2,1,2,1,1,1
mentor and mentee,-0.9175459,10.721206,1,2,1,2,1,2,5,0,0,2
casual acquaintances,3.5147276,5.7288656,0,0,2,0,2,1,2,1,1,1
judge and lawyer,-1.18318,9.881248,1,2,1,2,1,2,1,0,5,0
student and dorm resident assistant,-0.71284807,10.949256,1,2,1,2,1,2,5,0,0,2
superior and subordinate,0.3364511,10.982398,1,2,1,2,1,2,5,0,0,2
step parent and step child,7.8092537,6.267136,0,0,0,0,0,4,0,4,3,4
boss and secretary,0.27741775,10.959738,1,2,1,2,1,2,5,0,0,2
dealer and buyer,-2.2132792,9.300189,1,2,1,2,1,2,1,0,5,0
salesperson and customer,-2.12893,9.525631,1,2,1,2,1,2,1,0,5,0
sports rivals,-1.6767579,4.326577,2,1,3,1,3,0,3,5,6,5
professor and teaching assistant,-0.56737536,10.951626,1,2,1,2,1,2,5,0,0,2
cohabitants,3.6695728,5.371101,0,0,2,0,2,1,2,1,1,1
celebrity and fans,-0.3797243,8.936218,1,2,1,2,1,2,1,0,5,0
athlete and referee,-0.863526,10.168443,1,2,1,2,1,2,5,0,0,2
