,Dim1,Dim2,cl_k3,cl_h3,cl_k4,cl_h4,cl_k5,cl_h5,cl_k6,cl_h6,cl_k7,cl_h7
Between fans of the same sports team,4.127594,16.700323,0,0,0,1,1,1,1,0,1,4
Between roommates,3.711902,16.94484,0,0,0,1,1,1,1,0,1,4
Between opposing negotiators,16.482677,8.309158,1,0,3,0,0,0,5,1,5,0
Landlord and Tenant,10.173777,13.577549,1,0,0,0,4,4,4,4,4,1
Celebrity and Haters,16.666637,8.0701475,1,0,3,0,0,0,5,1,5,0
Between step-siblings,-6.7746778,9.047395,0,2,1,2,2,2,2,5,2,5
Foreman and Laborer,13.5266905,8.701999,1,0,3,0,0,0,0,2,0,2
Doctor and Patient,10.052268,12.60965,1,0,0,0,4,4,4,4,4,1
Prostitute and Customer,9.80016,13.620572,1,0,0,0,4,4,4,4,4,1
Between political opponents,16.454824,8.177693,1,0,3,0,0,0,5,1,5,0
Step-parent and Step-child,-7.675543,9.465911,0,2,1,2,2,2,2,5,2,5
Between cousins,-6.880711,9.284504,0,2,1,2,2,2,2,5,2,5
Superior and Subordinate,13.346379,9.040303,1,0,3,0,0,0,0,2,0,2
Between enemies,16.626833,8.374121,1,0,3,0,0,0,5,1,5,0
Fiance and Fiancee,5.026799,-6.6447673,2,1,2,3,3,3,3,3,3,3
Researcher and Research Subject,9.80284,13.118127,1,0,0,0,4,4,4,4,4,1
Club Member and Club President,12.740879,9.179251,1,0,3,0,0,0,0,2,0,2
Between pen-friends,2.8355079,17.44051,0,0,0,1,1,1,1,0,6,6
Between a person and their crush,4.798151,-6.891363,2,1,2,3,3,3,3,3,3,3
Criminal and Hostage,15.659665,8.085802,1,0,3,0,0,0,5,1,5,0
Slave and Master,15.340837,8.165317,1,0,3,0,0,0,5,1,5,0
Lawyer and Client,10.017317,13.167777,1,0,0,0,4,4,4,4,4,1
Between church members,3.9315321,16.79488,0,0,0,1,1,1,1,0,1,4
Between frenemies,16.638283,8.398225,1,0,3,0,0,0,5,1,5,0
Between political allies,3.4624665,16.438131,0,0,0,1,1,1,1,0,1,4
Guide and Tourist,9.639709,13.244206,1,0,0,0,4,4,4,4,4,1
Salesperson and Customer,9.960616,13.323705,1,0,0,0,4,4,4,4,4,1
Between sports rivals,16.666508,8.129035,1,0,3,0,0,0,5,1,5,0
Drug dealer and Addict,10.012348,13.440417,1,0,0,0,4,4,4,4,4,1
Between Facebook Friends,4.1629834,16.330303,0,0,0,1,1,1,1,0,1,4
Between Close Friends,3.0737133,17.63038,0,0,0,1,1,1,1,0,6,6
Chief and Deputy,13.217933,9.059553,1,0,3,0,0,0,0,2,0,2
Between a person and their significant other,5.055247,-6.8012037,2,1,2,3,3,3,3,3,3,3
Between friends with benefits,4.844221,-6.970759,2,1,2,3,3,3,3,3,3,3
Police officer and Civilian,15.261086,8.261342,1,0,3,0,0,0,5,1,5,0
Consultant and Client,9.786609,13.253315,1,0,0,0,4,4,4,4,4,1
Customer and Businessman,9.878403,13.373737,1,0,0,0,4,4,4,4,4,1
Chef and Customer,9.823567,13.478624,1,0,0,0,4,4,4,4,4,1
Athlete and Referee,13.263514,9.094628,1,0,3,0,0,0,0,2,0,2
Performer and Audience,9.466286,13.588392,1,0,0,0,4,4,4,4,4,1
Wife and Husband,4.965806,-6.6052356,2,1,2,3,3,3,3,3,3,3
Between half-siblings,-6.980856,9.198099,0,2,1,2,2,2,2,5,2,5
Victim and Witness,3.480816,16.326406,0,0,0,1,1,1,1,0,1,4
Principal and Teacher,13.050476,8.816002,1,0,3,0,0,0,0,2,0,2
Parent and Teenager,-7.6465836,9.156484,0,2,1,2,2,2,2,5,2,5
