,parent and child,parent and teenager,wife and husband,fiance and fiancee,siblings,divorced spouses,a person and their in laws,employer and employee,interviewer and job applicant,guard and prisoner,nurse and patient,therapist and patient,salesperson and customer,business partners,opposing negotiators,political opponents,business rivals,enemies,teacher and student,professor and graduate student,master and servant,close friends,casual acquaintances,teammates in sports,second cousins,grandparent and grandchild,foster parent and foster child,godparent and godchild,step grandparent and step grandchild,ancestor and descendant,man and his mistress,step siblings,distant relatives,twins,a person and their family friends,manager and staff,union leader and union member,manager and assistant,entrepreneur and investor,drug dealer and addict,victim and witness,criminal and police officer,criminal and prosecutor,customer and businessman,representative and citizen,officer and soldier,religious followers,reader and writer,reviewer and writer,sugar daddy and sugar baby,director and performer,psychologist and client,judge and contestant,man and god,university student and administrator,student and dorm resident assistant,athletic trainer and trainee,researcher and research subject,peers,classmates,bride and bridesmaid,guest and host,television host and guest,volunteer and organizer,bully and victim,a person and their social media follower,childhood friends,pen friends,friends with benefits,life partners,soul mates,church members,fans of the same sports team,fans of opposing sports teams,superior and subordinate,a monarch and their minister,cousins,parent and infant,step parent and step child,bride and groom,man wife and man mistress,brother and sister,close relatives,a person and their deceased spouse,foreman and laborer,owner and manager,chief and deputy,supervisor and subordinate,boss and secretary,intern and employee,lawyer and client,judge and lawyer,victim and criminal,criminal and hostage,defendant and plaintiff,police officer and offender,police officer and civilian,parole officer and parolee,consultant and client,chef and customer,customer and server,doctor and patient,doctor and nurse,patient and caretaker,driver and passenger,coach and athlete,team captain and team members,club member and club president,politician and supporter,leader and follower,babysitter and infant,religious leader and congregant,prostitute and customer,guide and tourist,athlete and referee,slave and master,performer and audience,dealer and buyer,co workers,sports rivals,romantic rivals,criminal and their accomplice,diplomats,principal and teacher,professor and teaching assistant,mentor and mentee,roommates,sorority sisters,fraternity brothers,groom and groomsman,predecessor and successor,landlord and tenant,landlord and housekeeper,celebrity and fans,celebrity and haters,native and tourist,friends,facebook friends,political allies,romantic lovers,ex lovers,strangers,neighbors,aunt and niece/nephew,uncle and niece/nephew,frenemies,half siblings,adoptive parents and adopted kids,mother and infant,alumni,confidants,a person and their significant other,companions,playmates,competitors in sports,a person and their crush,cohabitants,long distance lovers,brothers in arms
Valence Evaluation,92,84,100,100,95,0,57,52,67,0,84,100,53,100,0,0,0,0,90,90,0,100,51,94,58,100,95,100,56,64,26,85,74,92,91,76,100,90,70,54,88,0,0,52,54,90,100,80,52,88,90,100,28,100,51,52,95,91,62,63,95,89,78,100,0,72,100,100,100,100,100,100,100,0,80,85,100,100,100,100,100,100,100,100,100,100,100,56,100,100,100,63,0,0,0,0,61,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0,0,100,59,100,100,100,100,100,100,100,100,100,52,100,0,57,100,100,100,100,0,50,100,100,100,0,100,100,100,100,100,100,100,100,0,100,100,100,100
Equality,0,0,100,100,100,100,100,0,0,0,11,25,15,100,100,100,100,100,0,0,0,100,100,100,100,100,0,59,38,100,47,100,100,100,100,0,0,0,0,0,100,0,0,0,0,0,100,90,0,0,0,16,0,0,0,0,11,11,100,100,100,62,16,14,0,100,100,100,100,100,100,100,100,100,0,0,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,37,0,0,45,0,100,100,100,100,100,0,0,0,100,100,100,100,0,0,0,0,0,100,100,100,100,100,100,0,100,0,0,100,100,100,0,100,100,100,100,100,100,100,100,100,100
Activity Intensity,100,100,100,100,100,89,100,19,0,70,38,45,0,76,0,62,69,77,74,65,70,100,28,71,61,96,100,88,79,8,96,85,10,100,76,74,29,18,15,0,0,0,0,0,0,62,0,0,0,85,54,29,0,100,0,30,0,0,0,34,100,28,0,20,62,28,85,69,100,100,100,29,0,0,0,67,67,100,100,100,84,100,82,100,0,0,16,15,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,47,0,36,79,60,29,58,23,77,0,0,0,54,0,0,28,0,62,64,0,17,0,55,69,80,81,76,0,0,0,0,0,0,73,0,70,100,0,0,60,71,82,65,77,100,100,0,83,100,70,78,0,77,75,100,100
Socioemotional,100,100,100,100,100,54,100,0,0,0,0,0,0,0,0,0,0,76,0,0,0,100,17,10,78,100,100,89,100,100,100,91,49,100,100,0,0,0,0,0,0,0,0,0,0,0,28,0,0,54,0,0,0,100,0,0,0,0,9,12,88,0,0,0,80,100,100,100,100,100,100,36,76,73,0,0,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,13,8,0,13,0,18,0,0,0,0,0,0,0,0,100,18,0,0,0,13,71,100,100,100,0,0,0,65,0,23,100,100,0,100,100,0,54,100,100,100,100,100,100,0,100,100,100,100,0,100,61,100,39
Formality and Regulation,0,0,0,0,0,33,0,100,100,100,100,100,100,100,100,84,100,0,100,100,88,0,0,28,0,0,0,0,0,0,0,0,8,0,0,100,88,100,100,100,100,100,100,100,100,100,66,100,100,17,80,100,100,0,100,100,92,100,14,18,0,3,79,89,100,25,0,0,0,0,0,66,0,0,100,87,0,0,0,0,0,0,0,0,100,100,97,100,100,100,100,100,49,69,66,100,100,100,100,100,100,100,74,84,0,0,42,26,69,63,34,100,100,100,100,100,100,100,100,27,0,0,100,100,100,100,0,0,0,0,100,100,100,44,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,15
Intimacy,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,62,36,100,100,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,32,66,0,64,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,61,82,0,75,100,69,0,0,77,0,100,0
Visibility,31,17,31,31,28,19,75,100,7,12,0,0,52,71,100,100,89,59,100,50,45,10,100,100,100,71,28,31,100,100,0,81,100,29,87,100,100,88,17,0,12,43,100,100,100,54,100,100,9,0,90,0,100,0,83,100,28,0,100,100,87,100,100,100,49,100,100,0,0,26,35,100,100,100,61,33,64,0,24,48,0,47,69,19,100,66,68,60,46,77,12,100,21,0,71,75,100,0,46,81,100,0,83,21,14,100,84,77,82,100,70,100,0,100,100,11,100,75,100,100,65,0,84,79,67,71,26,76,74,45,100,66,51,100,100,100,45,100,73,0,49,100,73,15,35,72,24,29,0,100,7,26,22,31,100,20,27,6,51
Communal Sharing,100,100,100,100,93,0,85,20,11,0,23,33,0,73,0,0,0,0,73,78,0,93,51,84,54,100,67,95,90,76,36,66,52,96,90,0,90,21,5,0,49,0,0,0,52,60,83,10,19,6,37,27,13,100,0,48,49,6,51,54,98,21,27,100,0,28,94,93,56,100,100,90,78,0,12,44,100,100,100,100,65,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,71,51,64,23,38,0,0,0,0,0,0,20,0,39,79,0,0,0,18,100,100,100,100,0,0,0,76,0,0,100,0,62,100,53,0,79,100,100,48,100,100,100,0,100,100,100,100,0,100,100,100,74
Expected Reciprocity,0,0,0,0,0,76,0,0,0,0,0,0,0,100,0,0,0,0,0,14,0,0,9,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,100,0,0,0,0,0,0,0,0,10,9,0,5,100,0,0,0,0,0,0,0,0,9,0,0,0,0,100,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,80,77,0,0,0,0,0,0,0,0,80,75,0,0,0,77,100,100,100,0,0,0,0,0,0,100,78,100,100,0,0,100,100,100,48,100,100,0,0,100,100,100,73,0,100,78,100,100
Strategic,0,0,0,0,0,100,7,100,100,76,0,0,100,100,100,100,100,100,0,100,0,0,8,34,0,0,0,0,0,0,0,0,0,0,0,100,15,98,100,100,0,100,100,100,100,100,0,0,100,100,81,0,81,0,82,80,0,100,6,0,0,8,80,11,0,0,0,0,0,0,0,0,0,49,100,20,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,61,100,81,11,100,65,74,100,77,86,74,100,100,100,100,100,100,100,0,0,67,100,100,100,100,0,0,0,0,100,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
