,parent and child,parent and teenager,wife and husband,fiance and fiancee,siblings,divorced spouses,a person and their in laws,employer and employee,interviewer and job applicant,guard and prisoner,nurse and patient,therapist and patient,salesperson and customer,business partners,opposing negotiators,political opponents,business rivals,enemies,teacher and student,professor and graduate student,master and servant,close friends,casual acquaintances,teammates in sports,second cousins,grandparent and grandchild,foster parent and foster child,godparent and godchild,step grandparent and step grandchild,ancestor and descendant,man and his mistress,step siblings,distant relatives,twins,a person and their family friends,manager and staff,union leader and union member,manager and assistant,entrepreneur and investor,drug dealer and addict,victim and witness,criminal and police officer,criminal and prosecutor,customer and businessman,representative and citizen,officer and soldier,religious followers,reader and writer,reviewer and writer,sugar daddy and sugar baby,director and performer,psychologist and client,judge and contestant,man and god,university student and administrator,student and dorm resident assistant,athletic trainer and trainee,researcher and research subject,peers,classmates,bride and bridesmaid,guest and host,television host and guest,volunteer and organizer,bully and victim,a person and their social media follower,childhood friends,pen friends,friends with benefits,life partners,soul mates,church members,fans of the same sports team,fans of opposing sports teams,superior and subordinate,a monarch and their minister,cousins,parent and infant,step parent and step child,bride and groom,man wife and man mistress,brother and sister,close relatives,a person and their deceased spouse,foreman and laborer,owner and manager,chief and deputy,supervisor and subordinate,boss and secretary,intern and employee,lawyer and client,judge and lawyer,victim and criminal,criminal and hostage,defendant and plaintiff,police officer and offender,police officer and civilian,parole officer and parolee,consultant and client,chef and customer,customer and server,doctor and patient,doctor and nurse,patient and caretaker,driver and passenger,coach and athlete,team captain and team members,club member and club president,politician and supporter,leader and follower,babysitter and infant,religious leader and congregant,prostitute and customer,guide and tourist,athlete and referee,slave and master,performer and audience,dealer and buyer,co workers,sports rivals,romantic rivals,criminal and their accomplice,diplomats,principal and teacher,professor and teaching assistant,mentor and mentee,roommates,sorority sisters,fraternity brothers,groom and groomsman,predecessor and successor,landlord and tenant,landlord and housekeeper,celebrity and fans,celebrity and haters,native and tourist,friends,facebook friends,political allies,romantic lovers,ex lovers,strangers,neighbors,aunt and niece/nephew,uncle and niece/nephew,frenemies,half siblings,adoptive parents and adopted kids,mother and infant,alumni,confidants,a person and their significant other,companions,playmates,competitors in sports,a person and their crush,cohabitants,long distance lovers,brothers in arms
Valence Evaluation,71,58,83,99,54,43,74,75,83,85,53,82,55,62,3,0,0,0,92,67,1,100,80,83,32,79,79,98,98,73,89,10,52,84,96,60,96,84,94,85,5,93,1,76,47,57,54,83,72,71,98,67,48,62,76,77,90,76,100,86,46,42,22,81,0,58,98,55,94,98,96,95,100,73,17,53,55,95,37,70,15,64,57,99,84,71,81,82,65,82,57,50,0,0,3,0,0,32,92,66,38,91,70,71,69,100,96,95,91,92,90,89,61,73,85,0,69,62,70,0,0,83,63,81,74,94,84,58,73,81,39,77,57,60,0,54,81,26,61,82,43,27,47,83,30,0,44,68,97,86,79,99,83,82,8,59,85,67,96
Equality,2,0,97,97,84,88,21,35,0,0,9,5,5,99,95,14,97,90,22,0,4,99,99,98,67,4,24,15,8,95,2,65,55,100,89,0,32,20,0,12,0,0,0,19,1,16,99,31,59,5,2,26,2,0,6,26,5,27,82,77,17,35,12,19,0,13,85,96,14,77,99,93,95,12,14,0,74,0,0,100,41,99,78,76,6,3,0,13,0,37,0,34,21,0,10,0,6,1,0,21,9,0,5,0,17,0,18,12,18,0,2,13,22,29,23,0,0,1,18,65,100,63,69,0,0,29,100,98,100,35,88,2,0,0,26,23,100,100,76,100,77,100,100,42,40,76,96,0,0,96,100,100,92,96,100,76,92,93,96
Activity Intensity,94,82,96,96,61,18,16,43,35,62,63,76,12,82,35,78,99,55,64,93,61,96,31,72,19,59,76,59,54,63,73,58,11,61,100,22,13,21,41,89,95,67,74,43,15,76,65,64,74,79,83,75,40,77,19,57,27,42,67,27,46,23,45,57,77,29,79,15,78,100,100,65,89,32,22,45,31,100,81,100,61,87,85,72,38,69,81,72,60,64,60,38,43,5,62,27,16,59,10,3,0,57,70,62,5,68,75,55,40,56,40,68,8,17,16,100,39,8,85,52,21,59,54,45,82,72,96,62,62,68,23,55,17,20,0,27,83,6,59,100,37,0,39,57,63,62,59,100,100,24,86,100,92,77,31,64,56,54,65
Socioemotional,68,65,79,89,82,23,55,5,22,1,26,65,6,34,13,18,47,74,44,8,20,95,56,60,56,60,69,57,81,76,68,55,51,89,87,5,26,15,4,19,53,38,36,21,19,15,49,70,18,17,34,18,55,78,5,41,9,8,80,28,58,48,57,12,81,19,67,55,72,80,84,76,78,71,0,42,64,100,78,100,71,75,80,76,0,0,0,0,0,0,0,0,0,0,18,0,0,19,0,0,0,36,0,0,0,0,19,19,18,49,21,40,0,0,18,0,70,0,18,0,50,25,0,19,20,77,64,63,62,75,22,0,0,0,49,58,79,58,0,100,50,18,21,79,61,50,51,100,100,39,100,100,100,79,0,65,55,100,57
Formality and Regulation,6,20,10,1,0,83,33,77,100,37,90,92,40,81,95,52,75,53,61,68,96,11,48,40,41,37,4,61,28,73,26,9,62,29,19,43,99,92,66,46,85,39,95,42,69,36,46,61,76,30,96,62,40,93,78,16,89,81,24,21,35,58,42,34,12,18,19,27,82,0,3,56,11,16,88,100,21,13,64,2,16,35,42,0,84,100,100,100,99,96,99,90,3,12,61,83,12,100,100,100,94,99,93,100,77,94,80,96,93,90,69,86,78,89,100,84,100,96,85,77,39,37,100,94,39,33,23,74,72,33,100,79,69,74,74,75,7,17,89,22,31,28,23,19,19,65,30,42,9,30,0,0,18,18,94,37,73,33,57
Intimacy,58,54,100,99,54,0,50,18,22,1,54,61,1,20,0,0,0,0,0,31,9,70,0,24,0,63,79,55,54,2,97,8,0,54,52,14,0,0,24,56,0,0,2,1,1,1,23,7,0,90,43,61,0,52,2,0,0,4,54,0,51,0,0,0,0,22,60,0,96,100,99,54,5,0,13,0,0,73,49,99,0,43,46,64,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,8,0,0,4,8,0,46,0,0,72,47,74,23,0,0,0,68,0,39,0,24,0,0,42,45,44,62,0,0,46,32,0,0,0,0,0,45,0,0,82,59,0,0,0,53,16,54,47,73,0,77,100,42,45,14,37,52,65,0
Visibility,17,25,20,97,13,3,3,74,16,95,78,15,98,9,87,97,77,11,56,17,11,0,87,82,20,2,4,34,42,26,1,32,41,13,17,72,97,61,74,9,89,99,98,18,98,30,80,68,67,8,2,0,96,0,87,18,54,69,94,19,67,47,56,41,78,100,40,80,2,11,100,99,75,66,65,94,31,2,70,54,8,9,2,0,94,57,62,54,99,70,0,77,43,39,69,67,100,0,0,100,55,0,21,0,100,91,79,84,100,91,15,100,0,100,100,32,100,91,40,100,22,0,81,100,66,63,32,58,41,65,76,43,43,99,100,85,18,77,100,52,0,50,63,24,39,33,19,0,0,40,44,0,39,28,80,16,51,2,35
Communal Sharing,95,79,98,79,87,26,69,2,0,30,89,96,1,16,0,31,8,1,0,41,1,91,52,63,59,95,74,79,79,7,69,59,44,73,82,6,1,41,15,1,8,5,11,17,23,20,57,52,53,10,37,20,26,26,1,35,6,17,77,95,41,52,42,63,0,18,54,80,86,99,100,98,57,18,0,40,57,100,79,100,0,95,63,0,0,0,59,23,60,66,0,0,0,0,54,0,0,0,0,0,0,0,60,0,0,53,82,60,0,0,39,65,0,0,18,0,0,0,60,60,0,63,56,22,57,59,62,69,75,64,53,0,0,0,0,0,88,25,58,86,0,0,77,72,77,0,73,100,100,64,100,100,100,100,57,14,60,70,60
Expected Reciprocity,89,38,96,97,80,88,44,25,35,20,34,6,42,95,27,79,85,98,20,33,1,83,78,83,82,35,38,88,66,22,68,84,74,87,84,17,54,5,12,78,7,13,38,40,42,20,89,30,39,30,28,18,40,94,30,87,16,29,93,89,88,35,20,17,2,23,71,91,87,97,100,91,88,23,17,0,57,0,46,100,0,64,64,29,10,0,12,24,55,58,62,51,0,0,66,0,0,0,0,55,45,53,19,16,0,32,19,60,13,0,12,0,53,30,31,0,31,56,66,59,26,0,79,59,59,62,75,80,90,55,15,35,0,0,0,16,99,40,93,96,25,0,83,42,35,38,70,4,0,64,96,100,98,100,86,53,61,95,61
Strategic,13,11,0,14,1,79,57,90,79,78,68,86,61,80,74,68,96,91,3,8,88,9,36,12,11,6,17,20,4,19,53,82,0,24,11,89,73,81,94,96,45,90,83,95,78,91,61,39,73,76,91,62,59,64,73,90,70,90,23,0,10,14,80,59,89,99,6,12,75,0,6,96,6,82,76,75,19,0,35,67,0,0,9,20,57,100,57,77,96,20,80,96,0,70,32,54,5,55,81,18,54,21,85,54,75,55,59,4,93,98,0,20,99,23,70,14,42,97,92,19,66,95,77,100,98,68,32,5,60,58,34,99,61,35,1,68,62,0,98,77,24,0,8,16,23,21,0,0,0,0,40,81,64,24,25,85,63,84,72
