,parent and child,parent and teenager,wife and husband,fiance and fiancee,siblings,divorced spouses,a person and their in laws,employer and employee,interviewer and job applicant,guard and prisoner,nurse and patient,therapist and patient,salesperson and customer,business partners,opposing negotiators,political opponents,business rivals,enemies,teacher and student,professor and graduate student,master and servant,close friends,casual acquaintances,teammates in sports,second cousins,grandparent and grandchild,foster parent and foster child,godparent and godchild,step grandparent and step grandchild,ancestor and descendant,man and his mistress,step siblings,distant relatives,twins,a person and their family friends,manager and staff,union leader and union member,manager and assistant,entrepreneur and investor,drug dealer and addict,victim and witness,criminal and police officer,criminal and prosecutor,customer and businessman,representative and citizen,officer and soldier,religious followers,reader and writer,reviewer and writer,sugar daddy and sugar baby,director and performer,psychologist and client,judge and contestant,man and god,university student and administrator,student and dorm resident assistant,athletic trainer and trainee,researcher and research subject,peers,classmates,bride and bridesmaid,guest and host,television host and guest,volunteer and organizer,bully and victim,a person and their social media follower,childhood friends,pen friends,friends with benefits,life partners,soul mates,church members,fans of the same sports team,fans of opposing sports teams,superior and subordinate,a monarch and their minister,cousins,parent and infant,step parent and step child,bride and groom,man wife and man mistress,brother and sister,close relatives,a person and their deceased spouse,foreman and laborer,owner and manager,chief and deputy,supervisor and subordinate,boss and secretary,intern and employee,lawyer and client,judge and lawyer,victim and criminal,criminal and hostage,defendant and plaintiff,police officer and offender,police officer and civilian,parole officer and parolee,consultant and client,chef and customer,customer and server,doctor and patient,doctor and nurse,patient and caretaker,driver and passenger,coach and athlete,team captain and team members,club member and club president,politician and supporter,leader and follower,babysitter and infant,religious leader and congregant,prostitute and customer,guide and tourist,athlete and referee,slave and master,performer and audience,dealer and buyer,co workers,sports rivals,romantic rivals,criminal and their accomplice,diplomats,principal and teacher,professor and teaching assistant,mentor and mentee,roommates,sorority sisters,fraternity brothers,groom and groomsman,predecessor and successor,landlord and tenant,landlord and housekeeper,celebrity and fans,celebrity and haters,native and tourist,friends,facebook friends,political allies,romantic lovers,ex lovers,strangers,neighbors,aunt and niece/nephew,uncle and niece/nephew,frenemies,half siblings,adoptive parents and adopted kids,mother and infant,alumni,confidants,a person and their significant other,companions,playmates,competitors in sports,a person and their crush,cohabitants,long distance lovers,brothers in arms
Valence Evaluation,100,99,100,100,70,24,90,25,36,0,97,89,33,63,0,0,2,0,27,83,9,97,88,98,100,100,95,71,93,100,71,93,65,92,93,16,86,27,78,61,68,6,0,24,61,19,81,66,28,66,78,23,14,100,28,28,59,57,98,94,100,87,64,93,0,73,95,92,73,100,100,97,95,4,7,65,97,99,94,94,83,99,93,94,99,90,92,91,80,95,92,50,9,2,2,2,75,37,91,71,65,94,91,94,90,94,95,74,94,91,97,67,95,89,98,14,98,98,96,0,5,99,96,74,82,91,94,96,93,97,91,57,62,96,1,36,95,77,98,96,20,49,82,97,91,32,97,95,99,93,93,90,98,91,0,75,96,97,91
Equality,0,0,100,100,100,78,36,0,18,0,15,38,43,80,80,87,86,65,0,23,0,100,100,86,94,12,100,0,22,33,80,84,100,100,100,0,0,0,31,20,75,0,19,19,27,0,82,69,67,9,5,27,18,0,17,0,0,19,100,95,100,58,16,19,31,68,100,100,90,100,100,100,100,100,0,0,91,8,91,95,93,85,92,92,90,11,28,10,10,8,28,26,37,33,97,28,31,23,38,87,83,24,8,32,78,4,8,3,38,7,31,5,62,39,81,4,95,74,91,89,90,90,95,34,4,92,93,91,91,39,38,34,35,36,95,89,89,95,90,91,94,94,91,95,96,93,93,7,7,93,80,87,93,91,94,93,91,94,91
Activity Intensity,97,74,100,100,71,21,91,61,9,21,66,57,35,58,11,69,32,36,65,39,16,71,34,80,66,61,30,66,59,38,57,69,68,96,100,72,56,33,54,40,21,0,40,65,33,56,66,54,41,58,72,66,30,78,63,67,62,27,76,75,100,42,33,100,1,36,57,70,55,100,100,70,61,13,31,27,88,93,96,99,58,100,97,95,21,30,37,32,55,39,44,59,49,39,36,27,43,38,33,29,29,54,60,54,23,37,55,39,26,43,45,43,13,31,24,61,13,38,55,23,54,58,97,28,35,83,80,79,81,98,56,36,43,45,11,1,97,24,42,100,65,2,56,97,97,39,96,94,98,14,90,100,96,61,29,58,75,94,81
Socioemotional,65,68,80,90,65,24,65,32,25,9,28,22,36,7,20,25,20,60,28,17,37,66,66,51,60,65,74,66,61,78,58,58,64,76,56,36,30,23,2,41,20,25,33,27,34,32,58,37,33,60,29,17,35,61,30,26,36,26,67,63,59,55,39,20,30,54,68,65,65,56,93,37,55,60,36,32,98,98,97,93,95,99,97,96,3,30,3,9,2,30,1,3,41,2,4,6,9,4,3,15,2,16,2,2,36,30,43,29,20,32,13,58,28,0,33,3,23,3,38,61,98,4,39,6,6,54,70,94,91,96,40,13,8,63,19,33,98,96,4,97,97,50,79,100,95,88,99,98,99,24,93,98,98,88,66,94,96,98,95
Formality and Regulation,0,0,0,0,0,62,24,100,79,69,79,72,83,90,63,68,78,21,79,74,85,0,7,44,14,6,11,58,27,7,0,24,15,0,0,87,98,92,88,42,87,69,83,93,77,76,41,69,63,35,69,67,92,40,99,74,88,87,2,12,14,32,65,78,33,21,0,25,2,0,0,42,52,54,85,89,7,4,5,6,5,4,4,7,64,86,68,67,89,73,93,90,38,27,64,74,90,71,78,90,93,86,71,90,61,56,95,68,70,68,62,69,66,77,67,64,92,67,75,2,5,7,77,86,76,58,9,55,58,3,58,74,87,4,3,6,6,28,89,5,4,57,6,3,8,6,5,9,7,55,69,2,7,35,6,3,5,3,10
Intimacy,54,41,100,100,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,29,0,31,51,16,37,24,0,62,15,3,30,35,0,1,0,1,0,0,1,0,0,0,0,0,0,0,70,0,0,0,0,0,1,0,0,31,1,12,0,0,0,0,0,42,0,63,100,100,0,0,0,0,0,37,74,5,96,93,42,3,4,4,7,6,4,4,5,4,6,6,2,5,5,3,4,4,3,5,5,4,6,3,3,4,4,4,4,6,7,1,3,62,3,5,4,4,2,5,3,4,3,6,4,6,39,31,3,4,5,4,6,4,7,27,2,3,99,43,6,4,45,44,4,8,77,69,5,7,100,4,3,4,63,3,43,5
Visibility,74,100,83,71,74,35,69,100,80,23,76,6,100,84,81,70,27,24,77,97,8,88,100,100,66,100,82,73,76,85,0,81,79,74,65,100,65,88,71,0,21,79,63,81,81,100,100,88,65,0,73,63,100,26,74,72,82,27,76,92,100,34,100,100,29,73,100,76,84,100,79,100,100,84,68,100,92,66,75,91,4,66,70,35,94,91,88,89,91,93,90,90,88,93,94,92,96,34,91,93,90,83,88,95,93,89,91,91,90,92,92,92,40,88,83,91,93,69,80,95,61,6,66,91,93,95,94,87,89,92,92,88,88,91,93,88,81,70,92,72,38,93,91,77,77,90,69,68,75,87,22,80,77,78,92,28,93,75,39
Communal Sharing,98,82,100,100,100,29,56,18,17,14,35,57,0,42,34,34,19,34,34,35,16,100,56,18,72,85,76,91,80,79,8,68,58,85,97,14,64,32,8,11,34,37,8,18,15,40,57,54,37,0,38,86,25,96,22,37,44,27,81,30,75,57,24,32,16,15,69,71,68,100,100,59,57,23,13,26,96,94,98,96,59,94,92,86,3,39,32,29,8,31,10,17,7,1,8,20,35,26,11,2,2,35,39,34,19,54,59,35,36,30,15,58,2,38,59,5,7,2,53,65,63,43,40,25,24,55,68,77,87,96,43,5,3,28,44,60,93,55,35,94,66,25,60,95,99,56,93,95,98,58,72,95,97,58,55,60,81,91,67
Expected Reciprocity,60,39,98,99,99,17,45,44,59,17,41,63,57,86,60,56,58,80,37,60,12,100,97,99,90,33,39,94,93,72,60,96,72,97,78,44,60,58,56,64,41,17,27,61,56,44,97,56,61,69,56,61,11,19,38,39,59,57,94,90,34,41,43,43,56,19,100,86,96,95,97,89,71,56,41,0,83,25,73,76,61,87,94,11,7,5,7,64,9,8,5,3,8,3,8,8,4,3,6,5,6,5,34,7,5,6,29,6,4,4,6,6,6,5,8,5,7,8,5,59,5,73,8,8,7,4,100,86,74,9,6,5,8,6,6,8,93,77,67,96,6,55,85,30,69,62,79,14,6,63,63,95,84,78,64,42,90,66,72
Strategic,5,57,5,14,6,5,17,57,57,80,66,70,99,65,99,65,100,17,62,72,62,6,11,24,7,16,11,22,7,24,9,14,2,10,6,57,60,60,88,61,71,66,90,68,83,61,15,59,68,29,68,60,71,5,88,63,39,63,2,11,31,8,60,44,60,57,14,3,10,6,3,25,23,8,66,58,2,1,3,4,27,2,19,7,42,59,65,72,65,67,67,69,61,63,72,68,66,64,66,65,69,73,57,65,63,64,56,59,87,79,66,36,91,87,73,67,59,84,62,40,25,78,66,61,71,66,31,28,25,6,34,72,72,43,41,82,3,58,90,6,60,64,33,3,4,43,7,32,4,38,64,25,32,14,35,71,32,22,31
