,parent and child,parent and teenager,wife and husband,fiance and fiancee,siblings,divorced spouses,a person and their in laws,employer and employee,interviewer and job applicant,guard and prisoner,nurse and patient,therapist and patient,salesperson and customer,business partners,opposing negotiators,political opponents,business rivals,enemies,teacher and student,professor and graduate student,master and servant,close friends,casual acquaintances,teammates in sports,second cousins,grandparent and grandchild,foster parent and foster child,godparent and godchild,step grandparent and step grandchild,ancestor and descendant,man and his mistress,step siblings,distant relatives,twins,a person and their family friends,manager and staff,union leader and union member,manager and assistant,entrepreneur and investor,drug dealer and addict,victim and witness,criminal and police officer,criminal and prosecutor,customer and businessman,representative and citizen,officer and soldier,religious followers,reader and writer,reviewer and writer,sugar daddy and sugar baby,director and performer,psychologist and client,judge and contestant,man and god,university student and administrator,student and dorm resident assistant,athletic trainer and trainee,researcher and research subject,peers,classmates,bride and bridesmaid,guest and host,television host and guest,volunteer and organizer,bully and victim,a person and their social media follower,childhood friends,pen friends,friends with benefits,life partners,soul mates,church members,fans of the same sports team,fans of opposing sports teams,superior and subordinate,a monarch and their minister,cousins,parent and infant,step parent and step child,bride and groom,man wife and man mistress,brother and sister,close relatives,a person and their deceased spouse,foreman and laborer,owner and manager,chief and deputy,supervisor and subordinate,boss and secretary,intern and employee,lawyer and client,judge and lawyer,victim and criminal,criminal and hostage,defendant and plaintiff,police officer and offender,police officer and civilian,parole officer and parolee,consultant and client,chef and customer,customer and server,doctor and patient,doctor and nurse,patient and caretaker,driver and passenger,coach and athlete,team captain and team members,club member and club president,politician and supporter,leader and follower,babysitter and infant,religious leader and congregant,prostitute and customer,guide and tourist,athlete and referee,slave and master,performer and audience,dealer and buyer,co workers,sports rivals,romantic rivals,criminal and their accomplice,diplomats,principal and teacher,professor and teaching assistant,mentor and mentee,roommates,sorority sisters,fraternity brothers,groom and groomsman,predecessor and successor,landlord and tenant,landlord and housekeeper,celebrity and fans,celebrity and haters,native and tourist,friends,facebook friends,political allies,romantic lovers,ex lovers,strangers,neighbors,aunt and niece/nephew,uncle and niece/nephew,frenemies,half siblings,adoptive parents and adopted kids,mother and infant,alumni,confidants,a person and their significant other,companions,playmates,competitors in sports,a person and their crush,cohabitants,long distance lovers,brothers in arms
Concreteness,25,21,19,0,0,57,43,73,58,50,88,58,100,72,48,47,50,51,44,52,91,16,45,41,51,33,48,48,45,65,62,23,49,20,28,84,49,79,67,97,45,50,52,98,51,50,45,41,84,92,60,70,61,0,53,50,58,88,41,48,45,50,59,49,48,36,43,35,61,0,0,44,45,38,86,51,0,51,0,0,0,0,0,0,100,100,100,74,100,100,100,50,0,0,0,0,34,50,100,100,100,100,67,100,100,61,28,0,0,0,78,57,100,100,100,100,100,100,73,0,0,100,62,6,100,75,45,0,0,0,23,100,100,0,0,0,0,0,61,0,0,0,0,0,0,0,0,26,48,0,0,0,0,0,0,0,26,0,38
Uniqueness,100,92,100,100,96,96,87,23,20,23,0,32,0,92,50,46,74,77,18,65,46,94,1,58,55,90,42,92,66,57,62,98,23,100,44,67,38,80,41,37,0,0,41,41,21,27,0,0,59,72,38,46,44,100,0,42,39,35,7,37,80,39,44,29,40,0,81,85,86,100,100,55,22,0,13,73,85,98,78,100,76,91,99,100,34,76,91,19,86,38,40,22,67,23,38,0,0,12,24,26,9,8,24,60,6,21,23,11,0,9,37,20,10,0,32,0,17,19,34,89,48,20,36,36,35,92,42,29,63,91,76,9,40,4,0,0,99,0,28,89,59,0,40,69,78,43,60,94,97,0,98,100,97,42,93,61,100,98,64
Love Expression,100,100,100,100,100,12,41,22,51,0,63,69,37,77,0,0,0,0,56,44,5,94,26,79,29,100,32,50,55,63,50,82,14,100,72,40,51,24,33,0,11,0,0,55,35,23,61,56,31,49,31,62,43,89,31,27,33,49,60,69,80,49,49,37,0,59,61,53,48,100,100,67,61,0,4,49,77,100,76,100,56,98,100,100,0,4,17,0,17,0,0,0,0,0,0,0,0,6,35,0,17,0,0,48,22,54,54,0,0,0,60,21,0,0,27,0,21,22,43,0,0,0,26,14,0,16,22,56,70,81,42,0,0,30,0,0,96,0,43,100,0,0,21,78,82,15,72,91,100,0,51,100,75,42,0,56,73,100,86
Information Exchange,91,98,75,80,72,27,81,96,66,100,97,82,83,64,39,13,12,23,100,90,99,74,25,66,26,93,79,46,27,55,39,69,15,59,54,94,44,70,71,27,19,94,70,81,43,99,54,81,96,20,90,93,62,100,56,44,99,81,68,62,65,35,38,61,43,55,57,28,31,73,73,58,43,39,100,77,52,96,70,87,44,86,100,0,43,81,40,80,57,41,100,17,0,21,0,12,53,67,100,33,44,100,62,62,0,100,57,0,62,77,52,100,13,54,56,59,30,25,12,0,0,56,74,68,55,100,21,56,60,59,87,0,0,34,0,37,84,0,32,89,0,0,54,55,63,0,62,74,95,0,100,93,84,38,0,35,55,88,79
Money Exchange,88,84,74,68,0,85,1,100,0,0,0,100,100,90,0,0,0,0,0,0,0,0,0,0,0,85,4,27,67,53,57,0,38,0,45,32,0,85,96,100,21,0,0,100,55,0,0,63,23,100,0,100,0,0,40,0,0,72,0,0,37,13,0,0,0,0,0,52,0,69,50,0,9,0,50,0,0,0,0,0,0,0,0,0,100,100,0,0,100,50,100,0,50,88,100,0,0,0,100,100,100,100,0,0,70,0,0,0,69,0,100,30,100,100,100,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goods Exchange,57,6,0,0,1,57,0,63,0,0,4,4,100,12,37,0,0,0,4,0,1,1,0,0,0,6,0,0,15,27,11,10,0,3,35,2,1,0,81,100,0,0,0,76,0,0,3,5,3,75,21,64,50,0,0,0,4,56,0,3,6,11,11,0,0,0,1,55,12,29,13,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Service Exchange,100,100,98,92,27,56,43,71,0,0,76,54,100,62,0,0,0,30,7,54,15,11,0,63,0,82,45,43,20,44,56,9,17,39,75,33,50,80,84,89,0,0,0,96,50,10,62,55,0,81,30,80,6,60,40,3,44,54,36,0,31,55,0,54,0,0,52,6,75,100,100,61,14,0,82,31,18,99,18,16,44,5,9,11,66,79,100,66,100,18,100,100,11,3,0,67,100,29,100,100,100,100,20,100,100,71,13,32,87,76,100,29,100,100,100,100,100,100,29,0,0,4,45,100,100,79,0,0,46,17,28,100,100,15,21,0,0,0,26,13,15,0,21,20,20,14,13,17,98,0,0,6,7,16,31,17,27,17,10
Attachment,100,100,100,100,100,40,53,0,0,15,45,51,0,54,2,11,17,46,53,14,51,94,0,66,10,98,53,46,60,51,62,74,0,100,69,7,55,11,9,0,46,0,8,0,0,0,53,59,34,31,6,53,44,86,0,0,52,2,50,50,72,13,13,43,42,37,62,17,62,100,100,35,27,0,0,45,56,100,64,100,69,100,91,100,19,0,0,14,0,0,0,0,0,0,0,0,0,0,18,0,0,31,14,40,0,54,54,35,33,16,56,55,0,0,0,0,23,0,0,43,0,21,23,34,0,53,28,65,59,80,0,0,0,37,0,10,79,21,51,100,20,0,35,58,52,37,63,88,100,43,93,100,86,56,0,61,36,100,88
Mating,100,95,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,100,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,15,100,0,0,0,49,0,100,0
Conflict,51,71,35,26,34,90,51,41,0,100,5,34,42,45,93,96,100,100,42,35,40,8,0,21,0,3,65,0,2,0,16,29,0,29,5,40,0,28,11,91,10,100,100,25,31,65,4,10,20,36,36,28,0,41,57,47,7,0,24,12,11,14,16,17,100,1,7,0,0,27,28,0,0,86,21,17,46,0,28,45,43,56,31,0,62,48,44,45,45,52,20,56,100,100,100,100,44,100,51,51,54,42,45,15,20,41,21,51,23,33,16,7,36,37,62,100,10,44,20,100,100,48,0,41,52,35,35,19,18,14,43,64,47,15,100,51,6,47,0,21,100,48,35,23,20,85,42,9,0,0,29,47,3,19,100,28,48,17,9
