Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2022/9/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
United Arab Emirates,ARE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.486220002,,,0.693599999,0.895039976,0.963660002,,1.278360009,1.313079953,1.449339986,
Argentina,ARG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.961713235,9.327913719,9.029679936,7.684105614,7.321190412,6.636365014,7.458078026,7.061130242,9.225691876,8.982391262,9.205419155,5.402984018,5.21279058,6.903889092,
Argentina,ARG,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1202087337,2014770885,1607438723,1686223647,1926288755,1654528414,1791005926,1509995248,1475175631,1333425811,1487360178,647172447,561915855,546445789,466425814
Argentina,ARG,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,1269,954,951,1102,1182,,,,,,955,943,503,787,694,676,1097,824,861,899,1062,691,718,792,786,1054,1020,937,801,640,552,688,735,643,509,546,884,393,425,442,930,
Argentina,ARG,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,3063,3321,2793,2443,2656,,,,,,1955,1851,1919,2261,2820,3588,4012,5035,5459,5558,5574,5088,4143,3765,3816,4215,4597,4806,4781,4336,4165,4133,4078,4129,4173,3579,2925,3050,3242,3260,2562,
Argentina,ARG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.417490005,0.419589996,0.411309987,0.453370005,0.438840002,0.424609989,0.388859987,0.410129994,0.403759986,0.420740008,0.452160001,0.460070014,0.470550001,0.583980024,0.561039984,0.565970004,0.634909987,0.618489981,0.593959987,0.622619987,0.558149993,0.556309998,0.494349986,0.457130015,,
Armenia,ARM,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.139895987,1.573331283,2.842802075,2.324427991,3.37333606,2.850901359,3.027848292,3.021633792,5.651814377,6.13769143,7.550862652,7.055598369,9.794845015,7.000017214,
Armenia,ARM,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5195605,7247588,5130103,4727601,7448895,7581095,9332592,9307631,11860132,21845447,28235636,36293329,45573710,26514439,37562645
Armenia,ARM,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,154,187,162,62,75,109,119,140,200,151,,206,192,135,226,116,136,121,137,125,121,113,125,107,101,112,63,
Armenia,ARM,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,79,98,154,121,8,16,8,15,7,6,,2,1,5,4,11,6,19,4,6,2,2,1,3,4,4,7,
Armenia,ARM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186920002,0.226009995,0.214000002,0.191060007,0.279870003,0.252550006,0.321090013,0.256590009,0.257609993,0.240569994,0.211070001,0.224380001,0.290930003,0.241390005,0.270139992,0.238529995,0.222159997,0.241510004,0.250019997,0.233050004,0.227880001,0.188759997,0.178540006,0.209209993,
American Samoa,ASM,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187869996,0.325280011,0.366919994,0.395520002,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.026055698,0.375050372,0.613426845,0,,
Antigua and Barbuda,ATG,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,3183,11437,,,
Antigua and Barbuda,ATG,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
Antigua and Barbuda,ATG,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,7,15,10,12,8,5,,,
Antigua and Barbuda,ATG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.53065908,15.34404151,16.66427788,16.50695999,17.94354955,17.28031184,18.00245677,18.98277471,19.68531481,20.6098143,17.7019818,18.17692065,21.31103149,21.48722101,
Australia,AUS,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3856932141,4467054952,3840218927,4554403968,5598902061,5466439333,5341235868,5455317567,5089628319,5375124772,4900487730,5231519687,6347419761,5597904737,6309320488
Australia,AUS,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,6582,6341,6603,6930,7170,,,,,,,,,,,1784,1797,1760,1862,1858,1928,2187,2364,2418,2559,2555,2837,2718,2821,2494,2409,2383,2627,3061,1988,2291,2620,2503,2757,2637,2368,
Australia,AUS,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,9354,9807,9572,9529,10212,,,,,,,,,,,12277,13221,15398,16063,17960,20073,20548,20181,19176,20274,21302,23166,24122,23525,21187,22478,23143,23731,26656,23968,26314,25774,26403,27200,27121,26926,
Australia,AUS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.663229942,,1.514529943,,1.574239969,,1.748540044,,1.849499941,,2.181129932,,2.401119947,,2.372859955,2.235630035,,2.178489923,,1.920830011,,1.879259944,,1.829280019,,
Austria,AUT,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.98384043,12.66037744,13.43745346,13.70527964,13.25532737,14.54464425,15.3690084,15.49043074,15.03264399,14.45305971,12.88191085,11.64557137,11.47678663,12.26431298,
Austria,AUT,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16729299005,17672518933,14164719821,15801880493,17846667828,18475488636,20792974041,21648209279,18084508523,17333740587,17021302061,16673587598,15959507308,15986052212,21281208991
Austria,AUT,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,2327,2390,2233,2345,2324,2269,2210,2249,2212,2105,2025,2076,2117,2190,1989,1728,1909,1910,1957,2028,1961,1815,1932,2120,2248,2270,2271,2385,2298,2263,2424,2154,2258,2162,2092,2205,2078,2073,2039,2066,2124,
Austria,AUT,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,4166,3428,2620,2322,1891,1591,1336,1272,1048,915,670,544,517,513,516,458,449,397,349,341,340,284,329,213,266,235,378,287,329,292,249,276,294,244,271,236,237,232,168,208,173,
Austria,AUT,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.580770016,1.654909968,1.731549978,1.845370054,1.886019945,1.9921,2.065979958,2.17456007,2.166120052,2.373239994,2.359230042,2.41843009,2.569449902,2.596740007,2.726099968,2.668679953,2.914720058,2.954920053,3.084290028,3.049690008,3.116549969,3.05656004,3.090579987,3.129719973,3.201280117,
Azerbaijan,AZE,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.309530992,1.149993006,1.016460669,1.368551661,1.731821187,8.55945903,13.77396721,7.729481744,3.898571966,2.812210783,3.301082299,4.345525471,4.951593404,7.067278892,
Azerbaijan,AZE,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16910321,7425965,4537422,7200494,10332315,45373920,73389339,33923114,13926421,11727294,14069402,21177987,27996627,33914977,22213280
Azerbaijan,AZE,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,165,,,,,203,234,246,270,281,246,287,226,264,254,193,144,156,168,184,144,204,155,147,90,
Azerbaijan,AZE,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,17,,,,,10,7,18,7,6,13,8,7,17,17,12,,,,,19,22,16,20,18,
Azerbaijan,AZE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235330001,0.369500011,0.421249986,0.392890006,0.335999995,0.340009987,0.301550001,0.324959993,0.298310012,0.219940007,0.171650007,0.170059994,0.165539995,0.249760002,0.218480006,0.210840002,0.214269996,0.209690005,0.209779993,0.222320005,0.206369996,0.18468,0.184159994,0.200130001,0.224350005,
Burundi,BDI,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305334494,1.457298325,3.492667709,3.195982557,1.663621512,17.04276442,1.531361875,0.169516197,
Burundi,BDI,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51849,392605,762345,600998,224837,2019595,224575,37510,
Burundi,BDI,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,2,,2,
Burundi,BDI,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,10,5,2,2,7,,2,,,1,3,,2,1,4,1,4,,,,,,,,,,,,,,,,,,,,,10,2,15,5,
Burundi,BDI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.200680003,0.154170007,0.140959993,0.137189999,,0.107019998,,,,,,0.213119999,,,
Belgium,BEL,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.462801317,8.943796556,11.35583237,9.262592221,8.673927568,8.940896306,10.63916929,11.93858606,12.33445911,13.33051194,11.49128241,11.70534096,14.14335619,15.24869437,
Belgium,BEL,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28337950654,31661467404,32164705503,18056971492,19708635846,18575748650,23017332289,26766121657,22551602141,27174310784,25234291628,28164337375,33078387589,34420442629,52227761209
Belgium,BEL,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,865,806,914,805,869,771,794,548,636,681,643,625,675,809,744,732,776,792,690,591,577,571,601,519,514,517,490,454,575,669,620,636,755,715,889,949,1054,1001,892,876,862,
Belgium,BEL,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,5104,3918,2944,2261,1966,1476,1334,889,776,663,613,574,499,679,446,355,310,269,249,249,243,264,147,188,122,105,161,163,133,148,140,127,127,161,137,148,119,216,218,257,288,
Belgium,BEL,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.742990017,1.809710026,1.838250041,1.90565002,1.936190009,2.032789946,1.903249979,1.841189981,1.820500016,1.790609956,1.82269001,1.84999001,1.936840057,1.998600006,2.061880112,2.173320055,2.281140089,2.330729961,2.370019913,2.428169966,2.523380041,2.66666007,2.860310078,3.160000086,3.477200031,
Benin,BEN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.275855655,4.135343881,2.167472822,1.248341568,5.308217107,2.85225254,2.547613731,2.680795161,
Benin,BEN,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569796,3987990,1171209,577999,3522292,1403781,700714,1410633,1211677
Benin,BEN,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.745313488,7.907497369,7.313790573,8.636257858,13.99286026,11.04633554,5.286721787,5.944967255,5.669334249,5.910959101,25.80293659,3.420976085,
Burkina Faso,BFA,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18492514,11301002,8259133,10978416,14208170,13835438,5765833,6875574,5350848,6498091,34843264,4097239,3595403
Burkina Faso,BFA,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,,,1,2,1,,,,,2,,,,,,,,,,,
Burkina Faso,BFA,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
