"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Africa Eastern and Southern","AFE","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","0","0","2799998.88112045","1399999.44056022","2799998.88112045","2799998.88112045","2799998.88112045","4199998.32168067","5599997.76224089","2799998.88112045","4199998.32168067","6985476.14225652","10251867.9728003","5773073.196048","7377986.34929872","8305088.20645571","10349999.991","11144831.9736102","10978241.3750546","12920745.019701","19478383.8006111","20176922.1496437","20664645.2906925","19119271.9700497","14761444.3364422","11357359.4320882","13285289.5684024","23549533.6038327","14783768.5050057","42056061.6448521","30598167.9917569","104445468.440819","62848125.6414902","76663057.5750853","79263830.671328","68604359.9001978","107522455.020004","91895364.4398549","88828272.9107401","64143929.8695016","78800884.320691","36980484.6642858","34239386.6243244","43985632.3073441","286890640.851366","160418469.910011","1459557939.88036","169172439.848618","294437192.078452","224715976.536424","182704294.336385","231492631.987218","217655329.893993","233043819.78459","255938294.409554","262142138.339504","228231052.601865","272194710.947834","314298586.044117","240732725.861329","188234749.547738","138594780.183615",
"Africa Eastern and Southern","AFE","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","5599997.76224089","5599997.76224089","8399996.64336134","15399993.8461625","15399993.8461625","26599989.3706442","26599989.3706442","32199987.1328851","37799984.895126","39199984.3356862","46199981.5384874","47527375.6763246","63773980.2137103","78078851.9005019","72148373.0902195","107043108.038023","111424412.832397","147872278.821728","181309089.76823","177728123.571667","220288726.280588","234429968.226397","212926712.018452","220912474.528507","173752336.219322","126039179.160406","134591645.837634","189284510.541473","179288967.013878","162062975.153806","167274402.486613","209382301.388228","180139306.880349","260238512.710708","236955019.516439","393810107.268975","383757638.537913","386585738.585637","343401984.91352","329550880.441077","396369882.141538","458714373.790437","587668403.787097","762155199.05751","1066498399.69093","1260750199.58289","1460852924.74055","1836130868.5094","1913591848.82785","1912271267.3151","2068158316.32213","2218812780.4091","2366000543.68757","2379213101.16718","2368729697.341","2256459122.57745","2394608159.3712","2551332706.14039","2161661760.55854","1740564462.87476","1562474516.92963","1618369841.80822",
"Afghanistan","AFG","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","",
"Afghanistan","AFG","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","1","4.5","8.34","5.75","9.15","13.69","14.23","12.5","26.3","27.93","39.62","34.15","27.81","34.69","22.2","81.64","91.89","111.72","","","",
"Afghanistan","AFG","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
