"X1","X2","value","L1"
"F1","ML1",0.0462691031394976,"Australia"
"F2","ML1",0.99824738270914,"Australia"
"F3","ML1",0.375138007563014,"Australia"
"F4","ML1",0.15921744975576,"Australia"
"F5","ML1",-0.029272224687349,"Australia"
"F1","ML2",0.792990473721603,"Australia"
"F2","ML2",-0.00332154573203939,"Australia"
"F3","ML2",0.142465603937796,"Australia"
"F4","ML2",-0.480541162546036,"Australia"
"F5","ML2",0.520983290421245,"Australia"
"F1","ML1",0.102935920851429,"Brazil"
"F2","ML1",0.602919419321575,"Brazil"
"F3","ML1",0.969951811087506,"Brazil"
"F4","ML1",-0.516290349323934,"Brazil"
"F5","ML1",0.0306951025124907,"Brazil"
"F1","ML2",0.780096850836494,"Brazil"
"F2","ML2",0.386883879220499,"Brazil"
"F3","ML2",0.011604964424765,"Brazil"
"F4","ML2",0.485101322973381,"Brazil"
"F5","ML2",0.533076873583602,"Brazil"
"F1","ML1",0.98496813372258,"Chile"
"F2","ML1",0.185388543778774,"Chile"
"F3","ML1",-0.602582101645187,"Chile"
"F4","ML1",-0.0126468710101926,"Chile"
"F5","ML1",0.245362141698657,"Chile"
"F1","ML2",0.0469176037131194,"Chile"
"F2","ML2",0.479424602808975,"Chile"
"F3","ML2",0.193698964243963,"Chile"
"F4","ML2",0.93421392978069,"Chile"
"F5","ML2",0.0225496783817399,"Chile"
"F1","ML1",0.925845375171548,"CHN"
"F2","ML1",0.712557672541731,"CHN"
"F3","ML1",-0.249819333637758,"CHN"
"F4","ML1",0.034854736494509,"CHN"
"F5","ML1",0.115165153591138,"CHN"
"F1","ML2",-0.0315022395938422,"CHN"
"F2","ML2",0.0857093774641024,"CHN"
"F3","ML2",0.454118576920404,"CHN"
"F4","ML2",0.868446483651365,"CHN"
"F5","ML2",-0.220524098066486,"CHN"
"F1","ML1",0.303622363804102,"Egypt"
"F2","ML1",1.00034847660597,"Egypt"
"F3","ML1",-0.200204992432532,"Egypt"
"F4","ML1",0.413733463846421,"Egypt"
"F5","ML1",-0.0164554001511765,"Egypt"
"F1","ML2",0.33659774301361,"Egypt"
"F2","ML2",-0.0256425896403785,"Egypt"
"F3","ML2",0.278167609887305,"Egypt"
"F4","ML2",0.316269051243638,"Egypt"
"F5","ML2",0.999401580794461,"Egypt"
"F1","ML1",0.945042624679022,"France"
"F2","ML1",0.122494128309386,"France"
"F3","ML1",0.0725241444397701,"France"
"F4","ML1",-0.619942778772984,"France"
"F5","ML1",0.369148332721663,"France"
"F1","ML2",0.126066405512016,"France"
"F2","ML2",0.492645469655795,"France"
"F3","ML2",0.802126461561037,"France"
"F4","ML2",0.357919042926947,"France"
"F5","ML2",0.065634795505319,"France"
"F1","ML1",0.138662813086029,"Germany"
"F2","ML1",0.862282216016077,"Germany"
"F3","ML1",0.373945458692414,"Germany"
"F4","ML1",0.337720177882997,"Germany"
"F5","ML1",0.0818724506366591,"Germany"
"F1","ML2",0.75306446091168,"Germany"
