,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5
0,100,50,50,27,0,0,100,100,0
1,100,50,50,1,1,1,98,99,10
2,100,29,28,2,4,4,100,95,19
3,100,48,50,11,0,6,81,100,18
4,100,50,50,0,0,0,100,100,0
6,100,51,50,13,1,6,94,100,10
7,100,10,10,0,0,0,100,100,0
8,100,50,50,0,0,5,100,100,20
9,100,5,49,1,2,4,100,100,2
10,70,50,50,5,1,1,100,100,1
11,94,45,30,1,1,10,75,97,25
12,95,50,50,3,1,2,87,100,17
13,100,50,39,1,1,2,100,100,3
14,98,50,50,1,4,9,55,94,19
15,100,49,51,6,0,0,100,100,0
16,95,35,27,0,0,0,100,100,20
17,100,50,50,1,1,8,65,99,18
18,95,50,50,1,1,3,80,100,19
19,100,52,30,0,0,4,93,100,14
20,100,38,16,4,3,8,89,100,16
21,100,50,50,0,0,0,100,100,0
23,87,54,51,4,5,10,91,97,24
24,100,30,10,5,1,1,100,100,1
25,95,50,51,3,2,5,96,100,18
26,100,13,13,3,1,1,100,100,26
27,100,50,50,1,1,5,80,100,15
28,100,23,22,1,1,5,70,100,20
29,65,45,30,1,0,0,65,100,25
30,100,50,39,8,0,0,100,100,10
31,96,44,29,5,7,12,85,95,40
32,100,19,16,1,1,7,84,100,26
33,100,49,39,8,1,1,100,100,1
34,100,57,37,0,0,0,100,100,0
35,94,45,26,16,3,18,67,98,42
36,100,50,50,1,1,1,100,100,1
37,89,50,50,1,1,1,91,95,1
38,100,50,46,5,5,5,100,100,5
39,86,23,14,9,2,8,99,99,14
40,100,50,45,4,0,12,86,100,37
41,100,50,50,1,1,1,100,100,4
42,100,51,49,5,2,3,100,100,12
43,100,28,18,1,2,4,100,100,14
44,92,50,46,3,4,14,83,98,29
45,100,50,50,1,1,1,100,100,1
46,100,45,40,4,6,4,100,100,5
47,100,41,42,0,0,0,100,100,0
48,95,40,25,8,0,5,75,100,15
49,100,50,50,0,5,10,70,95,20
50,95,50,40,20,5,10,70,80,20
51,91,49,51,12,6,6,95,96,12
53,100,50,25,0,0,0,100,100,0
55,100,50,50,1,2,2,100,100,3
56,83,26,28,4,3,2,100,100,3
57,87,50,23,13,0,12,76,100,19
58,100,50,38,1,0,12,100,100,13
59,100,50,44,0,6,11,100,100,17
60,100,51,3,3,3,5,81,100,12
61,100,50,50,0,0,0,100,100,0
62,85,54,55,5,2,3,89,96,21
63,100,35,48,1,1,1,90,100,34
64,100,51,51,25,2,8,70,88,18
65,100,61,52,15,1,8,82,100,31
66,100,50,41,0,0,16,78,100,36
67,95,50,28,14,5,9,93,98,21
68,100,50,40,0,0,0,100,100,10
69,93,91,28,7,4,7,78,100,13
70,80,40,23,13,1,14,76,99,28
71,98,73,25,2,0,7,74,91,19
72,100,53,46,9,6,12,66,100,22
73,79,43,32,5,4,14,57,100,30
74,100,49,42,3,4,2,79,87,26
75,100,50,50,15,0,0,100,100,0
76,85,50,50,14,0,0,100,100,0
77,100,49,48,1,1,13,100,100,13
78,100,50,30,3,3,2,100,100,3
79,100,50,40,4,3,7,100,100,23
80,100,50,38,0,0,0,100,100,0
81,90,58,65,5,4,17,76,88,31
82,100,48,25,1,6,19,74,100,30
83,99,47,58,9,0,3,82,100,15
84,100,50,55,14,1,1,100,100,1
85,100,50,50,16,1,10,85,100,20
86,100,50,50,0,0,0,100,100,0
88,99,41,47,3,8,7,98,96,16
89,95,50,31,0,1,3,90,100,24
90,91,55,56,10,9,17,87,98,43
92,100,31,1,1,2,1,75,99,1
93,86,41,42,19,2,2,100,100,13
94,100,50,47,1,1,1,100,100,1
95,100,50,56,27,1,1,100,100,1
97,80,50,22,12,5,13,77,91,35
98,100,50,50,0,0,0,90,100,10
99,100,0,0,0,0,0,100,100,0
100,100,36,47,6,1,6,100,100,23
101,100,40,34,0,1,4,100,100,10
105,100,50,50,4,2,2,100,100,1
106,100,42,38,1,1,2,100,100,18
107,100,50,50,2,2,4,75,95,14
108,100,59,59,17,0,0,100,100,0
109,100,55,50,0,0,0,100,100,0
110,100,50,50,0,0,5,63,100,22
111,100,30,50,0,0,0,100,100,0
112,100,50,50,1,1,10,80,100,20
113,93,50,39,2,3,3,97,98,8
114,96,50,30,1,1,3,79,100,17
115,100,63,30,1,1,7,65,92,22
116,100,49,29,3,2,4,100,100,4
117,96,51,53,3,5,10,82,92,27
118,100,51,60,5,5,13,70,96,24
