,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5
145,100,85,35,1,3,4,100,100,15
149,100,52,52,7,2,11,100,100,34
150,100,88,64,1,8,9,100,100,1
152,100,54,54,2,3,3,100,100,3
153,100,52,53,2,3,3,100,100,1
154,100,53,53,2,2,2,100,100,2
155,100,56,56,1,2,1,100,100,1
156,100,53,54,1,3,3,100,100,4
157,88,69,48,21,2,7,75,95,18
158,82,69,47,22,2,7,77,97,12
159,81,57,31,6,2,5,75,89,12
160,74,29,28,1,1,2,73,100,8
161,98,55,55,4,2,5,81,98,10
162,96,50,44,3,3,8,85,97,13
163,100,50,50,0,2,4,53,100,15
164,100,51,50,0,3,5,52,100,19
165,100,36,42,21,5,5,99,99,6
166,100,50,49,0,5,6,51,100,16
167,100,41,49,7,6,5,96,98,5
168,100,49,35,1,3,4,100,100,19
169,100,68,59,7,5,3,98,97,6
170,100,45,54,1,1,12,73,100,25
171,100,52,31,0,0,5,82,100,15
172,100,62,53,2,1,1,100,100,5
173,100,72,26,0,0,8,85,100,19
175,100,66,51,10,5,13,59,100,34
176,100,49,46,5,3,10,80,100,22
178,100,57,58,0,0,0,66,100,25
179,62,37,54,1,0,3,61,99,8
180,100,50,50,1,1,5,69,100,25
181,87,50,50,0,0,8,56,100,25
182,91,80,74,15,4,4,100,99,9
183,95,82,71,4,5,5,100,100,12
184,100,71,49,30,9,13,100,90,12
185,94,50,49,5,2,7,75,89,7
187,95,50,50,5,5,5,81,95,5
191,90,50,50,5,1,1,75,90,2
193,100,100,50,1,0,10,80,100,33
194,100,95,40,1,0,0,100,71,45
195,100,67,58,0,1,2,100,100,4
196,100,60,57,0,0,1,100,100,3
197,100,59,55,5,2,4,100,100,11
198,100,51,28,39,13,17,65,85,22
199,100,50,50,1,1,5,75,100,15
200,100,68,50,0,1,2,100,100,8
201,100,56,48,1,2,2,87,100,13
202,96,50,50,5,6,8,63,86,13
203,100,50,24,5,5,15,63,84,10
204,97,54,52,4,6,7,63,84,11
205,99,53,53,5,7,8,68,89,15
206,95,92,76,6,2,5,100,100,15
207,100,70,60,1,5,11,100,71,12
208,95,69,41,9,12,32,76,96,23
209,100,62,39,5,11,27,73,100,7
210,100,79,44,4,11,28,85,100,10
211,100,69,48,9,7,36,77,100,19
212,100,74,33,10,5,24,73,100,10
213,100,43,30,0,0,0,100,100,0
214,99,49,49,1,2,6,72,93,12
215,100,58,55,3,2,4,92,100,11
216,100,53,71,0,0,0,70,100,20
217,62,48,34,12,6,7,98,97,12
218,100,53,32,6,4,4,100,100,5
219,100,51,23,6,2,3,100,100,3
220,99,49,49,1,2,6,79,96,18
221,100,59,54,2,4,8,84,93,18
222,98,52,51,5,6,9,68,86,15
223,98,51,51,5,8,14,68,90,21
224,97,52,52,6,6,10,69,91,18
225,100,51,27,0,0,7,59,87,21
226,62,30,39,10,7,6,95,95,15
228,96,52,11,5,6,12,52,79,22
229,97,52,51,0,7,13,75,92,25
230,97,49,50,0,5,17,76,95,33
231,97,49,49,0,4,10,75,100,28
232,97,50,50,4,6,20,82,100,37
233,98,57,54,3,4,13,81,100,32
234,97,44,44,2,5,9,75,100,24
235,99,49,50,3,3,9,76,100,29
236,100,47,40,0,0,4,86,100,13
237,99,49,52,3,5,12,73,100,24
238,100,44,44,0,0,10,79,100,15
239,100,49,48,0,0,6,82,100,15
240,100,48,47,0,3,9,82,100,17
241,100,45,43,0,4,9,81,100,16
242,100,43,23,5,5,8,84,95,12
243,93,62,22,5,8,20,70,91,32
244,94,66,41,5,5,12,57,89,32
245,92,41,26,5,7,24,68,94,43
246,93,64,45,8,9,20,60,92,31
247,97,57,39,16,5,22,55,90,36
248,100,66,40,8,10,31,79,100,9
249,100,69,31,7,6,24,71,100,48
250,100,66,40,8,5,21,70,100,19
251,100,70,50,1,5,15,80,100,5
252,100,71,41,8,8,22,82,98,18
253,100,65,50,1,2,15,83,100,18
254,100,70,42,8,2,14,62,100,38
255,93,73,49,10,5,12,84,96,18
256,94,70,47,8,4,8,76,95,13
258,96,92,77,5,3,7,100,100,13
259,100,59,57,1,0,2,92,100,7
260,100,50,6,1,1,2,99,100,10
261,98,49,78,0,0,0,70,100,16
262,98,52,75,0,0,0,71,99,11
263,100,47,69,0,0,0,71,100,14
264,100,51,73,0,0,0,77,100,15
265,100,52,24,2,7,13,63,100,19
266,95,62,56,7,5,9,87,97,18
267,94,50,45,2,3,9,59,99,17
268,100,52,30,0,0,11,70,89,33
269,100,48,23,0,0,11,67,87,27
270,100,44,21,0,0,0,100,100,0
271,100,50,50,0,0,10,80,100,25
272,99,65,57,1,4,7,100,100,11
273,100,53,51,3,2,3,93,100,11
274,84,46,33,19,6,9,75,82,11
275,97,93,78,6,4,7,100,100,15
276,77,31,49,17,5,10,71,88,19
277,100,50,43,0,0,0,100,100,0
278,96,93,79,6,3,5,100,100,13
279,100,42,25,0,0,0,100,100,0
280,98,41,15,6,5,10,74,89,38
281,100,49,22,5,5,11,58,100,20
282,100,51,71,0,0,0,67,100,9
283,100,58,56,2,1,2,100,100,9
284,100,65,50,1,0,20,76,100,19
285,100,52,51,1,3,8,72,95,20
288,99,47,47,1,1,7,65,96,12
289,100,54,66,0,0,0,71,100,14
290,97,53,51,1,2,6,70,90,14
291,100,55,31,0,0,11,71,87,30
292,100,60,33,0,0,11,75,90,30
293,100,53,23,0,0,11,75,90,33
294,100,50,25,9,4,9,77,100,15
295,100,50,26,18,6,10,78,100,17
296,98,50,40,4,17,27,70,82,40
298,96,91,84,5,2,5,100,100,12
299,100,58,55,3,1,1,100,100,8
300,97,54,54,4,7,9,56,91,18
301,98,52,50,13,8,13,63,94,26
302,100,43,25,0,0,0,100,100,0
303,100,43,19,0,0,0,100,100,0
304,100,65,50,1,5,20,86,100,1
305,100,48,44,0,0,7,89,100,14
306,89,58,51,41,6,9,90,78,1
307,100,40,32,0,0,0,100,100,0
308,100,36,31,0,0,0,100,100,0
309,100,50,37,1,6,14,71,100,33
310,97,94,74,4,3,7,100,100,15
311,100,50,48,1,1,2,100,100,6
312,100,50,30,0,0,5,97,100,6
313,99,50,50,1,6,9,72,93,16
315,94,74,69,8,6,10,83,93,21
316,100,47,47,0,0,9,81,100,19
317,100,49,49,0,4,11,89,100,17
318,90,70,57,1,8,18,55,82,34
319,100,70,50,1,5,26,76,100,45
320,95,47,47,7,8,16,55,83,45
321,96,86,89,1,10,20,58,91,33
323,100,54,26,1,5,8,78,100,15
324,100,46,46,2,3,9,64,100,15
326,97,94,70,3,6,9,100,100,14
327,70,75,50,1,5,20,70,100,45
328,100,56,35,1,1,6,81,93,19
329,100,60,55,1,8,23,100,82,1
330,99,50,50,2,8,17,72,93,24
331,100,59,58,3,1,2,100,100,7
332,100,46,46,1,4,4,73,100,18
333,96,47,48,0,0,8,69,100,19
334,100,52,16,9,3,5,100,100,5
335,100,49,49,1,5,19,100,79,5
336,96,92,81,4,4,8,100,100,14
337,100,57,54,1,0,1,100,100,3
338,100,44,33,10,5,4,95,96,5
339,92,51,42,6,4,11,74,87,16
340,99,48,47,1,6,10,70,91,18
341,100,58,27,0,0,9,79,100,23
342,95,78,51,13,6,14,78,97,21
343,94,46,38,6,5,11,75,86,19
344,100,50,74,0,0,0,74,100,14
346,97,87,55,2,3,5,100,100,8
347,100,49,27,1,7,20,67,96,29
348,99,54,52,1,0,1,100,100,4
349,100,50,50,1,2,5,70,100,16
350,100,46,47,0,0,6,73,100,9
351,100,49,48,0,0,6,78,100,17
353,100,45,45,1,0,11,86,100,21
354,100,48,50,0,2,12,79,100,26
355,98,49,68,0,0,0,74,100,10
358,100,52,75,0,0,0,78,100,14
359,97,95,65,3,3,6,100,100,8
360,100,50,79,0,0,0,74,100,14
361,100,47,17,6,3,5,100,100,4
362,100,52,28,6,6,5,100,100,6
363,100,83,53,9,14,26,74,100,43
364,100,65,40,10,9,17,77,100,47
365,100,55,32,8,5,16,62,100,42
366,100,50,44,2,4,7,85,100,25
367,100,39,34,0,0,0,100,100,0
368,100,52,35,0,0,0,100,100,0
369,95,29,9,4,6,21,79,89,37
370,100,45,23,0,0,0,100,100,0
371,91,21,12,4,5,13,83,91,33
372,96,20,8,5,6,17,90,97,19
373,90,89,83,1,14,21,83,98,42
374,95,86,92,1,9,20,84,95,42
375,92,88,92,1,6,21,80,99,38
376,100,50,30,0,3,4,77,100,16
377,97,58,47,5,13,20,68,84,39
378,98,55,45,5,20,34,72,90,49
379,93,76,40,7,5,11,60,81,21
380,94,78,32,5,5,10,72,94,17
381,96,73,43,4,5,11,74,93,18
382,100,71,31,2,5,9,66,100,15
383,100,65,46,39,5,12,98,79,45
384,100,41,40,1,7,13,76,97,24
385,100,58,33,1,0,7,83,100,22
386,65,53,49,1,5,5,98,99,6
387,100,42,42,3,7,12,68,91,23
388,100,55,44,1,6,5,97,98,8
389,100,55,51,2,0,1,100,100,4
390,99,46,45,1,5,18,75,86,25
392,100,82,44,1,1,3,78,100,10
393,96,96,73,6,2,5,100,100,11
394,97,92,66,4,1,2,100,100,7
395,100,50,40,0,3,6,78,100,14
396,98,49,19,0,0,9,80,100,30
397,100,66,58,1,5,12,100,87,1
398,93,47,47,39,6,6,100,89,1
399,100,60,52,1,1,1,100,100,3
400,100,50,50,0,1,3,70,100,9
401,100,47,21,0,0,0,100,100,0
402,93,50,43,5,3,9,70,85,15
403,100,52,20,1,1,11,80,94,24
404,100,45,62,1,5,5,97,99,10
405,100,55,52,0,1,1,100,100,3
406,98,50,50,1,2,6,68,85,9
407,99,67,10,5,5,8,67,74,22
408,98,48,49,1,2,5,66,85,13
409,94,44,58,25,7,13,96,78,17
410,100,50,42,2,4,10,70,99,22
411,97,54,52,2,1,5,82,100,12
412,89,51,48,5,2,5,63,79,11
414,98,50,50,1,1,2,70,86,7
415,94,50,46,5,3,8,77,87,15
416,94,53,48,5,5,9,77,87,13
417,97,48,49,1,2,3,72,88,13
418,100,53,53,3,1,3,100,100,2
419,100,54,55,4,2,3,100,100,5
420,100,54,31,3,7,17,64,97,10
421,99,56,36,3,3,8,90,96,18
423,77,43,39,10,6,18,65,100,38
424,91,48,36,3,11,23,67,83,39
425,92,49,35,2,14,25,71,88,38
426,94,54,44,4,12,26,74,90,38
427,97,55,46,7,15,29,68,86,43
428,100,75,62,2,4,8,100,82,49
