,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5
156,0,50,60,100,0,0,100,100,0
158,21,89,93,94,1,7,86,97,36
159,6,52,57,68,1,12,100,100,2
160,8,63,59,98,3,1,86,97,10
161,41,40,42,97,8,8,67,65,24
162,17,83,85,88,1,3,87,76,25
163,6,7,6,100,6,11,100,100,2
164,9,69,69,68,5,13,71,73,34
165,24,67,72,70,1,1,72,71,10
166,11,100,100,100,1,1,100,100,14
167,32,69,94,100,9,13,100,100,11
168,46,32,44,63,48,39,52,100,4
169,38,13,60,54,37,29,100,100,40
170,14,50,49,100,1,1,100,100,0
171,14,6,4,58,2,6,100,100,16
172,1,73,55,70,1,1,71,85,25
173,31,55,25,86,15,27,100,100,35
174,7,33,33,100,5,44,100,100,17
175,11,83,87,87,1,1,81,81,34
176,13,32,71,55,1,1,100,100,10
177,46,48,26,100,10,26,100,100,32
178,3,19,50,100,1,1,100,100,3
179,0,59,1,100,2,2,100,100,2
180,45,53,60,100,1,1,52,100,12
181,33,70,80,69,1,1,77,75,30
182,32,14,14,100,3,1,100,100,2
183,14,22,14,77,11,17,100,100,27
184,1,56,28,97,39,40,100,100,16
185,38,46,39,94,41,34,100,100,47
186,5,51,50,100,2,48,100,100,21
187,11,46,59,100,7,1,100,100,15
188,2,58,48,89,6,13,73,88,31
189,27,16,15,75,49,16,100,100,36
190,5,18,49,100,4,4,100,100,9
191,9,14,49,96,4,13,81,94,25
192,10,5,7,93,5,12,100,100,9
193,5,53,47,100,5,8,100,100,6
194,44,40,38,67,7,11,100,100,33
195,4,100,100,100,1,10,100,100,47
196,20,81,81,80,1,14,78,76,33
197,28,53,80,99,9,1,83,96,30
198,16,48,56,100,5,5,94,100,20
199,17,54,53,55,1,1,54,52,37
200,3,34,40,100,11,36,96,100,47
201,44,44,44,95,39,39,100,100,41
202,17,29,33,55,19,30,100,100,25
203,1,50,50,100,1,1,100,100,3
204,1,52,57,68,0,5,95,100,0
205,8,63,59,98,3,4,86,97,10
206,41,40,42,100,8,1,67,65,24
207,1,83,85,88,1,1,87,76,0
208,6,7,6,100,6,6,100,100,2
209,1,69,69,68,0,1,71,73,0
210,1,67,72,70,2,1,72,71,0
211,3,100,100,100,5,1,100,100,0
212,1,69,94,100,9,13,100,100,11
213,46,32,44,63,48,39,52,100,0
214,38,13,60,54,37,29,94,100,40
215,1,50,49,100,0,1,100,100,0
216,14,6,4,100,2,6,100,100,16
217,1,73,55,70,0,5,71,85,0
218,31,55,25,86,15,27,100,59,0
219,7,33,33,100,5,44,100,100,17
220,1,83,87,87,0,1,81,81,0
221,1,32,71,55,0,1,100,80,0
222,46,48,26,100,10,26,100,100,32
223,3,19,50,100,1,1,100,100,3
224,0,59,1,100,2,2,100,100,2
225,45,53,60,100,0,1,52,100,0
226,2,70,80,69,3,1,77,75,0
227,1,14,14,100,3,1,100,100,2
228,14,22,14,100,11,17,100,100,27
229,1,56,28,100,39,40,100,100,16
230,38,46,39,100,41,34,100,54,47
231,5,51,50,100,2,48,100,100,21
232,11,46,59,100,7,1,100,100,15
233,2,58,48,89,6,13,73,88,31
234,27,16,15,100,49,16,100,100,36
235,5,18,49,100,4,4,100,100,9
236,9,14,49,96,4,13,81,94,25
237,10,5,7,100,5,12,100,100,9
238,5,53,47,100,5,8,100,100,6
239,44,40,38,67,45,34,100,66,33
240,1,100,100,100,0,1,100,100,47
241,1,81,81,80,0,1,78,76,0
242,1,53,80,99,9,1,83,96,30
243,16,48,56,100,5,5,94,100,20
244,1,54,53,55,0,1,54,52,0
245,3,34,40,100,11,36,96,100,47
246,44,44,44,100,39,39,100,100,41
247,17,29,33,100,19,30,100,100,0
248,8,48,24,100,1,1,100,100,32
249,1,52,50,100,1,1,100,100,16
250,3,50,50,92,13,12,96,93,12
