,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5
183,0,50,50,80,1,0,100,100,0
184,12,32,50,99,8,10,83,84,29
185,9,58,41,69,5,8,57,88,16
186,32,58,45,56,5,6,88,100,17
188,46,54,70,75,37,30,75,82,32
189,14,37,55,95,4,19,100,100,28
190,31,45,54,95,2,9,100,100,22
191,10,24,75,100,11,13,99,100,17
192,10,50,63,94,2,5,79,90,15
193,20,50,60,85,11,22,100,100,45
194,18,53,75,98,9,21,46,63,34
195,3,43,54,97,0,0,100,100,0
196,14,86,79,97,10,20,95,99,34
197,1,51,52,92,4,4,76,86,7
198,5,50,50,100,7,5,84,100,41
199,17,58,74,86,3,18,100,95,26
200,11,53,31,95,8,16,97,97,31
201,1,50,50,100,1,1,100,100,1
202,13,19,24,88,6,10,90,90,9
203,13,66,47,55,5,13,85,66,42
205,14,69,63,71,1,7,83,84,5
206,2,6,50,90,4,11,62,87,39
207,7,49,37,39,30,46,51,78,43
208,11,32,53,77,7,13,63,77,34
209,5,48,62,84,9,23,67,89,45
210,17,41,34,87,11,22,74,89,34
211,15,44,65,67,15,10,70,80,25
212,9,36,37,77,5,6,84,86,6
213,0,50,52,53,18,8,66,66,34
214,5,50,50,95,1,8,100,95,26
215,18,48,71,100,3,4,100,100,10
216,0,57,63,55,32,17,80,90,48
217,20,45,50,92,1,9,80,97,25
218,2,39,35,82,4,3,77,80,21
219,7,3,10,88,4,26,100,100,25
220,2,50,73,68,1,12,67,90,37
221,18,50,51,100,3,8,66,82,25
222,20,49,62,87,9,24,84,81,38
223,0,54,62,82,0,10,87,80,37
224,3,60,54,99,2,5,69,100,14
225,14,53,58,86,5,11,68,85,26
226,6,52,57,82,4,7,100,82,41
227,14,37,99,72,4,15,88,98,29
228,0,0,100,100,0,0,100,100,0
229,0,34,65,97,2,14,85,99,30
230,0,50,50,100,0,0,100,100,0
231,12,57,63,82,0,8,100,74,42
232,1,50,50,99,1,1,100,100,1
234,8,49,52,87,4,4,97,100,21
235,0,54,30,57,2,26,59,91,15
236,2,49,48,94,7,11,62,85,24
237,0,29,62,90,20,29,72,87,35
238,17,48,49,99,21,13,72,100,39
239,24,18,63,68,19,17,73,77,22
240,0,65,54,89,26,19,70,83,37
241,1,33,46,100,3,8,100,100,16
242,11,44,63,99,6,26,58,88,43
