"","Region","Model","AdjR","BIC","Rank"
"98","Germany","Wish_1976_model","0.513408063019202","350.880778608334",2
"99","Germany","Bugental_2000_model","0.462576820670124","373.102729223722",3
"100","Germany","Fiske_1992_model","0.431731784028248","377.868906326018",4
"101","Germany","Triandis_1968_model","0.428551878242542","374.215237950274",5
"102","Germany","Montgomery_1988_model","0.428551878242542","374.215237950274",6
"103","Germany","Burton_1975_model","0.411534511353066","381.268797025414",7
"104","Germany","Osgood_1957_model","0.397159099974943","384.898400703203",8
"105","Germany","Goffman_1959_model","0.383359965440329","396.39273216469",9
"106","Germany","Clark_2011_model","0.382876753352429","386.166933580138",10
"107","Germany","Marwell_1970_model","0.325975943629134","398.164811524155",11
"108","Germany","Carpendale_2004_model","0.323763634375657","399.920683405471",12
"109","Germany","Rands_1979_model","0.321023855172116","396.715502497786",13
"110","Germany","Foa_2012_model","0.286000361426186","410.623266383243",14
"111","Germany","Weiss_1998_model","0.283043756070059","408.353126725294",15
"112","Germany","Hamilton_1981_model","0.253318934692961","419.114384248214",16
"113","HK","FAVEE_model","0.526977751653463","352.551320003323",1
"114","HK","Wish_1976_model","0.472459374455374","365.898268675677",2
"115","HK","Bugental_2000_model","0.460810639981172","371.448953668241",3
"116","HK","Fiske_1992_model","0.423161274576405","383.760161014817",4
"117","HK","Triandis_1968_model","0.418513540487823","377.978185063133",5
"118","HK","Montgomery_1988_model","0.418513540487823","377.978185063133",6
"119","HK","Marwell_1970_model","0.405895195593359","380.814378775271",7
"120","HK","Clark_2011_model","0.394234703187083","386.88677288399",8
"121","HK","Osgood_1957_model","0.382044159749931","388.151694701909",9
"122","HK","Burton_1975_model","0.380854810298342","392.067537892352",10
"123","HK","Goffman_1959_model","0.350967405588442","403.95448495842",11
"124","HK","Weiss_1998_model","0.335136698981421","391.674298696251",12
"125","HK","Hamilton_1981_model","0.298999738171852","407.025212410252",13
"126","HK","Carpendale_2004_model","0.283072180245027","410.781279174647",14
"127","HK","Rands_1979_model","0.269451435850001","415.083798042152",15
"128","HK","Foa_2012_model","0.174026586109634","437.449567860728",16
"129","India","FAVEE_model","0.407103646167169","394.302538965954",1
"130","India","Bugental_2000_model","0.348899062048794","407.691488327374",2
"131","India","Goffman_1959_model","0.29416025470569","422.461241698122",3
"132","India","Weiss_1998_model","0.251671272192903","417.951174442291",4
"133","India","Burton_1975_model","0.218832167044228","430.23830956025",5
"134","India","Wish_1976_model","0.21719603867191","432.506664867382",6
"135","India","Fiske_1992_model","0.208101723526589","432.669278094883",7
"136","India","Clark_2011_model","0.200418172177264","431.592634785004",8
"137","India","Marwell_1970_model","0.198113462443256","432.508257258333",9
"138","India","Rands_1979_model","0.188945337066566","430.431741175463",10
"139","India","Triandis_1968_model","0.187993361488218","434.842036343086",11
"140","India","Montgomery_1988_model","0.187993361488218","434.842036343086",12
"141","India","Carpendale_2004_model","0.15322485028195","438.588217688393",13
"142","India","Osgood_1957_model","0.143808204518172","445.216540366686",14
"143","India","Hamilton_1981_model","0.138936048464899","442.406907536226",15
"144","India","Foa_2012_model","0.0933128584893466","453.13911865667",16
"145","Israel","FAVEE_model","0.53398496265147","346.453338451628",1
"146","Israel","Wish_1976_model","0.501324807372938","350.094623939966",2
"147","Israel","Triandis_1968_model","0.456334683640713","362.917639631009",3
"148","Israel","Montgomery_1988_model","0.456334683640713","362.917639631009",4
"149","Israel","Bugental_2000_model","0.4372211566577","375.986690213784",5
"150","Israel","Burton_1975_model","0.4342902275699","371.533083101477",6
"151","Israel","Fiske_1992_model","0.420545304587845","381.250348126265",7
"152","Israel","Osgood_1957_model","0.385735570404168","383.653444878413",8
"153","Israel","Clark_2011_model","0.383477592942852","387.135556986239",9
"154","Israel","Goffman_1959_model","0.369281815630678","398.165923584222",10
"155","Israel","Weiss_1998_model","0.35109431866147","387.01070667827",11
"156","Israel","Marwell_1970_model","0.348152465852339","392.874358953002",12
"157","Israel","Carpendale_2004_model","0.335917413304368","395.53592872997",13
"158","Israel","Foa_2012_model","0.311647288304831","400.228876710972",14
"159","Israel","Hamilton_1981_model","0.295548749901344","405.675130165655",15
"160","Israel","Rands_1979_model","0.285277777801027","407.844989344836",16
"161","Japan","FAVEE_model","0.55546871763996","342.661710596423",1
"162","Japan","Bugental_2000_model","0.511697417031359","351.681457003043",2
"163","Japan","Wish_1976_model","0.502791767551323","353.587991135009",3
"164","Japan","Burton_1975_model","0.469080120323821","364.106051544799",4
"165","Japan","Triandis_1968_model","0.438482757134903","369.585420711201",5
"166","Japan","Montgomery_1988_model","0.438482757134903","369.585420711201",6
"167","Japan","Weiss_1998_model","0.435311196393794","361.392170124776",7
"168","Japan","Fiske_1992_model","0.427899558864932","380.384366179352",8
"169","Japan","Marwell_1970_model","0.403745060062429","379.188129162626",9
"170","Japan","Clark_2011_model","0.39373412633274","384.661112265862",10
"171","Japan","Osgood_1957_model","0.379702535258647","387.103485550204",11
"172","Japan","Rands_1979_model","0.353661585063423","389.580023198322",12
"173","Japan","Goffman_1959_model","0.349225211069198","403.699812710884",13
"174","Japan","Hamilton_1981_model","0.308153043646976","403.348471328824",14
"175","Japan","Carpendale_2004_model","0.296010369803139","409.069139725788",15
"176","Japan","Foa_2012_model","0.218159939237036","425.535491022535",16
"177","Mexico","FAVEE_model","0.509281440171015","358.884554002862",1
"178","Mexico","Bugental_2000_model","0.494735560013794","358.048619510174",2
"179","Mexico","Wish_1976_model","0.479430057368929","359.821111363937",3
"180","Mexico","Triandis_1968_model","0.423823829237554","373.129585685299",4
"181","Mexico","Montgomery_1988_model","0.423823829237554","373.129585685299",5
"182","Mexico","Fiske_1992_model","0.419171190763374","381.779957461811",6
"183","Mexico","Burton_1975_model","0.410564710472973","380.61997588996",7
"184","Mexico","Weiss_1998_model","0.409790181676891","370.940999341306",8
"185","Mexico","Osgood_1957_model","0.392957603220711","382.877128343999",9
"186","Mexico","Clark_2011_model","0.387023347664285","386.067543452335",10
"187","Mexico","Marwell_1970_model","0.355377810222365","391.682278406432",11
"188","Mexico","Rands_1979_model","0.333148968005723","392.588889140048",12
"189","Mexico","Goffman_1959_model","0.33169679029769","408.91829010964",13
"190","Mexico","Carpendale_2004_model","0.306773203905207","405.021194701774",14
"191","Mexico","Hamilton_1981_model","0.275366112294964","411.24983906659",15
"192","Mexico","Foa_2012_model","0.21454189467381","427.69718055205",16
"193","Portugal","FAVEE_model","0.504081428549184","361.102720694054",1
"194","Portugal","Bugental_2000_model","0.479771981362069","358.087503904966",2
"195","Portugal","Wish_1976_model","0.472491999688192","360.929491515841",3
"196","Portugal","Triandis_1968_model","0.432750505135733","368.295194332141",4
"197","Portugal","Montgomery_1988_model","0.432750505135733","368.295194332141",5
"198","Portugal","Weiss_1998_model","0.424355590693132","363.698769597355",6
"199","Portugal","Burton_1975_model","0.419823288558251","377.489121535354",7
"200","Portugal","Fiske_1992_model","0.411108520852752","381.740030676737",8
"201","Portugal","Osgood_1957_model","0.39358775565185","382.109394446445",9
"202","Portugal","Clark_2011_model","0.386867119074614","384.360178918636",10
"203","Portugal","Marwell_1970_model","0.376391482806702","383.708280607057",11
"204","Portugal","Goffman_1959_model","0.369253617055361","401.186295725642",12
"205","Portugal","Rands_1979_model","0.318631834132443","396.927842896675",13
"206","Portugal","Carpendale_2004_model","0.274675041321834","413.573670178351",14
"207","Portugal","Foa_2012_model","0.27240592746714","411.188712607935",15
"208","Portugal","Hamilton_1981_model","0.272091196180656","413.338315451484",16
"209","Qatar","FAVEE_model","0.381633913921069","400.776901880589",1
"210","Qatar","Bugental_2000_model","0.376923652017494","395.650014240258",2
"211","Qatar","Weiss_1998_model","0.298699826833941","402.959084256728",3
"212","Qatar","Wish_1976_model","0.281194184337308","421.030059597087",4
"213","Qatar","Burton_1975_model","0.25127564505687","425.183068954679",5
"214","Qatar","Goffman_1959_model","0.234561419510264","435.319524646681",6
"215","Qatar","Marwell_1970_model","0.232713369744485","427.400913792465",7
"216","Qatar","Fiske_1992_model","0.226318480887189","434.437349680655",8
"217","Qatar","Foa_2012_model","0.226266765704106","422.373927030039",9
"218","Qatar","Clark_2011_model","0.214754938538806","433.071710491577",10
"219","Qatar","Rands_1979_model","0.214187810558647","426.823288879023",11
"220","Qatar","Triandis_1968_model","0.213995549156807","431.203008045097",12
"221","Qatar","Montgomery_1988_model","0.213995549156807","431.203008045097",13
"222","Qatar","Osgood_1957_model","0.206606642246307","433.672668367672",14
"223","Qatar","Carpendale_2004_model","0.180665177017557","435.386646171038",15
"224","Qatar","Hamilton_1981_model","0.168673609416565","438.114903523402",16
"225","Russia","Bugental_2000_model","0.452788275313559","378.256332755838",1
"226","Russia","FAVEE_model","0.431768444983074","385.636495620908",2
"227","Russia","Goffman_1959_model","0.342056238700026","407.386354642544",3
"228","Russia","Wish_1976_model","0.338093454953869","406.292030756795",4
"229","Russia","Fiske_1992_model","0.314807751588646","412.605329122175",5
"230","Russia","Weiss_1998_model","0.290030151637234","405.494321244022",6
"231","Russia","Clark_2011_model","0.289537714102233","414.961273937849",7
"232","Russia","Burton_1975_model","0.260666900764728","422.542249389048",8
"233","Russia","Triandis_1968_model","0.247073938227713","425.375506046044",9
"234","Russia","Montgomery_1988_model","0.247073938227713","425.375506046044",10
"235","Russia","Marwell_1970_model","0.233690619586634","428.17314042017",11
"236","Russia","Osgood_1957_model","0.228854045155111","429.101629306264",12
"237","Russia","Foa_2012_model","0.208275790226208","429.844843992574",13
"238","Russia","Hamilton_1981_model","0.198234761841181","432.126781911039",14
"239","Russia","Rands_1979_model","0.17822929341719","435.623942703772",15
"240","Russia","Carpendale_2004_model","0.162011996935471","437.48282820814",16
"241","South_africa","FAVEE_model","0.519263523216269","354.888332476167",1
"242","South_africa","Bugental_2000_model","0.448550198132673","370.890964226955",2
"243","South_africa","Wish_1976_model","0.426823064505171","375.918081372402",3
"244","South_africa","Weiss_1998_model","0.365405600362801","383.58354477946",4
"245","South_africa","Burton_1975_model","0.345004739687826","401.259350485502",5
"246","South_africa","Goffman_1959_model","0.33866370029962","409.423702717223",6
"247","South_africa","Fiske_1992_model","0.333736840675864","404.569909355437",7
"248","South_africa","Osgood_1957_model","0.323468825344492","403.946901839113",8
"249","South_africa","Triandis_1968_model","0.320056005448508","405.82262239738",9
"250","South_africa","Montgomery_1988_model","0.320056005448508","405.82262239738",10
"251","South_africa","Clark_2011_model","0.312691403673183","405.765590599491",11
"252","South_africa","Rands_1979_model","0.301790229714922","404.852463914875",12
"253","South_africa","Marwell_1970_model","0.292123756128704","409.664644475809",13
"254","South_africa","Hamilton_1981_model","0.242363045544926","421.742846102828",14
"255","South_africa","Carpendale_2004_model","0.231039305366739","422.750558225268",15
"256","South_africa","Foa_2012_model","0.194020146355242","433.814618281292",16
"257","Spain","FAVEE_model","0.45590010085943","376.939730008641",1
"258","Spain","Bugental_2000_model","0.43950924470219","377.006505454564",2
"259","Spain","Wish_1976_model","0.431436194413989","377.247819729496",3
"260","Spain","Triandis_1968_model","0.407690227670137","380.120711136119",4
"261","Spain","Montgomery_1988_model","0.407690227670137","380.120711136119",5
"262","Spain","Burton_1975_model","0.385289546530498","390.510539443815",6
"263","Spain","Marwell_1970_model","0.358343582234777","392.262883005335",7
"264","Spain","Fiske_1992_model","0.357519638683028","398.881276396732",8
"265","Spain","Weiss_1998_model","0.351277141025596","390.609858490004",9
"266","Spain","Osgood_1957_model","0.349908936983386","397.553754130866",10
"267","Spain","Clark_2011_model","0.342439809232161","398.515530801845",11
"268","Spain","Goffman_1959_model","0.340096838570691","409.437817035315",12
"269","Spain","Rands_1979_model","0.309487780782239","400.917114047623",13
"270","Spain","Carpendale_2004_model","0.297183836540996","408.115246912845",14
"271","Spain","Hamilton_1981_model","0.245927901148307","420.704319186164",15
"272","Spain","Foa_2012_model","0.223234395931308","425.678421961635",16
"273","UK","FAVEE_model","0.414288706832159","392.434303448022",1
"274","UK","Bugental_2000_model","0.357734462489719","399.466617906555",2
"275","UK","Wish_1976_model","0.316270461261552","411.529164829979",3
"276","UK","Weiss_1998_model","0.295705584940947","402.676123175305",4
"277","UK","Goffman_1959_model","0.258036424115942","429.265593463522",5
"278","UK","Burton_1975_model","0.256180747997468","423.141862238946",6
"279","UK","Triandis_1968_model","0.252692657971154","423.91123330737",7
"280","UK","Montgomery_1988_model","0.252692657971154","423.91123330737",8
"281","UK","Fiske_1992_model","0.243167684499409","429.018489222843",9
"282","UK","Osgood_1957_model","0.242634017596187","425.796599065657",10
"283","UK","Marwell_1970_model","0.229123254485474","426.831608639487",11
"284","UK","Clark_2011_model","0.222918449936426","429.035672470965",12
"285","UK","Carpendale_2004_model","0.216558494524968","426.292251631266",13
"286","UK","Hamilton_1981_model","0.162425194500079","439.386212678334",14
"287","UK","Rands_1979_model","0.155957037870196","438.991818746453",15
"288","UK","Foa_2012_model","0.130818398875439","446.004858556462",16
"289","USA","FAVEE_model","0.475649978880882","369.724299751559",1
"290","USA","Wish_1976_model","0.402245518384271","384.173831926538",2
"291","USA","Bugental_2000_model","0.38453052159541","392.612508793052",3
"292","USA","Fiske_1992_model","0.342755594841985","401.868907388027",4
"293","USA","Triandis_1968_model","0.332954471858171","401.26036468238",5
"294","USA","Montgomery_1988_model","0.332954471858171","401.26036468238",6
"295","USA","Osgood_1957_model","0.3243604268901","404.799258894097",7
"296","USA","Clark_2011_model","0.316486844998338","404.431052619638",8
"297","USA","Burton_1975_model","0.313480410144156","407.994835737922",9
"298","USA","Weiss_1998_model","0.30160139595612","402.068572595331",10
"299","USA","Goffman_1959_model","0.295853943650613","419.485540160648",11
"300","USA","Marwell_1970_model","0.286359349286424","408.853929435422",12
"301","USA","Rands_1979_model","0.248787885529092","415.90752848754",13
"302","USA","Hamilton_1981_model","0.242886192846125","421.447551970682",14
"303","USA","Carpendale_2004_model","0.205635378749145","429.330646371685",15
"304","USA","Foa_2012_model","0.153302464787571","442.021561283198",16
