,age,count
0,1,0
1,2,0
2,3,0
3,4,1
4,5,0
5,6,0
6,7,0
7,8,0
8,9,0
9,10,0
10,11,0
11,12,0
12,13,0
13,14,0
14,15,0
15,16,0
16,17,0
17,18,0
18,19,0
19,20,2
20,21,16
21,22,12
22,23,12
23,24,16
24,25,17
25,26,20
26,27,19
27,28,15
28,29,12
29,30,20
30,31,19
31,32,13
32,33,20
33,34,15
34,35,19
35,36,19
36,37,6
37,38,16
38,39,13
39,40,17
40,41,16
41,42,10
42,43,7
43,44,15
44,45,11
45,46,7
46,47,6
47,48,7
48,49,15
49,50,10
50,51,5
51,52,11
52,53,8
53,54,7
54,55,6
55,56,10
56,57,5
57,58,6
58,59,7
59,60,6
60,61,6
61,62,2
62,63,11
63,64,6
64,65,10
65,66,6
66,67,4
67,68,6
68,69,6
69,70,5
70,71,2
71,72,3
72,73,1
73,74,1
74,75,0
75,76,1
76,77,0
77,78,1
78,79,0
79,80,1
80,81,0
81,82,0
82,83,0
83,84,0
84,85,0
85,86,0
86,87,0
87,88,0
88,89,0
89,90,0
90,91,0
91,92,0
92,93,0
93,94,0
94,95,0
95,96,0
96,97,0
97,98,0
98,99,0
99,100,0
100,101,0
101,102,0
102,103,0
103,104,0
104,105,0
105,106,0
106,107,0
107,108,0
108,109,0
109,110,0
110,111,0
111,112,0
112,113,0
113,114,0
114,115,0
115,116,0
116,117,0
117,118,0
118,119,0
119,120,0
