,Australia,Brazil,Chile,CHN,Egypt,France,Germany,Hong Kong,India,Israel,Japan,Mexico,Portugal,Qatar,Russia,South Africa,Spain,United Kingdom,United States
Australia,0.0,3.5918166063824106,7.633534733471003,2.1098242434468037,8.264476796739125,6.051180804409997,1.7618709929418601,15.786486556146071,6.466665412191725,4.281290726228498,14.097522733604785,6.395135518411206,0.7322026056774836,15.464828916058291,10.176460348550743,4.6117653193557135,12.215775150428888,3.2183490738437883,6.37748889714605
Brazil,3.5918166063824106,0.0,5.182329366361201,4.178907949159231,5.525502041969118,3.5410470326779118,2.730190509804085,12.274573290506275,2.9344873855214004,1.9052230255030367,10.990632448609267,3.8089913236490602,3.3490510141434533,12.12361186261786,6.793842414902886,6.58923189697177,9.078235448905296,2.3315987509494325,9.583979243861243
Chile,7.633534733471003,5.182329366361201,0.0,8.460778926958847,7.732405810155851,1.9440473449145683,6.04001707061103,9.818867253675359,5.188284800167217,3.6625561331050336,7.036686548151708,1.525852994920549,7.607792814128298,11.620054701960056,6.343146282189654,11.185420961329017,5.039701791929602,7.33218358338982,13.9589209225836
CHN,2.1098242434468037,4.178907949159231,8.460778926958847,0.0,8.102406506319678,6.847913885436961,2.8212068735195324,16.06212731467092,6.63640323904701,4.9535460164019725,14.929283245196283,7.115656852873438,1.6042961806350815,15.738911748878216,10.313114713965103,3.302139817722234,12.786997445837292,3.509946503730264,6.016176566003305
Egypt,8.264476796739125,5.525502041969118,7.732405810155851,8.102406506319678,0.0,7.202733219300557,7.862842533160161,10.948801058571329,3.7903236268231972,6.4953751604303,11.21329274135427,7.004021234187499,8.031519889096554,8.31051022753676,3.94021795178521,8.763063669654679,8.785064164449128,5.502263357754573,12.806302160358632
France,6.051180804409997,3.5410470326779118,1.9440473449145683,6.847913885436961,7.202733219300557,0.0,4.445370832549256,10.473764930521163,4.094353471030281,1.9605418916019506,8.276791994593717,0.6293122423608272,5.9492631355278744,11.964415700136106,6.516845002363149,9.680425439804496,6.490480927638829,5.7736795451268526,12.400299310196313
Germany,1.7618709929418601,2.730190509804085,6.04001707061103,2.8212068735195324,7.862842533160161,4.445370832549256,0.0,14.454195413046827,5.571548250370516,2.7425706346554297,12.648965835552595,4.7876038985448615,1.7103909673855486,14.719871914088815,9.190779033684565,5.837328719005878,10.73017551578958,3.5107818002555677,7.9998384158027624
Hong Kong,15.786486556146071,12.274573290506275,9.818867253675359,16.06212731467092,10.948801058571329,10.473764930521163,14.454195413046827,0.0,9.755724008731546,11.772749132798456,5.219515073853641,10.209607551982476,15.513250494350407,7.160407107040185,7.3584877477202335,18.120150232861445,5.875361527432961,13.839004166390415,21.744577858535948
India,6.466665412191725,2.9344873855214004,5.188284800167217,6.63640323904701,3.7903236268231972,4.094353471030281,5.571548250370516,9.755724008731546,0.0,3.5985026875486192,9.36502841321707,4.097527572639944,6.15170261742079,9.453383943883583,4.240786446746964,8.529443197671206,7.402848563567888,4.185475912727717,12.08070277891606
Israel,4.281290726228498,1.9052230255030367,3.6625561331050336,4.9535460164019725,6.4953751604303,1.9605418916019506,2.7425706346554297,11.772749132798456,3.5985026875486192,0.0,10.049378533449739,2.2278232855236544,4.124664653240758,12.457888648161083,6.839394969426211,7.72420014268263,8.06655179458713,4.00907491684667,10.582698499198136
Japan,14.097522733604785,10.990632448609267,7.036686548151708,14.929283245196283,11.21329274135427,8.276791994593717,12.648965835552595,5.219515073853641,9.36502841321707,10.049378533449739,0.0,8.025470498274846,14.020745062736879,9.472367164223636,7.836517638846923,17.43282109854829,3.4521392731514573,12.926666713769063,20.411406804300672
Mexico,6.395135518411206,3.8089913236490602,1.525852994920549,7.115656852873438,7.004021234187499,0.6293122423608272,4.7876038985448615,10.209607551982476,4.097527572639944,2.2278232855236544,8.025470498274846,0.0,6.296759059453952,11.673570750020465,6.146408353541682,9.866418623776418,6.038777328845189,5.998332694579368,12.732910899514179
Portugal,0.7322026056774836,3.3490510141434533,7.607792814128298,1.6042961806350815,8.031519889096554,5.9492631355278744,1.7103909673855486,15.513250494350407,6.15170261742079,4.124664653240758,14.020745062736879,6.296759059453952,0.0,15.295018460002858,9.966028943971516,4.423652525205872,12.110701605294024,3.0126174628898124,6.481400934736185
Qatar,15.464828916058291,12.12361186261786,11.620054701960056,15.738911748878216,8.31051022753676,11.964415700136106,14.719871914088815,7.160407107040185,9.453383943883583,12.457888648161083,9.472367164223636,11.673570750020465,15.295018460002858,0.0,6.042980194074038,16.671393745164067,8.764990343603381,12.670248234938205,20.561798189569277
Russia,10.176460348550743,6.793842414902886,6.343146282189654,10.313114713965103,3.94021795178521,6.516845002363149,9.190779033684565,7.3584877477202335,4.240786446746964,6.839394969426211,7.836517638846923,6.146408353541682,9.966028943971516,6.042980194074038,0.0,11.731059090456942,5.447111502850986,7.7720001882179215,15.714749463633547
South Africa,4.6117653193557135,6.58923189697177,11.185420961329017,3.302139817722234,8.763063669654679,9.680425439804496,5.837328719005878,18.120150232861445,8.529443197671206,7.72420014268263,17.43282109854829,9.866418623776418,4.423652525205872,16.671393745164067,11.731059090456942,0.0,15.117922301640164,4.850667909065981,4.7186007886255785
Spain,12.215775150428888,9.078235448905296,5.039701791929602,12.786997445837292,8.785064164449128,6.490480927638829,10.73017551578958,5.875361527432961,7.402848563567888,8.06655179458713,3.4521392731514573,6.038777328845189,12.110701605294024,8.764990343603381,5.447111502850986,15.117922301640164,0.0,10.972891562318841,18.467728228463656
United Kingdom,3.2183490738437883,2.3315987509494325,7.33218358338982,3.509946503730264,5.502263357754573,5.7736795451268526,3.5107818002555677,13.839004166390415,4.185475912727717,4.00907491684667,12.926666713769063,5.998332694579368,3.0126174628898124,12.670248234938205,7.7720001882179215,4.850667909065981,10.972891562318841,0.0,8.112543306244225
United States,6.37748889714605,9.583979243861243,13.9589209225836,6.016176566003305,12.806302160358632,12.400299310196313,7.9998384158027624,21.744577858535948,12.08070277891606,10.582698499198136,20.411406804300672,12.732910899514179,6.481400934736185,20.561798189569277,15.714749463633547,4.7186007886255785,18.467728228463656,8.112543306244225,0.0
