,Valence.Evaluation,Equality,Activity.Intensity,Socioemotional,Formality.and.Regulation,Intimacy,Visibility,Communal.Sharing,Expected.Reciprocity,Strategic,Concreteness,Uniqueness,Love.Expression,Information.Exchange,Money.Exchange,Goods.Exchange,Service.Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance.for.society,Importance.for.individuals,Affiliation.Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial.Distance,Morality,Trust,Generation.Gap,cl_k3
Parent and Child,88.8355056980057,30.2394899853233,91.4065289648623,87.1832577915911,27.3105423897091,80.8682422515756,59.7777346110679,91.1148245273245,40.1322023655357,24.5717409134076,46.0296641629975,83.0869015244015,98.0496494246494,88.2560541310541,36.88030996781,33.8051295926296,47.0786293952961,97.4460807710807,57.1694806736473,30.8898451856785,43.7296902171902,31.305332321999,82.9585506813448,93.6525308206681,82.0623163238359,28.4632201132201,80.3615371828607,91.7317030010657,71.2908258226886,91.3870918750821,91.1015062279768,94.8072099106413,80.9672447741075,0
Parent and Teenager,71.1487675904343,31.8108726150393,80.5316854441855,82.1617758784426,26.4126813001813,66.355129284296,58.2610927652594,85.8330214538548,40.9748068289735,28.0469880428214,47.187941379608,78.1861562819896,87.1438458146792,76.6427925469592,40.1839040589041,34.9788382913383,43.0510857969191,84.4044341461008,55.8442045608712,47.7465115131782,51.9760921177588,35.9800082633416,78.5160895114327,88.8567853714913,75.56627662461,29.5899269212995,75.1757232237624,84.3551967912262,63.0332807352415,83.5121995379348,88.3345366144386,83.3872491796511,75.9900014201485,0
Wife and Husband,87.4520439437106,86.6886266511267,91.2708300958301,87.4237395320729,27.5891975308642,92.3972632305966,55.2092020633687,91.2121989121989,68.7180350513684,29.8651180609514,48.1414044289044,87.8676329842996,95.577261318928,84.2919720711387,46.5389323639324,38.3483838692172,44.2197353572354,90.9385247468581,90.2419406211073,40.6451571576572,56.6231672648339,23.26810334727,76.064877333995,92.6718146958343,83.9278512155963,35.2164586230763,83.2445778531563,85.3479046280517,80.1541008011596,88.623620170679,90.0891019020921,92.7096748295278,28.3220125734832,0
Fiance and Fiancee,86.0208257791591,85.4034803159803,86.7797612880946,84.7538591038591,28.5403079944747,85.5908141241475,54.016121686955,84.9772640939308,65.7389676681343,31.8275932400932,44.9018119226453,80.8978808228808,92.0916218041218,77.6045997212664,39.5783787200454,36.5589372047705,38.7911124369458,85.0640119140119,82.0654505987839,30.5748385873386,54.3384791134791,17.8682026307026,57.7934802670097,83.7507683765037,75.7840773786852,31.1044777481052,77.7905950168205,71.6663419732047,72.9286176695491,78.6129341881793,87.4064863150647,86.9350937189172,27.6563725127451,0
Between Siblings,74.87526331693,74.3098635931969,77.2703800828801,83.3005579297246,25.3459606751273,63.2868708452042,60.1762971596305,76.718915652249,55.9260295260295,36.0863722697056,47.2168155918156,82.1719709303043,83.2929343804344,71.9584628334628,29.5435854269188,33.7896939480273,29.4145365437032,79.4455325538659,18.4486195902863,48.1256177464511,49.0207047582048,28.2145329978663,68.4737281962772,86.1144016205291,75.8356882315216,26.3776789749829,69.8974314991472,90.8586927052613,67.7593879522801,73.7475512776983,87.4873942234236,82.7624949669067,33.7480022791297,0
Between divorced spouses,29.9688196063196,63.7299458257792,33.1545443753777,33.8040943624277,65.3111888111888,22.490412673746,48.0027972027972,28.1449322282656,50.9375420875421,67.737232366399,59.1096930846931,57.1531032239366,29.9442725484392,36.7585850877518,46.6395192770193,33.960526048026,25.1881362464696,27.610765314932,28.3989860448194,74.6951315659649,62.0806554556554,39.7148174356508,49.7864269263779,50.0880192519898,33.6883785876433,24.0987166156284,35.7763191692113,36.9646088660795,39.2447853616971,24.065845147953,51.6957929144204,28.3525847609181,28.9152792378283,2
Between a person and their in-laws,61.6663029871363,49.3472254597255,49.9056699473366,53.0142590434257,53.0959531209531,36.4546986963654,57.1802026677027,56.3867208408875,49.7784544159544,44.4907008115341,47.7303289303289,65.3609574067907,51.5028798362132,49.0288831538832,27.5810774102441,28.1530858030858,30.0163461538462,44.5127303252303,18.1535333493667,45.8136872386872,40.8708075874743,24.5401088109421,49.7127338529299,62.1988055880213,46.2943440455695,28.4735894642757,49.0056710809162,58.8431610328669,46.1962037780665,38.3222055903428,72.912126381244,54.1907926858907,72.4766908563477,2
Between cousins,73.5814534231201,73.9086926961927,59.6611488819822,70.0447336614003,36.7163515496849,45.2302166968834,61.4719783303117,62.598378010878,53.2454545454545,34.072142363809,42.8816929983597,65.6306887556888,64.0247149455483,57.9203342953343,23.6069385861053,27.5704345037678,24.5769741061408,51.5333368791702,16.3509462759463,27.7419552669553,37.3321991280325,18.3930119263453,49.8982176411098,63.2914303833421,56.9473217142335,25.8600008107361,54.502960701245,72.5699813530696,53.8187495148279,43.9514016575291,77.7850439411714,67.6948493046532,37.053691397564,0
Employer and Employee,75.6076047409381,31.9833555333555,62.137242695576,29.6969595219595,85.1498082164749,23.9532726532727,79.5489547489548,38.6926175676176,68.402191635525,75.8175589842257,76.3500450167117,45.9361912778579,25.6441798941799,77.3057339265673,83.3041967291967,46.2700056116723,75.1601390893058,39.3604497354497,16.6911175244509,44.8642235850569,59.6763668430335,38.1172418630752,80.6368679251032,73.3571908120928,70.1599134888351,91.5928522276561,73.0229020344216,68.7515508910117,75.311697924443,68.3374011609306,76.65322112528,66.7282765437177,59.5683601347817,1
Interviewer and Job applicant,63.9316529149862,33.8714973298307,33.2159442409442,28.4779603112936,87.0671273171273,20.3507067007067,64.5596431346431,34.4771207187874,54.410528668862,76.5319914653248,58.9273824940492,38.5977052268719,19.0025032066699,68.5801827801828,50.7221360429694,33.6503266794933,47.8744809203143,21.4784972743306,16.0981461439795,27.7321869488536,54.2247574955908,24.7992885201219,67.378592422465,62.2167567454332,48.6673424161169,84.0483590937022,62.6282321708792,23.6766673141673,63.03673372742,60.4179802677352,71.5025926052887,50.4692392756118,55.1425220023259,1
Guard and Prisoner,30.3556671723338,20.7582380582381,48.0673388340055,28.8790336207003,76.9212152045486,20.3282313365647,62.862724621058,27.0313359480026,33.2516206016206,51.3184855268189,51.1970165636832,41.9012485970819,15.3320185986853,33.3046957671958,19.4191117524451,26.2074675324675,37.9431036556037,23.2306277056277,14.8467091550425,70.2238335738336,24.1068823152156,74.3797077922078,70.5466685456881,52.2399056553468,25.6641141175455,63.6114839318271,45.9979946524064,52.1171135690744,51.8230606085998,71.1697271229134,57.6957929597635,29.4116330474174,47.2750745260549,2
Nurse and Patient,83.0162460995794,57.2045334295334,56.9011380594714,45.7544162627496,71.0593215426549,37.8835587252254,64.9035538535539,47.7887331803998,48.1046095879429,43.5862202612203,59.7501261084595,44.7557519640853,44.2436307519641,66.9980800064133,35.2020843354177,34.9061447811448,76.4693542568543,48.7080146705147,17.9300204425204,23.1262205387205,34.0826358826359,27.8638488055155,81.9330951546638,73.6799137046686,66.5853304919481,75.3488690956828,69.067067545744,42.1031683730213,66.9628822793039,75.2892824677138,82.2096986074927,78.550597414568,49.9959134456683,1
Therapist and Patient,84.5916330582997,54.5601068684402,66.0523195939863,52.0019150602484,70.4717153217153,43.3802549302549,50.3230590397257,43.2231148481148,55.8428762595429,48.965133015133,60.6692283025616,56.1958894500561,42.2514349847683,77.4772727272727,54.0034110950778,32.1973364598365,78.3773809523809,54.3358826358826,17.7788800705467,23.6631974506974,39.6439854898188,26.3809844476511,79.5641850886949,78.6590326975131,71.6715300948144,75.1053079182981,74.8546666387353,54.2531733879773,73.7061433845748,72.9492514384671,83.018620849013,84.3873896074876,51.73699844092,1
Salesperson and Customer,68.1125639792306,60.9031524031524,38.9977966477966,34.2816097482764,73.3639200305867,23.1886567136567,77.8219132719133,33.1373910040577,61.2185209851877,74.5981638731639,79.7893954810621,30.7035634118967,22.4627745711079,60.9249318582652,87.4806878306878,80.6646805355138,78.8236030944364,24.8899070065737,17.0061588103255,29.6743346160013,71.3410974827642,27.9975028058361,64.3648728994317,54.9519106982342,49.5172081549532,72.4519363443383,61.7932139392924,28.6463466997781,61.1644788762436,60.5177121262906,62.7844136437273,48.6168806592826,45.6716099532276,1
Between Business Partners,71.4120481370481,81.5817848817849,69.2550905884239,45.9149560316227,67.2831742331742,38.004662004662,61.8491887741888,53.4039701039701,79.1084662251329,75.802893711227,68.455377955378,62.6755711880712,32.0800384800385,78.8768217893218,84.1425104216771,54.8594877344877,62.4696308321308,48.9431798140131,18.6765211640212,41.4510582010582,73.7173601090268,30.5117925284592,64.805349561477,67.0107122634083,80.6492105570537,78.8815271239291,77.8274902747942,70.2553390872018,75.4590528208175,65.2331795836698,72.5859325405894,77.2346922594472,41.1006664178233,1
Between opposing negotiators,31.870419703753,61.6564494147827,40.6390094473428,33.0710243460243,75.3903818403818,19.4078726828727,63.3357210690544,32.5771561771562,58.0829035162368,84.4830647747314,62.4284542617876,47.227264710598,18.2845117845118,56.1130872214206,53.5237974987975,44.0025392817059,41.3047298380632,21.1733084816418,15.9335437710438,76.7159732243066,77.9348805515472,47.0158690075357,55.6003422231363,53.1808265536207,30.6049902620981,65.5533192025839,52.9864429869332,34.7831267679307,52.5547059966178,46.8518134461762,57.4044918135604,29.8159053455622,42.007296443571,2
Between political opponents,30.704387973138,65.2206031622698,51.0985142943476,30.7449104136604,78.4893309622476,23.1649283586784,80.4470445449612,29.9954486100319,51.9567464942465,88.3740738428238,44.689861064861,46.9561670736671,15.4561631269965,47.46188996189,39.8960959102626,29.5298545590212,25.4365942082609,19.8751613509947,15.6091641383308,86.6808858733859,61.2154304337638,53.4964840406507,73.4845583428917,57.4219851136518,29.150047329214,72.6347362514029,57.8179989763323,52.1105448563782,64.6545059878393,45.717487296654,47.1754857796525,18.358027312194,39.3237788446122,2
Between business rivals,28.2181344889678,68.2958433541767,49.1049509903677,28.8660288785289,78.5532526115859,23.8213808567975,68.1071643634144,26.5582274978108,48.4039741123074,87.6443105505605,58.5927160802161,45.0511675361675,16.9266818675152,38.5793029809697,62.4411511328178,46.2300771142438,39.5855550930551,22.5814245014245,16.2631167597834,84.0824207890875,64.1060212318546,53.2374284049284,64.2219766344766,57.4263981388981,37.5962724004391,80.7453614286947,56.5163615705282,51.9757054673721,60.910189656023,40.6318980402314,46.0519170644171,19.7568932610599,39.6904925321592,2
Between enemies,20.8657254782255,60.5984926339093,51.2917348854849,44.6625801667468,49.6644428873596,24.1368861848029,51.4890471411305,27.4840680924014,39.9020736208236,72.6945959904293,44.6437133082966,54.2956557948225,18.3172310405644,24.256332340499,29.0160738952406,23.5511984311984,16.8640677224011,21.2660339968673,16.0555451338785,92.7709225650893,31.55498001998,65.0507088282088,39.8971257137924,47.3893037518037,24.4131784881785,29.7978331853332,44.9121895080228,50.7704716579717,46.3780518863852,36.7093144509811,27.4651547526548,13.8939848731515,35.8822738989406,2
Teacher and Student,81.5490105573439,34.1322984114651,63.5337387149887,41.6027689131856,74.2299993987494,35.9502927627928,78.9786852807686,57.9258270279104,55.1982649295149,51.430505682589,55.4379561025394,50.8730521022188,45.5768378226712,88.1558854108854,25.6186993870327,30.8368174109841,66.8649658674659,57.0377729061062,20.2054060137393,25.718881704715,43.2635933819267,26.6710674819008,75.1202582910916,70.5596741221741,69.8790681540682,78.5701462118129,70.6463258963259,57.4606486106486,74.3136832303499,74.4846691888359,82.3555063763397,76.5745034286701,76.9937579395913,1
