"","V1","V2","V3"
"Valence.Evaluation",-0.215242749245574,0.880876424783536,0.316342169899999
"Equality",-0.397164110730198,0.629210138846519,-0.266653101011078
"Activity.Intensity",-0.89873942746085,0.355311918778221,-0.00136118885497335
"Socioemotional",-0.913692402927339,0.267099462232739,-0.199312066583649
"Formality.and.Regulation",0.705835236965072,-0.00420284521752524,0.64575234974099
"Intimacy",-0.896153862061821,0.43638838942038,-0.0510222871328296
"Visibility",0.456558345680808,0.225472359142546,0.773717262447168
"Communal.Sharing",-0.934866306642077,0.233315706937576,0.0681698410440802
"Expected.Reciprocity",0.879643281175722,0.101717777825681,0.124993236256715
"Strategic",0.923906312998307,-0.307911562987333,0.00510579334166138
"Concreteness",0.865998619649269,-0.0965120722786826,0.0412506632132414
"Uniqueness",-0.929097139833265,0.0846009611388485,-0.169144768956717
"Love.Expression",-0.896778946325086,0.371304717150119,-0.0740297458972973
"Information.Exchange",-0.0938368637723122,0.733139781424111,0.387106247227263
"Money.Exchange",0.90181550239636,-0.179305155440598,-0.14902935181272
"Goods.Exchange",0.821916133731428,-0.0478679496009464,-0.352870552204953
"Service.Exchange",0.921875250210139,-0.0138382631301037,0.125767857662355
"Attachment",-0.897952789235561,0.371885622533708,-0.0823526734901143
"Mating",-0.884089207853789,0.0229490451342876,-0.122784378756598
"Conflict",0.166163418620175,-0.822837232512412,-0.261216480821302
"Negotiation",0.504281466683187,0.582776401391052,0.202822948538954
"Coercion",0.12448990694258,-0.900118837071402,-0.221215933950207
"Importance.for.society",0.0780020024619158,0.383416984185841,0.866416550084871
"Importance.for.individuals",-0.858854927646877,0.378308123620837,0.141912028539722
"Affiliation.Coalition",-0.363598828961192,0.710544617790142,0.304277586274641
"Occupational",0.836768225300987,-0.0959588054634739,0.486014919438118
"Activeness",-0.283468920015886,0.876581673935891,-0.132472734612143
"Endurance",-0.855453556868732,0.19327013174818,0.129278256295918
"Synchronicity",0.00270690439904356,0.224117851653561,0.478071760270085
"Spatial.Distance",-0.815230072839343,0.351016224785929,0.122690050777449
"Morality",-0.221188738777792,0.697510973451849,0.660946607696692
"Trust",-0.46899768402024,0.749028005542381,0.472721734765561
"Generation.Gap",-0.507252492753099,0.141888301188738,0.461433270507274
