"","V1","V2","V3","V4","V5","V6"
"Father, mother, child",-2.16343528309969,1.21585018096908,-0.709001366278978,-0.707113901355662,-0.281097332075174,0.381118475193361
"Mother-in-law, Daughter-in-law, Husband",-1.56420315270633,0.0854656223729388,0.402078076414229,0.0123552552014838,-1.11257035188366,1.55183540111455
"Parent, Firstborn, Secondborn",-1.61302578345703,0.991984634283704,0.228911111644259,0.308242128102782,-0.103032848040016,0.34837004676468
"Trio of friends",-1.03847819589982,0.0952224031786813,2.1879755528903,1.24655250410053,-0.473446991934125,-1.62985614507397
"The three individuals in a love triangle",-1.67802611763319,-2.23662049103909,-0.103076740619266,0.45911171046279,-1.01881772029999,-0.964053742930897
"Doctor, nurse, patient",0.703566871489744,1.04184363894455,0.0871235572854955,-0.528484233706616,-1.20651389050713,0.965679994928486
"Writer, editor, reader",0.0155790038476642,0.357383515583639,0.810049797185117,-0.102771006832116,1.70846280656874,-0.576460664446446
"Tourist, tour guide, native",0.892033268284715,0.0427294518195782,1.44802756983312,0.13470397051356,0.322962609791619,2.19632644830265
"Landlord, tenant, real estate agent",-0.0964957067825684,-0.0829943561857437,0.077911081422835,-0.827179423707485,2.0791671783625,-0.620596253115494
"Lawyer, litigant, judge",1.08825276372831,0.2317422421619,-1.6113330337003,0.360509830110125,-1.05473807276152,1.21513665856166
"Middleman, seller, buyer",0.705792179494349,0.359743604582148,-0.716069261379598,-1.96083376786409,-0.628106609468406,-0.963582782534034
"Plaintiff, defendant, mediator",0.652474863945103,-0.0225448467825471,-1.9446070227075,0.59983523891762,-0.211514869363073,-0.209871628709766
"Therapist, Patient's family, Patient",0.0630279535402688,0.633656605038085,0.445346676671799,-0.917019906934089,-1.06354148374194,0.229520852115217
"employee, employer, customer",1.20052584772082,0.34472806863579,-0.774688081351504,-1.06689053860809,-1.08391963872629,-0.212621273888986
"supplier, retailer, consumer",0.705347389101168,0.496032955210055,0.664089378487565,-1.45873969437266,0.163061378085408,-2.16662868502996
"Management, employee, union representative",0.463901352340912,0.3808327602032,-0.862668753846122,0.0167531138293588,0.529102156294232,-1.71476093322211
"Teacher, student, parent",0.0767331777323903,1.04610988067605,0.0499290155951935,1.03036037874478,-0.344413728512263,0.451104363092167
"Volunteer, Organizer, Beneficiary",0.654249871955092,0.435777006936637,1.93502225914017,0.547666620195537,0.35562239537183,0.212640493339876
"Parent, Child, Grandparent",-2.01314943952935,1.37357036818582,-0.312056532089425,0.282447443898939,0.815644666938667,-0.52386589510351
"Director, Screenwriter, Actor",1.04032231120137,-0.120219261554906,-0.733706757282768,1.25453648995184,-1.14769183421933,-1.60702773074179
"Prosecutor, Judge, Lawyer",0.889146092518798,-0.539610256140782,2.0568850582235,0.800592522100214,-0.25063199607263,0.52637480496863
"Guest, Host, Audience",-0.108241766566072,-1.48117857813266,0.0265846675846473,-1.94546337568561,1.13184777476541,0.702171427598066
"Drug Manufacturer, Drug Dealer, Addict",0.180392534073104,-2.43973698614222,0.0195305686705027,-1.73053335359342,-0.784425207035297,0.945588402070441
"Prostitute, Pmip, Customer",0.218132937637681,-1.28509744194104,-1.64265176939087,1.89189986901968,0.443017713060555,-0.0719014610374911
"Prisoner, Cellmate, Guard",-1.18467966134642,1.18502719208858,-0.356951793195778,-0.4725080108294,-0.0424274591074967,1.20186116288084
"Parent, Babysitter, Infant",0.533434768092616,-0.924726479005959,0.607093628808417,-0.127860626897626,1.45776068604781,0.396133127500563
"Casino Owner, Customer, Dealer",0.547231279438849,-0.668103480789765,-0.297570205920403,-0.35379218178987,0.452934815382698,0.589674734935575
"Lender, Debt Collector, Borrower",-1.78799141725125,-2.38903314527565,-0.466118367748166,0.561834526843213,0.00786633624853675,-0.341282378971397
"Cheater, Mistress, Spouse",0.403152594956633,0.320221519314493,-1.055623529265,1.02133967757449,2.10120849773257,1.46411950663661
"King, Prime Minister, Citizen",0.80865369508073,-0.339798817751576,1.15952807109335,0.865380886528004,-2.06259266796333,-0.15876489711832
"Athlete, Coach, Referee",0.943068689524953,0.235400572008553,-0.247845869078721,2.01922464716226,0.770848973567842,0.0226038217912642
"police officer, prosecutor, judge",0.473751392302481,0.129621505078444,0.743201247137121,-0.719411298099256,0.895828151253715,-0.890132014831211
"Reseller, Organizer, Audience",-0.354977499648836,0.934712778662683,-0.42467291517649,-0.271921970457673,-0.72893694333324,-0.351147320230526
"parent, home tutor, child",0.343933185912818,0.592007634807332,-0.690645319056734,-0.22282352252356,0.363083505572757,-0.397705914808719
