"","V1","V2","V3"
"Father, mother, child",-2.16508902027755,0.102501222559984,0.494917269062537
"Husband, wife, in-law",-1.87035293730643,0.555900198751254,0.245647515852102
"Parents, firstborn, secondborn",-1.68197813090055,0.981647766780827,-0.111358237929148
"Trio of friends",-1.09740713842938,2.18305841374921,-1.31190667966138
"The three individuals in a love triangle",-1.48685300146676,-1.14737375937367,-1.99574118148246
"Doctor, nurse, patient",0.234026149864574,0.385421084318717,0.783250684778997
"Writer, editor, reader",0.530724179141094,1.06884706034786,-0.681655698068575
"Tourist, tour guide, native",1.21832605231914,1.19297191284415,-0.145469561542031
"Landlord, tenant, real estate agent",1.69681865451727,1.22029604809789,-0.563917788339466
"Lawyer, litigant, judge",0.479155136693363,-0.775457249446312,1.60960602978225
"Middleman, seller, buyer",0.364177473850104,-0.0760631584582459,0.846672663044116
"Plaintiff, defendant, mediator",1.07360660434777,0.107617365906404,-0.600764811518478
"Therapist, patient's family, mental patient",0.538866814766317,-1.0923680289882,0.933924292210147
"employee, employer, client",0.479503231264277,1.31919131214221,0.0395740759713272
"supplier, retailer, consumer",1.06758027523169,0.12165555069546,1.04477191695831
"Manager, employee, union representative",1.64635776590969,0.847431854693066,-0.691670634542579
"Teacher, student, parent",0.272138573273305,-0.926144891022813,0.772980891334881
"Volunteers, organizers, service recipients",-0.280259544178723,0.390068287833457,0.923154053277341
"Parents, children, grandparents",0.394664279870549,0.160166531241276,1.10215645264012
"Director, screenwriter, actor",1.06905925916001,0.226120880125738,0.176582524844785
"Lawyers, prosecutors, judges",-1.8783426457063,0.814943001128947,-0.0235457349123719
"Guests, moderators, audience",-0.094857673828959,0.743674734182742,0.61432530556445
"Drug Manufacturer, Drug Dealer, Drug User",0.717846927523613,-0.82614955621668,-1.81493008144179
"Sex Worker, Pimp, Client",0.289048328946679,-0.823130065109428,-1.20069251243479
"Criminal, Cellmate, Prison Guard",-0.404405330720331,-2.28816630888418,1.0505487016815
"Parent, Babysitter, Infant",-0.575729596040962,0.400396945481335,-0.112835935855274
"Casino Owner, Gambler, Dealer",0.552953427804514,-0.938822428201297,-0.815391503661411
"Lender, Debt Collector, Borrower",0.395970340615293,-1.54804588297901,-0.646947160884498
"Cheater, Mistress, Spouse",-0.715877597865656,-1.71167074077319,-2.02015657180916
"King, Prime Minister, Public",-0.27207981509542,-1.07590805257729,1.2032472019975
"Athlete, Coach, Referee",-0.180826586607216,0.0135213049013014,0.696521846853031
"police officer, prosecutor, judge",-0.417794761038316,-0.201136742259625,1.20886155510504
"ticket scalper, organizer, audience",0.616674470106574,-0.204156757888073,-1.35765192296469
"parent, home tutor, child",-0.515644165743265,0.799162146396176,0.347893036089657
