"","V1","V2","V3"
"Father, mother, child",-1.82859311927611,0.941780693584823,0.238483115649139
"Mother-in-law, Daughter-in-law, Husband",-1.86874983886169,0.357971155386869,0.360979373509915
"Parent, Firstborn, Secondborn",-1.57968408837471,0.86023843866715,0.535569114040396
"Trio of friends",-1.32834730961633,0.0229273970617118,1.57748027373527
"The three individuals in a love triangle",-1.96635607302574,-1.93902864603222,-0.645642391868539
"Doctor, nurse, patient",0.43853858122138,1.35609919023435,0.174535690230478
"Writer, editor, reader",0.545977646207838,-0.297806026471245,1.12003796934335
"Tourist, tour guide, native",0.66254122552737,0.15698621082542,1.00967595569806
"Landlord, tenant, real estate agent",0.73708610617412,-0.908088848127169,0.751451933036012
"Lawyer, litigant, judge",0.565239535979462,0.948950183744241,-1.87107061365928
"Middleman, seller, buyer",1.12713089936022,0.155085687940174,0.0664407403892728
"Plaintiff, defendant, mediator",0.435236981180285,0.367997343335237,-2.03942975276914
"Therapist, Patient's family, Patient",0.027178238034528,0.694459177382749,0.697825412499941
"employee, employer, customer",1.15530279383123,0.577067423789093,-0.524864496055504
"supplier, retailer, consumer",1.27728711796124,-0.0772134923638012,1.26990188282276
"Management, employee, union representative",0.738886996623538,0.15658248388497,-0.56855047469056
"Teacher, student, parent",-0.29027990934024,1.31735007906961,-0.203215074208522
"Volunteer, Organizer, Beneficiary",0.510775294502348,0.33413877929548,1.49240237810018
"Parent, Child, Grandparent",-1.59467933325937,0.867431551021816,0.423485490467602
"Director, Screenwriter, Actor",0.447719881323936,0.473697546654165,-1.42905861084496
"Prosecutor, Judge, Lawyer",0.420838437802357,-0.300445485848176,1.118572919879
"Guest, Host, Audience",0.604735622662906,-2.02189497856229,0.604870894047059
"Drug Manufacturer, Drug Dealer, Addict",0.234166491455262,-2.26797909654601,-0.0782048766464224
"Prostitute, Pmip, Customer",-0.22028692325189,-0.780762410051936,-2.41356919477294
"Prisoner, Cellmate, Guard",-1.00500362824918,1.04123222697446,0.28574044669823
"Parent, Babysitter, Infant",0.82503594836314,-1.25171461193354,0.486109173185346
"Casino Owner, Customer, Dealer",0.646292801171025,-0.678440418189084,-0.315524398889537
"Lender, Debt Collector, Borrower",-1.87224750918212,-2.2695382172776,-0.878043640105081
"Cheater, Mistress, Spouse",0.569833846684395,0.177423541535657,-1.02255867254866
"King, Prime Minister, Citizen",-0.0705138748254385,0.411064238709382,0.120598361407549
"Athlete, Coach, Referee",0.535658204924759,0.52020072657402,-0.975878188094169
"police officer, prosecutor, judge",0.934653636092769,-0.38035912353439,1.05977963867235
"Reseller, Organizer, Audience",-0.364265421790632,0.98140249013376,-0.0833594781666233
"parent, home tutor, child",0.548890741969343,0.453184789132333,-0.344970900091986
