"","V1","V2","V3","V4"
"Father, mother, child",-2.26231866195412,1.28314731808818,-0.608501274199206,-0.472252946736136
"Mother-in-law, Daughter-in-law, Husband",-1.84631948867972,0.4143784991665,0.250195798394177,0.43806929797592
"Parent, Firstborn, Secondborn",-1.59153715672565,0.955484707576877,0.3170973575755,0.335799834975974
"Trio of friends",-0.710596434251491,-0.185172420563891,2.44718275222692,1.40193571297402
"The three individuals in a love triangle",-1.64969135508967,-2.19193477201374,-0.0192150781925863,0.970614318271011
"Doctor, nurse, patient",0.401724539873958,1.39792308779486,-0.0745844995638827,-0.0414559751797808
"Writer, editor, reader",0.311644117018074,-0.0336923915207311,0.940341560234522,-0.812774435818814
"Tourist, tour guide, native",0.695432290938088,0.235580701794296,1.12214215820303,-0.192465987209318
"Landlord, tenant, real estate agent",0.165633008058418,-0.470836156960948,0.198651841471327,-1.60110170393538
"Lawyer, litigant, judge",0.778420697639074,0.601763273732215,-1.81482575755488,0.709246935077417
"Middleman, seller, buyer",0.562409197355863,0.511764681298657,-0.676986177281915,-1.45234815893329
"Plaintiff, defendant, mediator",0.634108957095283,0.0113140979488211,-1.92033221346913,0.662654372962942
"Therapist, Patient's family, Patient",-0.14634058316007,0.885802931753767,0.38029765009953,-0.397944802750696
"employee, employer, customer",0.970941669038075,0.623627914458312,-0.846244450039376,-0.505614376782233
"supplier, retailer, consumer",0.887144918472576,0.293643669753137,0.885005751087277,-1.30097087835194
"Management, employee, union representative",0.713179339889891,0.100162287777362,-0.6234504205461,-0.116166474766665
"Teacher, student, parent",0.0790449425337622,1.06572776026561,0.0554006995440919,1.03981660409014
"Volunteer, Organizer, Beneficiary",0.763994240094611,0.325368181960769,1.89903478331181,0.269395692000222
"Parent, Child, Grandparent",-1.77766097236679,1.06193325995885,-0.0403663083144342,-0.0144628688373284
"Director, Screenwriter, Actor",1.16027987197295,-0.150015735042689,-0.581222646092754,1.69757420740289
"Prosecutor, Judge, Lawyer",0.891993105545239,-0.492864094727002,1.90915068936211,0.738592041283149
"Guest, Host, Audience",-0.236259824118985,-1.42823961471877,-0.146172782044366,-2.26311310270714
"Drug Manufacturer, Drug Dealer, Addict",-0.21070847027442,-2.00119000524413,-0.298000597374715,-1.26131901587859
"Prostitute, Pmip, Customer",0.363503972366946,-1.42277241453496,-1.62209128997361,1.5543215877986
"Prisoner, Cellmate, Guard",-1.34610697640588,1.31473744197177,-0.40267131078754,-0.442867568308211
"Parent, Babysitter, Infant",0.642349808131103,-1.09887657537336,0.519854862149156,-0.782253553164563
"Casino Owner, Customer, Dealer",0.471374868217637,-0.612541747316308,-0.424700755829441,-0.550055919036718
"Lender, Debt Collector, Borrower",-1.71531966676588,-2.44693418767496,-0.424450406850758,0.599595876188281
"Cheater, Mistress, Spouse",0.525204232045816,0.08667405393135,-1.14240232823394,-0.0555285569075538
"King, Prime Minister, Citizen",0.662845138266603,-0.0493456002140075,1.06865960942654,1.63055263281247
"Athlete, Coach, Referee",1.17532752865662,-0.00801742219880752,-0.20616773634774,1.46365946079116
"police officer, prosecutor, judge",0.646968086783702,-0.0947659815774301,0.83795657965262,-1.01210457639872
"Reseller, Organizer, Audience",-0.412321742395898,1.01373103854565,-0.342259186731985,0.0982358151551402
"parent, home tutor, child",0.401656802194274,0.50443421190474,-0.616326873310261,-0.335263488056274
