"Data Source","World Development Indicators",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bulgaria","BGR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1778.94995117188","1458.87377929688","1471.18273925781","1311.51635742188","1185.17761230469","1162.19201660156","1172.47900390625","1228.6796875","1268.87890625","1307.798828125","1354.47302246094","1478.61755371094","1513.00744628906","1601.38879394531","1478.65161132813","1613.0322265625","1540.76843261719","1683.79309082031","1821.92175292969","1977.29333496094","2237.291015625","2125.18383789063","2342.86987304688","2419.95874023438","2402.1201171875","",
"Bahrain","BHR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","368.991271972656","","","","","","","",
"Bahamas, The","BHS","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.5941886901855","63.427661895752","67.1423034667969","178.233047485352","198.036773681641","","","","","160.139938354492","233.867385864258","292.380615234375","365.228393554688","419.990631103516","485.420806884766","471.250091552734","460.036346435547","451.990814208984","",
"Belarus","BLR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1465.71350097656","",
"Belize","BLZ","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.8686370849609","72.6650390625","71.2735977172852","122.374267578125","118.95484161377","","","","","","","143.857513427734","163.80158996582","","","","","","","","","","","",
"Brazil","BRA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","295.234558105469","337.399017333984","398.411987304688","423.245239257813","483.0302734375","509.015075683594","543.236083984375","555.12939453125","590.7138671875","625.520568847656","686.124938964844","737.717834472656","788.489807128906","838.472106933594","887.678466796875","","","","","","","",
"Barbados","BRB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","285.481964111328","277.39013671875","283.502075195313","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172.439483642578","185.207809448242","","","","","","","","",
"Central African Republic","CAF","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3071.85009765625","3132.90307617188","3171.46655273438","3255.439453125","3527.48291015625","3708.21655273438","3719.2578125","3913.54833984375","4098.00341796875","4250.05224609375","4323.080078125","4595.39501953125","4715.39111328125","4451.478515625","4646.30517578125","4780.08154296875","4627.45166015625","4623.11767578125","4541.84814453125","4523.31494140625","4369.6298828125","4422.56298828125","4516.30419921875","","","",
"Central Europe and the Baltics","CEB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1405.52558892435","1393.92099946058","1403.73840662459","1378.86058549874","1371.31972379039","1386.03720679683","1407.37922159557","1420.19386916333","1489.51118788732","1608.72999297103","1615.06102237431","1678.49413764359","1743.72798174263","1760.98951654285","1833.50801315061","1849.97734147553","1923.00869829177","1999.99295657333","2107.66423530028","2148.37723219415","2242.84550723669","2567.04731390207","2751.2044416583","2851.04930183121","2961.07763944948","",
"Switzerland","CHE","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3140.79223632813","","","","3654.23754882813","","","","3468.1748046875","","","","3298.21459960938","","","","4468.6494140625","","","5271.927734375","","5235.81201171875","","5551.9697265625","","",
