"","Formality","Activeness","Valence","Exchange","Equality"
"岳父岳母-女婿",-0.403448525803767,0.589374802884877,0.797570994187139,-0.739201743012166,-1.60346483850729
"人 - 上帝",-0.376867716022356,-1.77564283836224,1.46486199157776,-1.2639734758298,-1.5451520887862
"保姆-小孩",-0.0173603712563798,0.109820497474178,0.836022074855209,1.23622770333301,-1.02613207813536
"捐款人-受惠者",-0.214626353383352,-0.792196907541046,1.46907504914492,0.255461225662261,-0.548690123796088
"律师-法官",2.13314259583422,-0.0868246526262828,-0.505994652431742,-0.157898784095877,0.062942067012655
"谈判中对立的双方",1.20354244600955,0.000369696481965831,-1.47793316464072,0.232480398707731,1.46440666098837
"施害者-受害者",-0.783660064981735,-0.800564394164581,-2.29349154019185,-0.708629740061898,-0.306860863222925
"冠军-亚军",1.69700498025651,-0.795842090764526,-0.740482392554131,-0.955306508442695,0.326168769449208
"嫌疑人-警察",1.72121091378836,-0.411290265943106,-2.04057376649843,-0.941358169183823,-0.541461218704853
"忠臣-反贼",0.088193433810479,-0.795843816731184,-2.09436096897445,-0.589217816324153,-0.119336480247384
"雇主-雇员",0.582278065247493,0.54341468477696,-0.203177813573888,1.81185013787918,-0.72181571837296
"陌生人之间",-0.572545368299855,-2.8887292942262,1.20890639254762,-0.022039006380387,0.732334626475462
"师父-徒弟",0.412105558641736,1.11759888332007,0.0725338657653572,-0.191827083328039,-1.31789042014146
"老师-家长",1.35900231659602,0.125342891007464,0.598343999800791,0.0419284562173349,0.505904170138339
"假朋友之间（表面朋友，实则讨厌对方）",-1.37847378672732,-1.32856545188089,-0.738489703526303,0.238736614504624,0.993008631471095
"外地人-本地人",-0.282666011460131,-1.98875282019874,0.925073066746862,0.115536172606155,0.567215595154188
"外公外婆-外孙/外孙女",-0.525101703495183,0.944737336356725,0.973797670099658,-1.16871269515651,-1.953270075819
"编辑-作者",0.656701114095798,0.106217207818217,0.443645340815025,1.16454520590331,0.293934644134473
"上级-下级",0.996085022737949,0.679462469248388,-0.480719093484799,0.929320535369313,-0.995433345695733
"邻居之间",-0.0421219165590197,-0.0643750958436638,0.88452842625131,-0.252261946307954,1.0849924011539
"债主-欠债人",-0.998657184067488,-0.1238581001775,-1.31147413120716,1.28677487292143,-0.530660212483421
"老师-学生",1.41888810881734,0.884980612555995,0.165248486767968,-0.110227139263098,-1.27667285091409
"见义勇为者-受助者",0.912148836010987,-0.961854358918981,1.16194397436126,-1.07268406860145,0.635146157550054
"首领-反贼",-0.0332636000326286,-0.812745601905952,-1.61218845377361,-0.415358009470246,-0.783393492707641
"表兄弟姐妹之间",0.00274109733540059,0.494005776672559,0.780837924918412,-1.19917479528234,0.732691531940469
"寄养父母 - 寄养子女",-0.43198105775535,0.658189554239101,0.518796035725434,-0.609838620828304,-1.67470083155509
"犯罪同伙之间",-1.73832310196929,1.29168813414353,-1.68523517133509,1.67026209327783,0.888476687396154
"狱警-囚犯",1.43460059228842,-0.502834775473346,-1.81749061306676,-0.891041260772934,-0.876580213580881
"堂兄弟姐妹之间",-0.368826702365058,0.440730986239143,0.756127024612735,-1.04696659094791,1.11321613482948
"祖先-后代",-0.619649366360371,-0.238647572563706,1.26977795834441,-1.19154917861944,-2.47099736825425
"律师-委托人",0.80312428494998,0.582422057020896,0.147530464243824,1.79820497130773,0.520680840400703
"暗恋对象-暗恋者",-1.84825396103792,-0.577577166338103,0.507501180943146,-0.581541016732382,-0.0696622003853907
"警察-老百姓",1.7519042444494,-0.44791308899028,1.0269794769994,-0.544133714929343,-0.483919690241405
