,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5,subject
515,27.0,22.0,100.0,100.0,21.0,24.0,99.0,99.0,8.0,515
516,3.0,22.0,43.0,100.0,3.0,3.0,90.0,90.0,10.0,516
518,7.0,30.0,58.0,85.0,4.0,6.0,100.0,100.0,9.0,518
519,11.0,21.0,72.0,100.0,7.0,16.0,85.0,100.0,12.0,519
520,21.0,53.0,51.0,98.0,0.0,12.0,100.0,99.0,10.0,520
521,0.0,50.0,75.0,100.0,0.0,19.0,89.0,100.0,36.0,521
522,25.0,44.0,72.0,100.0,3.0,5.0,97.0,87.0,34.0,522
523,5.0,74.0,46.0,100.0,1.0,2.0,100.0,100.0,3.0,523
524,1.0,50.0,50.0,100.0,0.0,0.0,100.0,100.0,0.0,524
525,22.0,32.0,76.0,82.0,4.0,3.0,98.0,91.0,4.0,525
526,15.0,32.0,62.0,100.0,0.0,0.0,100.0,100.0,2.0,526
528,0.0,35.0,70.0,100.0,0.0,0.0,100.0,100.0,0.0,528
529,8.0,27.0,51.0,98.0,1.0,1.0,93.0,98.0,2.0,529
530,0.0,29.0,58.0,100.0,0.0,0.0,100.0,100.0,0.0,530
531,1.0,55.0,55.0,100.0,1.0,1.0,100.0,100.0,1.0,531
534,6.0,18.0,66.0,100.0,2.0,2.0,100.0,100.0,11.0,534
535,0.0,55.0,87.0,75.0,0.0,0.0,100.0,100.0,0.0,535
536,36.0,23.0,69.0,97.0,2.0,4.0,98.0,97.0,5.0,536
538,3.0,50.0,50.0,100.0,7.0,8.0,99.0,100.0,11.0,538
539,7.0,46.0,53.0,99.0,2.0,5.0,97.0,97.0,8.0,539
540,41.0,63.0,82.0,91.0,2.0,17.0,67.0,100.0,39.0,540
541,0.0,33.0,50.0,100.0,1.0,0.0,100.0,100.0,0.0,541
542,0.0,51.0,63.0,100.0,0.0,0.0,100.0,100.0,0.0,542
544,9.0,45.0,80.0,100.0,1.0,0.0,100.0,100.0,1.0,544
545,4.0,49.0,49.0,96.0,0.0,0.0,100.0,100.0,0.0,545
546,14.0,41.0,50.0,95.0,0.0,3.0,78.0,93.0,9.0,546
549,43.0,35.0,45.0,100.0,0.0,6.0,90.0,96.0,15.0,549
550,6.0,59.0,68.0,97.0,0.0,0.0,100.0,100.0,0.0,550
551,0.0,50.0,59.0,100.0,0.0,0.0,100.0,100.0,0.0,551
553,44.0,54.0,84.0,100.0,0.0,0.0,87.0,96.0,13.0,553
554,28.0,31.0,42.0,67.0,12.0,12.0,83.0,82.0,18.0,554
557,19.0,44.0,45.0,84.0,9.0,14.0,97.0,86.0,17.0,557
558,3.0,11.0,78.0,100.0,1.0,3.0,89.0,100.0,6.0,558
559,0.0,50.0,50.0,100.0,1.0,4.0,79.0,83.0,11.0,559
560,0.0,21.0,82.0,70.0,0.0,0.0,100.0,100.0,0.0,560
561,8.0,40.0,46.0,83.0,4.0,9.0,80.0,90.0,26.0,561
563,10.0,54.0,69.0,81.0,4.0,8.0,78.0,90.0,19.0,563
564,1.0,31.0,40.0,97.0,1.0,1.0,99.0,100.0,3.0,564
565,13.0,50.0,75.0,91.0,0.0,0.0,100.0,100.0,5.0,565
567,1.0,49.0,59.0,100.0,0.0,0.0,100.0,100.0,0.0,567
568,2.0,23.0,39.0,100.0,8.0,9.0,95.0,93.0,7.0,568
569,3.0,46.0,60.0,99.0,2.0,3.0,100.0,99.0,2.0,569
570,18.0,59.0,78.0,91.0,6.0,10.0,96.0,94.0,15.0,570
571,0.0,50.0,65.0,100.0,0.0,0.0,100.0,100.0,0.0,571
573,2.0,50.0,61.0,100.0,2.0,2.0,100.0,100.0,1.0,573
574,1.0,50.0,58.0,100.0,1.0,10.0,64.0,100.0,30.0,574
576,1.0,50.0,50.0,100.0,0.0,0.0,100.0,100.0,0.0,576
578,0.0,60.0,60.0,100.0,0.0,0.0,100.0,100.0,0.0,578
579,6.0,50.0,37.0,100.0,0.0,1.0,100.0,100.0,13.0,579
580,2.0,41.0,36.0,73.0,1.0,2.0,99.0,99.0,8.0,580
581,0.0,50.0,49.0,100.0,1.0,1.0,100.0,100.0,1.0,581
583,0.0,40.0,50.0,95.0,0.0,1.0,100.0,100.0,5.0,583
585,5.0,48.0,62.0,100.0,3.0,18.0,92.0,100.0,37.0,585
586,0.0,50.0,50.0,86.0,0.0,0.0,100.0,100.0,0.0,586
587,1.0,49.0,59.0,100.0,0.0,5.0,93.0,100.0,15.0,587
588,10.0,50.0,80.0,100.0,0.0,0.0,100.0,100.0,0.0,588
591,5.0,54.0,54.0,97.0,2.0,3.0,98.0,97.0,3.0,591
592,9.0,51.0,50.0,100.0,0.0,0.0,100.0,100.0,15.0,592
593,1.0,24.0,39.0,99.0,1.0,2.0,95.0,94.0,2.0,593
594,10.0,45.0,51.0,100.0,1.0,3.0,89.0,93.0,14.0,594
595,1.0,46.0,60.0,100.0,0.0,0.0,100.0,100.0,0.0,595
596,11.0,50.0,51.0,96.0,0.0,0.0,100.0,99.0,0.0,596
597,0.0,50.0,50.0,100.0,0.0,0.0,100.0,100.0,0.0,597
599,4.0,49.0,76.0,100.0,1.0,1.0,100.0,100.0,1.0,599
600,30.0,50.0,50.0,75.0,5.0,5.0,90.0,90.0,10.0,600
602,12.0,81.0,61.0,76.0,7.0,17.0,95.0,93.0,33.0,602
604,1.0,25.0,50.0,100.0,1.0,1.0,100.0,100.0,1.0,604
605,19.0,38.0,50.0,77.0,2.0,4.0,91.0,94.0,7.0,605
606,8.0,47.0,47.0,98.0,6.0,8.0,93.0,94.0,7.0,606
608,33.0,45.0,50.0,99.0,1.0,1.0,99.0,95.0,2.0,608
609,2.0,51.0,48.0,99.0,0.0,0.0,97.0,99.0,2.0,609
610,40.0,58.0,55.0,96.0,8.0,14.0,92.0,95.0,23.0,610
611,1.0,18.0,23.0,99.0,1.0,19.0,97.0,100.0,42.0,611
612,0.0,50.0,50.0,90.0,0.0,0.0,100.0,100.0,0.0,612
613,3.0,60.0,80.0,60.0,3.0,7.0,74.0,99.0,11.0,613
614,5.0,18.0,34.0,72.0,3.0,13.0,74.0,100.0,31.0,614
616,1.0,50.0,50.0,100.0,2.0,2.0,100.0,99.0,2.0,616
617,1.0,52.0,51.0,100.0,1.0,1.0,100.0,100.0,6.0,617
618,41.0,76.0,77.0,63.0,10.0,10.0,100.0,100.0,11.0,618
619,0.0,50.0,75.0,100.0,0.0,0.0,100.0,100.0,0.0,619
620,0.0,51.0,53.0,100.0,5.0,21.0,85.0,100.0,42.0,620
621,0.0,50.0,65.0,100.0,0.0,0.0,100.0,100.0,0.0,621
622,0.0,49.0,49.0,100.0,0.0,0.0,100.0,100.0,0.0,622
624,3.0,26.0,35.0,100.0,0.0,0.0,100.0,100.0,0.0,624
625,23.0,40.0,78.0,97.0,8.0,14.0,97.0,100.0,17.0,625
626,0.0,53.0,54.0,100.0,0.0,0.0,100.0,100.0,5.0,626
627,0.0,50.0,50.0,100.0,0.0,0.0,100.0,100.0,0.0,627
628,3.0,26.0,51.0,100.0,2.0,2.0,100.0,100.0,5.0,628
629,0.0,50.0,50.0,100.0,0.0,0.0,100.0,100.0,0.0,629
630,0.0,50.0,51.0,100.0,0.0,0.0,100.0,100.0,0.0,630
631,0.0,50.0,75.0,100.0,0.0,0.0,100.0,100.0,0.0,631
632,1.0,56.0,56.0,100.0,2.0,1.0,92.0,81.0,12.0,632
633,1.0,34.0,66.0,80.0,0.0,0.0,97.0,97.0,5.0,633
634,0.0,62.0,64.0,100.0,0.0,0.0,100.0,100.0,0.0,634
635,22.0,47.0,48.0,97.0,2.0,8.0,99.0,100.0,19.0,635
636,5.0,14.0,57.0,76.0,0.0,2.0,79.0,72.0,12.0,636
637,8.0,58.0,55.0,93.0,0.0,0.0,100.0,100.0,0.0,637
638,3.0,25.0,76.0,95.0,2.0,3.0,97.0,90.0,9.0,638
639,4.0,42.0,39.0,92.0,1.0,2.0,99.0,96.0,3.0,639
640,6.0,23.0,22.0,100.0,0.0,0.0,100.0,99.0,5.0,640
641,10.0,17.0,40.0,100.0,7.0,2.0,90.0,93.0,4.0,641
642,1.0,50.0,50.0,100.0,0.0,0.0,100.0,100.0,0.0,642
643,0.0,43.0,30.0,100.0,0.0,3.0,100.0,100.0,12.0,643
644,0.0,62.0,57.0,100.0,1.0,2.0,80.0,100.0,9.0,644
645,0.0,18.0,29.0,100.0,0.0,0.0,100.0,100.0,0.0,645
646,10.0,49.0,47.0,94.0,4.0,11.0,83.0,87.0,19.0,646
647,3.0,26.0,47.0,98.0,3.0,4.0,85.0,95.0,20.0,647
648,2.0,47.0,54.0,99.0,1.0,3.0,98.0,92.0,22.0,648
649,1.0,51.0,53.0,93.0,0.0,0.0,100.0,100.0,0.0,649
651,0.0,50.0,65.0,100.0,0.0,0.0,100.0,100.0,0.0,651
652,5.0,49.0,59.0,66.0,4.0,12.0,84.0,93.0,18.0,652
655,3.0,52.0,47.0,100.0,1.0,8.0,100.0,100.0,26.0,655
656,10.0,29.0,35.0,80.0,3.0,2.0,90.0,90.0,1.0,656
657,0.0,50.0,80.0,100.0,1.0,2.0,99.0,99.0,8.0,657
659,0.0,51.0,50.0,100.0,0.0,0.0,100.0,100.0,0.0,659
660,35.0,82.0,78.0,99.0,1.0,1.0,100.0,100.0,19.0,660
661,0.0,50.0,59.0,100.0,2.0,13.0,93.0,96.0,23.0,661
662,0.0,46.0,46.0,100.0,0.0,0.0,100.0,100.0,0.0,662
663,7.0,43.0,44.0,100.0,2.0,2.0,98.0,97.0,6.0,663
664,0.0,29.0,50.0,100.0,0.0,9.0,91.0,100.0,29.0,664
665,0.0,51.0,60.0,100.0,0.0,0.0,100.0,100.0,0.0,665
667,12.0,64.0,68.0,100.0,2.0,4.0,100.0,100.0,2.0,667
669,39.0,54.0,50.0,97.0,0.0,0.0,100.0,100.0,17.0,669
671,1.0,50.0,80.0,100.0,1.0,7.0,100.0,99.0,22.0,671
672,1.0,56.0,71.0,100.0,0.0,0.0,100.0,100.0,0.0,672
674,0.0,18.0,23.0,100.0,0.0,0.0,100.0,100.0,0.0,674
675,5.0,39.0,56.0,76.0,3.0,9.0,80.0,92.0,18.0,675
677,0.0,51.0,51.0,100.0,0.0,8.0,91.0,100.0,20.0,677
679,0.0,53.0,55.0,100.0,0.0,0.0,100.0,100.0,0.0,679
680,9.0,32.0,40.0,87.0,2.0,8.0,86.0,93.0,12.0,680
681,3.0,50.0,60.0,100.0,2.0,5.0,100.0,100.0,6.0,681
682,23.0,52.0,59.0,100.0,2.0,4.0,100.0,100.0,2.0,682
683,0.0,53.0,90.0,100.0,0.0,0.0,100.0,100.0,0.0,683
685,0.0,50.0,50.0,100.0,0.0,5.0,75.0,100.0,25.0,685
686,2.0,29.0,39.0,98.0,3.0,3.0,95.0,95.0,5.0,686
687,0.0,50.0,65.0,100.0,0.0,3.0,74.0,100.0,16.0,687
688,1.0,41.0,61.0,100.0,1.0,6.0,87.0,96.0,24.0,688
689,29.0,34.0,55.0,100.0,15.0,19.0,98.0,95.0,17.0,689
691,1.0,45.0,47.0,100.0,1.0,1.0,100.0,100.0,1.0,691
692,14.0,25.0,81.0,100.0,0.0,0.0,100.0,100.0,0.0,692
693,10.0,50.0,80.0,100.0,0.0,0.0,100.0,100.0,0.0,693
694,3.0,54.0,62.0,92.0,1.0,1.0,97.0,98.0,1.0,694
695,32.0,27.0,41.0,87.0,2.0,12.0,91.0,94.0,21.0,695
696,11.0,37.0,52.0,95.0,1.0,5.0,86.0,96.0,11.0,696
697,9.0,65.0,81.0,93.0,4.0,13.0,100.0,99.0,6.0,697
698,6.0,52.0,52.0,99.0,6.0,3.0,92.0,94.0,2.0,698
704,13.0,30.0,50.0,100.0,0.0,1.0,100.0,100.0,1.0,704
705,0.0,20.0,76.0,100.0,0.0,0.0,100.0,100.0,0.0,705
706,20.0,20.0,70.0,100.0,1.0,10.0,100.0,100.0,15.0,706
707,16.0,29.0,41.0,71.0,3.0,8.0,93.0,99.0,28.0,707
708,15.0,43.0,83.0,94.0,3.0,14.0,96.0,96.0,21.0,708
709,6.0,73.0,74.0,98.0,4.0,4.0,92.0,86.0,3.0,709
710,15.0,54.0,54.0,100.0,1.0,9.0,91.0,91.0,34.0,710
711,1.0,40.0,60.0,95.0,1.0,3.0,95.0,92.0,10.0,711
712,0.0,50.0,80.0,100.0,0.0,0.0,100.0,100.0,0.0,712
713,24.0,36.0,45.0,100.0,2.0,2.0,100.0,100.0,30.0,713
714,19.0,45.0,45.0,96.0,2.0,5.0,96.0,96.0,8.0,714
715,2.0,17.0,68.0,100.0,3.0,2.0,100.0,96.0,16.0,715
716,6.0,82.0,94.0,82.0,0.0,1.0,100.0,99.0,10.0,716
718,17.0,19.0,90.0,100.0,3.0,4.0,97.0,100.0,2.0,718
719,20.0,70.0,27.0,63.0,2.0,12.0,100.0,100.0,19.0,719
720,2.0,26.0,48.0,100.0,1.0,0.0,100.0,100.0,0.0,720
721,10.0,49.0,71.0,97.0,1.0,1.0,95.0,94.0,1.0,721
722,13.0,50.0,55.0,100.0,4.0,12.0,81.0,100.0,39.0,722
723,0.0,22.0,55.0,100.0,1.0,4.0,86.0,91.0,14.0,723
724,7.0,52.0,77.0,94.0,3.0,4.0,84.0,84.0,11.0,724
726,0.0,36.0,46.0,100.0,0.0,0.0,100.0,100.0,0.0,726
727,0.0,32.0,53.0,78.0,1.0,1.0,87.0,90.0,8.0,727
728,25.0,50.0,100.0,100.0,0.0,0.0,100.0,100.0,1.0,728
731,0.0,50.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,731
733,2.0,8.0,50.0,100.0,0.0,0.0,100.0,100.0,0.0,733
734,1.0,54.0,100.0,100.0,1.0,1.0,100.0,100.0,10.0,734
735,6.0,15.0,38.0,98.0,1.0,1.0,66.0,93.0,12.0,735
737,0.0,21.0,48.0,72.0,1.0,1.0,100.0,100.0,1.0,737
738,40.0,40.0,96.0,100.0,1.0,6.0,89.0,99.0,13.0,738
739,0.0,43.0,77.0,100.0,0.0,0.0,100.0,100.0,0.0,739
740,0.0,45.0,65.0,100.0,0.0,4.0,93.0,100.0,14.0,740
741,23.0,57.0,75.0,100.0,0.0,4.0,100.0,100.0,15.0,741
743,2.0,7.0,42.0,100.0,5.0,5.0,100.0,100.0,16.0,743
744,2.0,50.0,51.0,100.0,0.0,0.0,100.0,100.0,0.0,744
745,0.0,50.0,50.0,100.0,0.0,0.0,100.0,100.0,0.0,745
746,9.0,45.0,27.0,100.0,3.0,6.0,86.0,100.0,20.0,746
748,1.0,41.0,44.0,100.0,1.0,1.0,100.0,100.0,1.0,748
749,2.0,10.0,52.0,100.0,1.0,5.0,100.0,100.0,17.0,749
750,0.0,50.0,70.0,100.0,0.0,0.0,100.0,100.0,0.0,750
751,0.0,81.0,85.0,100.0,0.0,0.0,100.0,100.0,0.0,751
752,0.0,19.0,60.0,100.0,1.0,5.0,100.0,100.0,20.0,752
753,2.0,37.0,48.0,97.0,1.0,1.0,91.0,98.0,6.0,753
754,9.0,17.0,53.0,100.0,1.0,1.0,100.0,100.0,1.0,754
755,6.0,12.0,99.0,100.0,4.0,5.0,100.0,100.0,6.0,755
756,0.0,69.0,100.0,100.0,1.0,1.0,100.0,100.0,1.0,756
757,10.0,10.0,70.0,100.0,3.0,5.0,100.0,100.0,25.0,757
759,0.0,30.0,40.0,92.0,3.0,13.0,63.0,93.0,28.0,759
760,1.0,50.0,51.0,100.0,0.0,0.0,100.0,100.0,1.0,760
761,10.0,41.0,50.0,100.0,0.0,4.0,72.0,100.0,8.0,761
762,0.0,50.0,75.0,100.0,0.0,0.0,100.0,100.0,0.0,762
764,0.0,26.0,59.0,100.0,2.0,12.0,100.0,100.0,25.0,764
765,0.0,22.0,42.0,98.0,0.0,0.0,76.0,100.0,5.0,765
767,21.0,24.0,51.0,79.0,0.0,0.0,100.0,100.0,0.0,767
768,8.0,16.0,33.0,100.0,1.0,1.0,100.0,100.0,2.0,768
769,1.0,27.0,81.0,100.0,0.0,0.0,100.0,100.0,0.0,769
770,15.0,30.0,50.0,60.0,1.0,3.0,100.0,100.0,8.0,770
771,1.0,74.0,75.0,91.0,2.0,2.0,83.0,85.0,25.0,771
772,1.0,50.0,50.0,100.0,3.0,6.0,100.0,100.0,10.0,772
773,3.0,50.0,59.0,98.0,1.0,5.0,62.0,100.0,18.0,773
774,10.0,57.0,55.0,100.0,0.0,11.0,100.0,100.0,41.0,774
775,25.0,33.0,47.0,77.0,1.0,2.0,100.0,100.0,1.0,775
776,0.0,50.0,70.0,100.0,0.0,0.0,100.0,100.0,0.0,776
777,1.0,50.0,50.0,100.0,1.0,1.0,100.0,100.0,1.0,777
778,24.0,81.0,75.0,94.0,5.0,11.0,95.0,89.0,28.0,778
781,0.0,49.0,50.0,99.0,0.0,0.0,100.0,100.0,0.0,781
782,1.0,50.0,50.0,81.0,1.0,1.0,100.0,100.0,1.0,782
783,2.0,55.0,79.0,87.0,3.0,5.0,71.0,88.0,10.0,783
785,0.0,50.0,64.0,100.0,0.0,0.0,100.0,100.0,0.0,785
789,5.0,40.0,70.0,99.0,1.0,7.0,69.0,99.0,16.0,789
790,1.0,50.0,50.0,100.0,1.0,5.0,66.0,100.0,10.0,790
791,0.0,50.0,50.0,100.0,0.0,0.0,100.0,100.0,0.0,791
792,0.0,15.0,40.0,100.0,0.0,0.0,100.0,100.0,0.0,792
793,11.0,37.0,56.0,81.0,6.0,14.0,87.0,96.0,42.0,793
795,0.0,45.0,60.0,100.0,3.0,9.0,88.0,99.0,28.0,795
796,0.0,49.0,48.0,100.0,2.0,2.0,100.0,100.0,0.0,796
797,2.0,50.0,50.0,80.0,2.0,2.0,100.0,100.0,1.0,797
798,0.0,50.0,50.0,100.0,0.0,0.0,100.0,100.0,0.0,798
799,2.0,22.0,66.0,100.0,0.0,0.0,100.0,100.0,0.0,799
800,30.0,42.0,66.0,93.0,4.0,4.0,97.0,97.0,20.0,800
801,0.0,50.0,78.0,100.0,0.0,4.0,97.0,100.0,9.0,801
802,32.0,31.0,59.0,100.0,1.0,1.0,100.0,100.0,1.0,802
