,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5
0,1,50,59,94,1,5,70,99,25
1,8,50,50,97,1,1,100,100,1
2,0,10,50,88,0,0,100,100,0
3,33,38,48,100,0,17,78,100,2
4,0,51,22,88,0,0,100,77,0
6,3,51,56,99,4,19,63,100,34
7,5,44,57,93,4,11,62,75,19
8,30,48,47,100,3,6,66,100,12
9,6,51,76,80,6,6,99,98,7
11,3,50,50,90,1,7,100,100,6
12,2,54,72,100,4,12,74,99,40
13,24,48,47,94,13,4,89,100,5
14,2,58,60,95,1,1,100,100,10
15,22,52,60,100,4,5,100,100,7
16,3,49,58,69,9,21,100,100,38
17,4,50,50,100,5,14,81,91,35
18,3,51,51,96,0,0,86,100,12
20,6,51,62,100,7,28,78,100,39
21,14,50,50,100,0,0,100,100,0
22,3,40,54,99,3,13,61,100,33
23,21,50,50,100,1,1,100,99,1
24,6,50,54,96,6,7,93,96,9
25,0,24,61,66,10,27,76,100,15
26,0,52,58,100,0,0,100,100,1
27,0,56,73,89,0,7,69,100,22
28,2,50,75,70,5,17,75,100,38
29,3,49,51,94,2,12,96,95,30
30,4,50,93,66,19,5,79,98,10
31,8,29,59,91,0,9,65,94,31
32,10,50,65,73,10,20,70,90,30
33,1,50,50,81,1,3,70,99,25
35,5,52,51,69,0,0,82,89,15
37,3,63,73,78,3,2,100,83,10
38,0,18,50,81,0,9,55,99,28
39,5,28,65,85,5,6,100,92,13
40,14,37,67,71,4,11,70,80,26
41,15,66,3,90,1,3,51,87,10
43,7,51,79,99,1,1,100,94,4
44,0,49,63,100,10,15,70,84,24
45,5,49,74,100,1,1,80,90,4
47,1,56,55,72,10,19,78,99,42
48,0,50,50,100,0,20,80,100,40
49,0,45,45,97,0,0,97,98,0
50,3,50,54,98,3,7,90,100,23
51,1,50,50,100,4,21,75,100,42
52,12,50,50,100,26,1,100,100,1
53,6,21,58,100,1,17,80,84,45
54,0,50,50,87,0,0,100,100,0
55,0,50,50,100,0,0,100,100,0
58,0,50,50,100,0,3,52,100,10
59,6,46,48,93,6,10,63,100,42
60,9,55,54,95,5,6,94,92,13
61,31,50,50,100,0,0,100,100,0
62,1,51,51,70,1,1,100,100,1
63,11,50,50,100,3,13,72,100,28
64,2,51,51,100,1,1,100,99,2
65,1,50,60,78,2,2,70,100,13
66,0,49,64,100,6,14,61,96,32
67,0,50,50,100,0,0,100,100,0
68,4,50,50,100,0,5,80,100,15
70,2,28,60,100,0,6,90,75,13
71,4,51,51,82,5,6,91,89,5
72,8,8,9,92,5,20,70,91,46
73,6,50,50,65,10,4,60,92,20
74,27,64,71,94,9,14,92,75,13
75,2,50,58,84,11,26,71,96,46
76,4,50,51,95,0,0,100,100,0
77,5,52,52,63,4,6,100,100,5
78,6,50,50,72,1,1,97,97,1
79,0,49,59,89,0,8,56,96,35
80,0,50,50,82,7,11,78,100,23
81,12,56,54,73,2,36,76,100,23
82,3,10,15,71,26,31,70,100,48
83,3,45,70,100,1,15,100,100,6
84,0,50,50,100,0,19,75,100,10
85,0,49,67,100,0,8,66,100,21
86,0,50,70,84,0,32,75,100,33
87,3,50,61,100,6,35,78,94,27
88,12,36,58,82,5,8,63,100,40
89,6,57,49,98,5,19,99,99,5
90,5,30,58,98,0,7,51,100,12
91,32,50,50,100,0,24,100,100,0
92,0,44,60,100,0,10,74,100,36
93,1,20,34,100,1,6,85,100,11
94,0,50,58,100,0,38,100,100,4
95,33,51,50,97,0,38,98,98,0
96,0,50,50,100,0,37,87,100,10
97,2,28,51,100,4,33,52,95,19
98,6,26,38,100,5,25,72,100,37
99,5,22,35,78,4,38,70,96,47
100,4,50,76,100,7,9,81,100,24
101,1,50,50,100,1,18,70,100,14
103,33,50,50,66,0,25,75,100,45
104,6,50,51,100,3,31,100,100,5
105,3,51,70,100,0,11,100,100,12
106,3,50,50,98,3,36,100,100,1
107,0,47,48,100,0,33,100,100,0
108,1,49,49,98,3,31,80,100,16
110,4,42,41,98,4,8,95,99,12
111,26,59,86,100,2,14,73,100,34
112,1,12,66,100,4,8,100,100,17
113,0,50,50,100,1,1,100,100,1
115,7,47,85,88,16,37,77,100,24
116,4,50,61,100,2,8,54,100,16
117,21,50,50,100,0,6,90,100,20
118,0,50,50,100,3,9,85,86,22
121,1,50,35,88,15,22,88,93,28
122,0,50,50,100,0,0,100,96,0
123,5,50,60,93,0,8,87,85,24
124,0,50,70,100,0,20,78,92,27
126,1,50,50,77,1,19,100,95,1
127,6,50,50,81,6,20,76,88,36
128,8,55,27,97,6,36,100,98,36
129,0,50,50,90,2,4,81,87,35
130,0,47,65,100,0,25,66,98,14
131,3,47,47,100,6,13,88,96,27
132,1,50,70,100,2,33,100,100,8
133,6,49,51,100,1,18,100,100,9
134,2,40,50,100,2,13,86,100,16
135,0,50,50,100,0,4,100,100,0
139,1,52,49,100,2,22,100,100,1
140,3,51,50,100,1,26,100,100,2
141,8,50,49,98,5,3,100,100,21
143,12,50,74,100,0,7,76,100,18
144,3,16,52,100,3,3,100,100,3
145,1,50,50,100,0,0,100,100,0
146,5,52,46,100,3,11,82,100,38
147,12,50,79,94,4,30,83,95,49
148,22,51,50,100,0,0,100,100,0
149,13,48,49,96,2,10,100,100,33
150,0,30,55,100,0,3,90,100,15
151,1,50,62,100,2,10,71,100,28
155,5,17,81,100,6,12,100,100,17
156,0,55,55,100,9,20,74,100,26
157,2,50,50,100,4,2,73,100,8
159,0,50,50,100,1,1,92,100,8
160,4,49,46,100,3,10,85,100,15
161,5,53,53,98,8,11,75,96,31
162,0,50,50,100,0,0,100,100,0
164,1,50,77,82,1,1,100,100,1
165,3,50,50,100,8,31,71,100,48
167,2,24,54,100,1,8,83,93,18
168,6,5,8,100,4,37,100,100,7
169,20,53,84,100,0,27,100,100,0
170,29,55,52,100,0,22,100,100,0
171,1,50,50,94,1,8,100,100,1
173,22,50,50,90,2,4,92,100,12
174,6,50,49,98,3,29,92,100,18
175,0,50,60,100,0,29,100,100,0
176,5,52,53,98,6,24,73,98,30
177,4,50,50,100,12,15,100,100,7
178,0,51,52,75,0,3,100,100,15
179,0,50,50,100,0,18,100,100,0
180,4,50,50,96,17,1,100,100,1
181,3,52,53,100,3,2,100,100,5
182,0,50,50,100,0,0,100,100,0
183,1,52,57,100,1,5,81,100,19
185,1,54,36,100,1,8,100,100,16
186,2,48,44,80,2,9,78,100,28
187,7,50,24,100,5,3,100,100,22
188,26,50,75,100,0,0,100,100,0
189,2,12,16,99,3,10,69,96,26
191,0,50,50,100,0,0,100,100,0
192,0,50,75,95,0,3,70,100,28
194,1,50,49,100,1,12,61,100,16
195,1,57,74,100,4,7,77,100,20
196,1,50,50,96,11,1,99,100,10
197,3,59,75,98,2,8,92,99,19
198,0,50,50,100,0,0,90,100,10
199,3,50,50,100,3,1,100,100,18
200,4,49,48,100,6,9,81,100,12
201,0,48,47,100,0,2,74,100,16
202,4,24,10,100,11,24,80,89,34
203,0,51,51,99,0,8,100,90,17
204,8,56,69,99,5,5,96,97,10
205,0,50,75,100,0,6,65,86,26
206,1,55,52,100,4,8,99,100,19
207,0,50,50,99,0,2,100,100,0
208,0,47,50,100,0,11,56,100,32
209,0,44,50,100,0,2,100,100,3
210,18,54,25,96,0,4,88,100,17
211,4,48,48,100,3,7,89,100,27
212,5,50,50,100,0,10,63,100,31
213,4,45,47,100,4,11,70,84,25
214,16,62,63,91,2,2,100,100,2
215,0,50,50,100,0,8,100,100,17
216,1,50,50,90,1,10,75,100,30
217,2,3,56,100,5,19,74,100,36
218,3,19,41,100,7,4,80,100,20
219,3,51,50,86,0,5,71,80,20
220,0,50,50,100,0,0,69,100,0
221,6,50,50,87,2,2,72,100,10
222,0,55,50,90,0,10,75,100,25
224,1,48,50,100,1,1,100,100,6
225,0,49,48,100,0,21,74,100,45
226,0,50,50,100,7,18,55,100,34
227,1,55,65,100,1,6,85,100,20
229,1,51,51,100,2,6,79,100,18
230,5,50,50,95,2,7,79,95,20
231,1,50,50,100,1,9,100,100,16
232,12,50,58,87,2,16,70,100,24
233,0,50,62,91,0,21,66,100,38
234,8,29,48,98,4,5,80,94,20
235,0,50,55,100,0,0,100,100,0
236,1,50,50,100,1,1,100,100,1
237,2,42,47,100,1,3,94,100,8
238,0,51,60,100,1,8,66,100,16
239,5,60,70,90,5,10,100,100,25
240,0,51,50,100,2,16,71,94,30
241,3,70,46,99,1,5,78,100,16
242,22,51,41,87,4,11,100,100,25
243,2,53,91,100,2,12,70,100,42
244,0,50,50,100,2,5,75,100,17
245,6,48,51,81,9,11,78,92,10
246,0,50,50,100,0,1,100,100,0
247,0,50,50,100,0,8,100,100,17
248,0,54,53,100,3,4,100,100,6
249,1,50,50,100,10,25,68,100,32
250,4,50,71,100,4,13,69,83,24
251,4,50,74,100,3,5,81,100,25
252,4,32,55,92,1,11,71,84,33
253,12,50,60,87,2,3,79,92,24
254,0,50,50,100,0,20,70,100,40
255,12,61,26,74,14,12,76,80,9
256,1,50,50,100,3,5,100,100,2
257,1,50,70,100,1,1,100,100,3
258,1,50,50,100,1,1,100,100,1
259,1,50,50,100,5,15,60,100,30
260,4,46,57,96,0,12,78,90,2
261,1,50,50,100,1,1,100,100,1
262,0,12,27,100,3,10,83,100,22
263,6,55,57,99,4,6,85,100,17
264,4,49,60,96,1,1,100,100,1
265,0,50,50,100,0,6,86,100,17
266,4,60,55,100,2,1,70,100,20
267,3,50,50,100,3,2,100,100,11
268,1,50,50,100,1,3,88,97,15
269,1,54,55,100,3,21,100,100,2
270,6,50,52,100,8,20,80,100,36
271,5,51,61,100,4,8,93,100,22
272,2,50,50,100,2,21,72,100,44
273,1,50,60,100,1,1,100,100,10
274,0,29,49,76,0,0,100,100,0
275,0,54,66,100,0,9,81,100,33
276,17,52,70,99,5,6,81,97,24
277,0,50,74,96,0,0,100,100,0
279,0,50,50,100,0,9,71,100,27
280,1,50,50,100,13,32,64,100,22
281,2,50,50,77,3,3,100,100,2
282,1,50,49,100,4,5,100,100,31
283,0,50,50,100,0,2,72,100,15
284,0,50,50,100,0,8,100,100,17
285,0,50,50,100,0,0,100,100,0
286,10,49,48,92,5,11,82,91,20
287,0,50,60,100,0,4,75,100,22
288,0,50,50,100,0,0,100,100,0
289,0,50,50,100,0,3,89,100,14
290,4,48,48,96,3,5,82,97,37
291,2,65,70,100,1,1,100,100,1
292,5,50,55,95,5,12,90,100,22
293,4,46,66,100,3,13,68,100,36
294,2,40,50,100,12,34,77,96,24
295,0,51,59,100,5,11,78,92,28
296,4,49,52,100,6,7,100,100,6
297,15,50,40,100,0,10,70,85,30
298,2,50,50,100,4,10,81,89,25
299,5,51,88,100,4,26,70,100,21
300,0,50,30,85,0,6,66,100,22
301,2,44,60,94,6,11,86,96,13
302,0,50,50,100,1,0,100,100,0
303,0,51,51,100,2,6,77,100,13
304,3,58,72,100,2,8,61,100,26
305,3,50,51,98,2,3,99,98,29
306,3,50,60,90,1,5,92,100,10
307,3,55,60,100,3,3,86,100,12
308,1,50,57,100,1,7,80,100,20
309,6,52,52,95,7,17,79,91,28
310,6,55,47,99,4,17,76,100,26
311,0,50,50,100,0,0,100,100,0
312,0,52,54,79,0,9,66,100,25
313,0,50,50,100,0,15,75,100,30
314,0,50,50,100,0,7,65,100,23
315,2,9,46,100,2,5,80,95,21
316,1,50,50,100,5,4,100,100,2
317,4,50,50,100,0,7,80,100,20
318,0,50,60,100,1,10,60,100,20
319,5,35,36,91,2,2,100,100,2
320,0,49,49,100,15,0,100,100,3
321,0,54,54,100,0,0,100,100,0
322,1,50,53,97,8,16,75,91,32
323,1,50,50,100,0,0,100,100,0
324,2,51,51,100,3,3,100,100,1
325,1,39,9,100,2,6,97,100,12
326,5,50,65,100,4,10,70,85,26
327,0,71,72,100,1,2,82,100,8
328,0,50,65,100,0,0,90,100,18
329,2,51,65,100,4,4,99,100,12
330,4,53,45,97,2,5,78,92,20
331,5,54,53,100,6,21,82,100,42
332,1,49,48,98,1,1,100,100,1
333,0,50,50,100,0,0,100,100,0
334,5,56,40,86,5,6,60,100,17
335,0,47,47,100,0,0,100,100,0
336,7,32,52,96,1,13,79,96,34
337,0,50,50,100,2,25,80,100,49
338,0,50,50,100,0,5,85,100,20
339,4,49,52,100,6,7,100,100,6
340,1,50,50,100,1,1,100,100,18
341,0,50,67,100,0,9,70,90,25
342,1,57,73,100,1,8,73,100,27
343,8,41,58,100,10,8,95,100,6
344,0,50,50,100,0,0,100,100,0
345,12,49,61,100,10,11,85,100,7
346,0,50,73,100,0,0,100,100,0
347,1,50,50,100,17,26,72,100,40
348,0,51,49,100,1,2,100,100,8
349,4,50,68,94,6,13,86,96,25
350,0,50,50,100,0,19,100,83,38
351,1,60,55,97,2,4,84,96,12
352,0,50,50,100,2,8,60,100,21
353,0,50,75,100,0,15,75,100,25
354,1,50,50,100,1,18,62,100,37
355,1,40,35,100,0,0,100,100,30
356,19,54,56,100,10,18,82,100,7
357,1,50,55,100,1,10,80,100,20
358,0,25,50,100,0,0,100,100,0
359,1,5,34,100,1,2,100,100,2
360,2,51,56,100,0,21,61,100,42
361,0,50,50,100,0,0,100,100,0
362,0,51,52,100,0,10,59,100,25
363,10,66,36,76,9,10,66,100,27
364,0,50,54,100,0,10,80,100,26
365,1,50,50,100,1,1,75,100,15
366,2,53,53,89,1,3,82,100,6
367,0,50,50,100,0,1,80,100,10
368,1,50,57,89,3,7,100,100,12
369,1,50,70,100,1,7,75,100,22
370,0,50,41,98,0,13,52,100,31
371,0,49,51,100,0,0,100,99,21
372,1,50,50,100,24,40,77,100,25
373,4,45,61,99,1,10,83,100,17
374,3,35,66,99,5,13,55,86,27
375,3,45,100,100,5,4,100,100,10
376,0,50,50,100,0,10,75,100,25
377,1,50,60,100,1,15,80,100,30
378,0,50,50,100,0,0,100,84,18
379,0,50,50,100,9,34,88,100,26
380,0,40,50,98,0,1,70,98,31
381,5,7,26,100,7,14,64,100,36
382,0,5,15,90,0,5,80,100,10
383,1,60,75,100,1,10,59,100,30
384,6,50,50,100,2,10,80,100,20
385,7,52,59,90,3,6,75,100,28
386,5,49,50,100,5,6,75,100,21
387,5,5,98,98,4,24,100,100,22
388,0,50,50,100,3,9,78,91,20
389,5,50,50,100,3,3,100,100,2
390,1,76,45,100,14,18,61,79,1
391,0,50,35,100,0,21,62,100,28
392,4,70,54,90,22,10,100,100,8
393,5,39,36,79,2,45,67,100,38
394,0,60,68,100,0,17,52,100,35
395,1,52,54,99,2,1,100,100,24
396,3,55,50,100,11,15,100,100,25
397,1,50,50,90,20,1,100,97,11
398,3,57,45,79,12,1,81,75,8
399,7,51,70,100,4,4,99,90,2
400,4,49,52,100,6,7,100,100,6
